评论,时间,点赞数,标签
值得一看！！,2023-03-22 11:34:14,3,0
话说宇宙探索编辑部网上一点浪花都没，没宣发？我这预售都很少,2023-03-22 10:07:15,31,0
支持原创，是品牌理念也是行动！有抱负有社会担当的品牌一定能走得更远，vivo棒棒的！[打call],2023-03-22 11:08:53,12,0
这美术，这故事，瞬间觉着vivo好厉害。[呲牙],2023-03-22 11:03:32,15,0
中国品牌用中国元素走向世界！真棒👍[星星眼],2023-03-22 11:19:15,5,0
不知所云,2023-03-22 12:40:37,3,0
看了打斗部分笑死人,2023-03-22 10:09:18,12,0
从x6s开始一直用vivo，就x90的背面，每看一次就想到一次冰箱，冰箱，冰箱,2023-03-23 01:19:55,2,0
这标题我看成《卷》了[笑哭],2023-03-22 10:48:33,12,0
乌鸦排面了一回！！！,2023-03-22 10:37:38,8,0
这啥意思啊，没看懂捏怎么[思考],2023-03-22 10:23:39,8,0
何曾几时，我小时候奶奶也给我这么讲故事，满满都是回忆,2023-03-22 10:57:09,6,0
挺有味道的，故事蛮有意思，镜头语言不错，好的东方故事越多越好,2023-03-22 11:59:12,5,0
"想起了好多年前Kingston那条月台的记忆， 当品牌用心传递情感和表达观念，作为观众/消费者 留下的感动和共鸣，至今难以忘怀 。
在大制作的影片中， 产品可以被允许只出现2s ，一闪而过 ，只留下故事本身，这是品牌的情怀 ，也是品牌的自信。",2023-03-22 13:17:34,3,0
"我觉得，“类”是一种“定义”，是与非，是好与坏。佛像点化心魔，让三人认为命分高下，非贵即贱。故三人争“类”，争的是我“命好”，人“命坏”。然而三人最后皆为“类”所害，却不得“命”之好坏，这时才大梦方醒。不再争“类”，却终成一类。
叹:
论种争大终成空，聚似结同是为类。
是类何分大中小，皆为相性团结灵。",2023-03-23 05:33:23,1,0
人总是会因为听到一些无名的玄学结论，被影响人生进程，平行宇宙里的3位，如果没听到佛祖的话，应该还是很好的朋友吧[拥抱],2023-03-23 03:28:40,1,0
感觉讲述一个“类”如何繁衍的故事，靠伪装成佛祖给人们植入心魔来进行增殖...,2023-03-23 08:29:56,1,0
说句我自己的想法，这片子画风我看着不太舒服其实，画的不太精细，油画感很强，你说你要是弄成那种极简的也行，稍微刻画一点的也好，这种画风看着太油腻厚重了，感觉不太舒服，色彩也是有点暗，深，剧情还好，但是咱们色彩，人物线条色彩上面能不能再调理调理，,2023-03-23 14:00:28,1,0
三个人该不会是分别代表oppo vivo和一加[doge],2023-03-22 11:15:31,18,0
个人理解吧，神谕的内容神神叨叨无零两可，没有明确的说明细思下可以有多重解释，导致下面的信徒因此理念不合或相互猜忌，因此分裂成多个团体争斗不休，最终整个种族内耗严重集体扑街，这是邪神所为。视频里三个画匠就因此互相猜忌不能团结，还为此去挑战近乎不可能的目标悲剧收尾，结果画面一转三人回到神谕降临的一幕，看似三人会因此消除猜忌隔阂，但这何尝不会是邪神的又一次戏弄。,2023-03-23 01:42:02,2,0
值得一看！！,2023-03-22 11:34:14,3,0
话说宇宙探索编辑部网上一点浪花都没，没宣发？我这预售都很少,2023-03-22 10:07:15,31,0
支持原创，是品牌理念也是行动！有抱负有社会担当的品牌一定能走得更远，vivo棒棒的！[打call],2023-03-22 11:08:53,12,0
这美术，这故事，瞬间觉着vivo好厉害。[呲牙],2023-03-22 11:03:32,15,0
中国品牌用中国元素走向世界！真棒👍[星星眼],2023-03-22 11:19:15,5,0
不知所云,2023-03-22 12:40:37,3,0
看了打斗部分笑死人,2023-03-22 10:09:18,12,0
从x6s开始一直用vivo，就x90的背面，每看一次就想到一次冰箱，冰箱，冰箱,2023-03-23 01:19:55,2,0
这标题我看成《卷》了[笑哭],2023-03-22 10:48:33,12,0
乌鸦排面了一回！！！,2023-03-22 10:37:38,8,0
这啥意思啊，没看懂捏怎么[思考],2023-03-22 10:23:39,8,0
何曾几时，我小时候奶奶也给我这么讲故事，满满都是回忆,2023-03-22 10:57:09,6,0
挺有味道的，故事蛮有意思，镜头语言不错，好的东方故事越多越好,2023-03-22 11:59:12,5,0
"想起了好多年前Kingston那条月台的记忆， 当品牌用心传递情感和表达观念，作为观众/消费者 留下的感动和共鸣，至今难以忘怀 。
在大制作的影片中， 产品可以被允许只出现2s ，一闪而过 ，只留下故事本身，这是品牌的情怀 ，也是品牌的自信。",2023-03-22 13:17:34,3,0
"我觉得，“类”是一种“定义”，是与非，是好与坏。佛像点化心魔，让三人认为命分高下，非贵即贱。故三人争“类”，争的是我“命好”，人“命坏”。然而三人最后皆为“类”所害，却不得“命”之好坏，这时才大梦方醒。不再争“类”，却终成一类。
叹:
论种争大终成空，聚似结同是为类。
是类何分大中小，皆为相性团结灵。",2023-03-23 05:33:23,1,0
人总是会因为听到一些无名的玄学结论，被影响人生进程，平行宇宙里的3位，如果没听到佛祖的话，应该还是很好的朋友吧[拥抱],2023-03-23 03:28:40,1,0
感觉讲述一个“类”如何繁衍的故事，靠伪装成佛祖给人们植入心魔来进行增殖...,2023-03-23 08:29:56,1,0
说句我自己的想法，这片子画风我看着不太舒服其实，画的不太精细，油画感很强，你说你要是弄成那种极简的也行，稍微刻画一点的也好，这种画风看着太油腻厚重了，感觉不太舒服，色彩也是有点暗，深，剧情还好，但是咱们色彩，人物线条色彩上面能不能再调理调理，,2023-03-23 14:00:28,1,0
三个人该不会是分别代表oppo vivo和一加[doge],2023-03-22 11:15:31,18,0
个人理解吧，神谕的内容神神叨叨无零两可，没有明确的说明细思下可以有多重解释，导致下面的信徒因此理念不合或相互猜忌，因此分裂成多个团体争斗不休，最终整个种族内耗严重集体扑街，这是邪神所为。视频里三个画匠就因此互相猜忌不能团结，还为此去挑战近乎不可能的目标悲剧收尾，结果画面一转三人回到神谕降临的一幕，看似三人会因此消除猜忌隔阂，但这何尝不会是邪神的又一次戏弄。,2023-03-23 01:42:02,2,0
值得一看！！,2023-03-22 11:34:14,3,0
话说宇宙探索编辑部网上一点浪花都没，没宣发？我这预售都很少,2023-03-22 10:07:15,31,0
支持原创，是品牌理念也是行动！有抱负有社会担当的品牌一定能走得更远，vivo棒棒的！[打call],2023-03-22 11:08:53,12,0
这美术，这故事，瞬间觉着vivo好厉害。[呲牙],2023-03-22 11:03:32,15,0
中国品牌用中国元素走向世界！真棒👍[星星眼],2023-03-22 11:19:15,5,0
不知所云,2023-03-22 12:40:37,3,0
看了打斗部分笑死人,2023-03-22 10:09:18,12,0
从x6s开始一直用vivo，就x90的背面，每看一次就想到一次冰箱，冰箱，冰箱,2023-03-23 01:19:55,2,0
这标题我看成《卷》了[笑哭],2023-03-22 10:48:33,12,0
乌鸦排面了一回！！！,2023-03-22 10:37:38,8,0
这啥意思啊，没看懂捏怎么[思考],2023-03-22 10:23:39,8,0
何曾几时，我小时候奶奶也给我这么讲故事，满满都是回忆,2023-03-22 10:57:09,6,0
挺有味道的，故事蛮有意思，镜头语言不错，好的东方故事越多越好,2023-03-22 11:59:12,5,0
"想起了好多年前Kingston那条月台的记忆， 当品牌用心传递情感和表达观念，作为观众/消费者 留下的感动和共鸣，至今难以忘怀 。
在大制作的影片中， 产品可以被允许只出现2s ，一闪而过 ，只留下故事本身，这是品牌的情怀 ，也是品牌的自信。",2023-03-22 13:17:34,3,0
"我觉得，“类”是一种“定义”，是与非，是好与坏。佛像点化心魔，让三人认为命分高下，非贵即贱。故三人争“类”，争的是我“命好”，人“命坏”。然而三人最后皆为“类”所害，却不得“命”之好坏，这时才大梦方醒。不再争“类”，却终成一类。
叹:
论种争大终成空，聚似结同是为类。
是类何分大中小，皆为相性团结灵。",2023-03-23 05:33:23,1,0
人总是会因为听到一些无名的玄学结论，被影响人生进程，平行宇宙里的3位，如果没听到佛祖的话，应该还是很好的朋友吧[拥抱],2023-03-23 03:28:40,1,0
感觉讲述一个“类”如何繁衍的故事，靠伪装成佛祖给人们植入心魔来进行增殖...,2023-03-23 08:29:56,1,0
说句我自己的想法，这片子画风我看着不太舒服其实，画的不太精细，油画感很强，你说你要是弄成那种极简的也行，稍微刻画一点的也好，这种画风看着太油腻厚重了，感觉不太舒服，色彩也是有点暗，深，剧情还好，但是咱们色彩，人物线条色彩上面能不能再调理调理，,2023-03-23 14:00:28,1,0
三个人该不会是分别代表oppo vivo和一加[doge],2023-03-22 11:15:31,18,0
个人理解吧，神谕的内容神神叨叨无零两可，没有明确的说明细思下可以有多重解释，导致下面的信徒因此理念不合或相互猜忌，因此分裂成多个团体争斗不休，最终整个种族内耗严重集体扑街，这是邪神所为。视频里三个画匠就因此互相猜忌不能团结，还为此去挑战近乎不可能的目标悲剧收尾，结果画面一转三人回到神谕降临的一幕，看似三人会因此消除猜忌隔阂，但这何尝不会是邪神的又一次戏弄。,2023-03-23 01:42:02,2,0
值得一看！！,2023-03-22 11:34:14,3,0
话说宇宙探索编辑部网上一点浪花都没，没宣发？我这预售都很少,2023-03-22 10:07:15,31,0
支持原创，是品牌理念也是行动！有抱负有社会担当的品牌一定能走得更远，vivo棒棒的！[打call],2023-03-22 11:08:53,12,0
这美术，这故事，瞬间觉着vivo好厉害。[呲牙],2023-03-22 11:03:32,15,0
中国品牌用中国元素走向世界！真棒👍[星星眼],2023-03-22 11:19:15,5,0
不知所云,2023-03-22 12:40:37,3,0
看了打斗部分笑死人,2023-03-22 10:09:18,12,0
从x6s开始一直用vivo，就x90的背面，每看一次就想到一次冰箱，冰箱，冰箱,2023-03-23 01:19:55,2,0
这标题我看成《卷》了[笑哭],2023-03-22 10:48:33,12,0
乌鸦排面了一回！！！,2023-03-22 10:37:38,8,0
这啥意思啊，没看懂捏怎么[思考],2023-03-22 10:23:39,8,0
何曾几时，我小时候奶奶也给我这么讲故事，满满都是回忆,2023-03-22 10:57:09,6,0
挺有味道的，故事蛮有意思，镜头语言不错，好的东方故事越多越好,2023-03-22 11:59:12,5,0
"想起了好多年前Kingston那条月台的记忆， 当品牌用心传递情感和表达观念，作为观众/消费者 留下的感动和共鸣，至今难以忘怀 。
在大制作的影片中， 产品可以被允许只出现2s ，一闪而过 ，只留下故事本身，这是品牌的情怀 ，也是品牌的自信。",2023-03-22 13:17:34,3,0
"我觉得，“类”是一种“定义”，是与非，是好与坏。佛像点化心魔，让三人认为命分高下，非贵即贱。故三人争“类”，争的是我“命好”，人“命坏”。然而三人最后皆为“类”所害，却不得“命”之好坏，这时才大梦方醒。不再争“类”，却终成一类。
叹:
论种争大终成空，聚似结同是为类。
是类何分大中小，皆为相性团结灵。",2023-03-23 05:33:23,1,0
人总是会因为听到一些无名的玄学结论，被影响人生进程，平行宇宙里的3位，如果没听到佛祖的话，应该还是很好的朋友吧[拥抱],2023-03-23 03:28:40,1,0
感觉讲述一个“类”如何繁衍的故事，靠伪装成佛祖给人们植入心魔来进行增殖...,2023-03-23 08:29:56,1,0
说句我自己的想法，这片子画风我看着不太舒服其实，画的不太精细，油画感很强，你说你要是弄成那种极简的也行，稍微刻画一点的也好，这种画风看着太油腻厚重了，感觉不太舒服，色彩也是有点暗，深，剧情还好，但是咱们色彩，人物线条色彩上面能不能再调理调理，,2023-03-23 14:00:28,1,0
三个人该不会是分别代表oppo vivo和一加[doge],2023-03-22 11:15:31,18,0
个人理解吧，神谕的内容神神叨叨无零两可，没有明确的说明细思下可以有多重解释，导致下面的信徒因此理念不合或相互猜忌，因此分裂成多个团体争斗不休，最终整个种族内耗严重集体扑街，这是邪神所为。视频里三个画匠就因此互相猜忌不能团结，还为此去挑战近乎不可能的目标悲剧收尾，结果画面一转三人回到神谕降临的一幕，看似三人会因此消除猜忌隔阂，但这何尝不会是邪神的又一次戏弄。,2023-03-23 01:42:02,2,0
值得一看！！,2023-03-22 11:34:14,3,0
话说宇宙探索编辑部网上一点浪花都没，没宣发？我这预售都很少,2023-03-22 10:07:15,31,0
支持原创，是品牌理念也是行动！有抱负有社会担当的品牌一定能走得更远，vivo棒棒的！[打call],2023-03-22 11:08:53,12,0
这美术，这故事，瞬间觉着vivo好厉害。[呲牙],2023-03-22 11:03:32,15,0
中国品牌用中国元素走向世界！真棒👍[星星眼],2023-03-22 11:19:15,5,0
不知所云,2023-03-22 12:40:37,3,0
看了打斗部分笑死人,2023-03-22 10:09:18,12,0
从x6s开始一直用vivo，就x90的背面，每看一次就想到一次冰箱，冰箱，冰箱,2023-03-23 01:19:55,2,0
这标题我看成《卷》了[笑哭],2023-03-22 10:48:33,12,0
乌鸦排面了一回！！！,2023-03-22 10:37:38,8,0
这啥意思啊，没看懂捏怎么[思考],2023-03-22 10:23:39,8,0
何曾几时，我小时候奶奶也给我这么讲故事，满满都是回忆,2023-03-22 10:57:09,6,0
挺有味道的，故事蛮有意思，镜头语言不错，好的东方故事越多越好,2023-03-22 11:59:12,5,0
"想起了好多年前Kingston那条月台的记忆， 当品牌用心传递情感和表达观念，作为观众/消费者 留下的感动和共鸣，至今难以忘怀 。
在大制作的影片中， 产品可以被允许只出现2s ，一闪而过 ，只留下故事本身，这是品牌的情怀 ，也是品牌的自信。",2023-03-22 13:17:34,3,0
"我觉得，“类”是一种“定义”，是与非，是好与坏。佛像点化心魔，让三人认为命分高下，非贵即贱。故三人争“类”，争的是我“命好”，人“命坏”。然而三人最后皆为“类”所害，却不得“命”之好坏，这时才大梦方醒。不再争“类”，却终成一类。
叹:
论种争大终成空，聚似结同是为类。
是类何分大中小，皆为相性团结灵。",2023-03-23 05:33:23,1,0
人总是会因为听到一些无名的玄学结论，被影响人生进程，平行宇宙里的3位，如果没听到佛祖的话，应该还是很好的朋友吧[拥抱],2023-03-23 03:28:40,1,0
感觉讲述一个“类”如何繁衍的故事，靠伪装成佛祖给人们植入心魔来进行增殖...,2023-03-23 08:29:56,1,0
说句我自己的想法，这片子画风我看着不太舒服其实，画的不太精细，油画感很强，你说你要是弄成那种极简的也行，稍微刻画一点的也好，这种画风看着太油腻厚重了，感觉不太舒服，色彩也是有点暗，深，剧情还好，但是咱们色彩，人物线条色彩上面能不能再调理调理，,2023-03-23 14:00:28,1,0
三个人该不会是分别代表oppo vivo和一加[doge],2023-03-22 11:15:31,18,0
个人理解吧，神谕的内容神神叨叨无零两可，没有明确的说明细思下可以有多重解释，导致下面的信徒因此理念不合或相互猜忌，因此分裂成多个团体争斗不休，最终整个种族内耗严重集体扑街，这是邪神所为。视频里三个画匠就因此互相猜忌不能团结，还为此去挑战近乎不可能的目标悲剧收尾，结果画面一转三人回到神谕降临的一幕，看似三人会因此消除猜忌隔阂，但这何尝不会是邪神的又一次戏弄。,2023-03-23 01:42:02,2,0
值得一看！！,2023-03-22 11:34:14,3,0
话说宇宙探索编辑部网上一点浪花都没，没宣发？我这预售都很少,2023-03-22 10:07:15,31,0
支持原创，是品牌理念也是行动！有抱负有社会担当的品牌一定能走得更远，vivo棒棒的！[打call],2023-03-22 11:08:53,12,0
这美术，这故事，瞬间觉着vivo好厉害。[呲牙],2023-03-22 11:03:32,15,0
中国品牌用中国元素走向世界！真棒👍[星星眼],2023-03-22 11:19:15,5,0
不知所云,2023-03-22 12:40:37,3,0
看了打斗部分笑死人,2023-03-22 10:09:18,12,0
从x6s开始一直用vivo，就x90的背面，每看一次就想到一次冰箱，冰箱，冰箱,2023-03-23 01:19:55,2,0
这标题我看成《卷》了[笑哭],2023-03-22 10:48:33,12,0
乌鸦排面了一回！！！,2023-03-22 10:37:38,8,0
这啥意思啊，没看懂捏怎么[思考],2023-03-22 10:23:39,8,0
何曾几时，我小时候奶奶也给我这么讲故事，满满都是回忆,2023-03-22 10:57:09,6,0
挺有味道的，故事蛮有意思，镜头语言不错，好的东方故事越多越好,2023-03-22 11:59:12,5,0
"想起了好多年前Kingston那条月台的记忆， 当品牌用心传递情感和表达观念，作为观众/消费者 留下的感动和共鸣，至今难以忘怀 。
在大制作的影片中， 产品可以被允许只出现2s ，一闪而过 ，只留下故事本身，这是品牌的情怀 ，也是品牌的自信。",2023-03-22 13:17:34,3,0
"我觉得，“类”是一种“定义”，是与非，是好与坏。佛像点化心魔，让三人认为命分高下，非贵即贱。故三人争“类”，争的是我“命好”，人“命坏”。然而三人最后皆为“类”所害，却不得“命”之好坏，这时才大梦方醒。不再争“类”，却终成一类。
叹:
论种争大终成空，聚似结同是为类。
是类何分大中小，皆为相性团结灵。",2023-03-23 05:33:23,1,0
人总是会因为听到一些无名的玄学结论，被影响人生进程，平行宇宙里的3位，如果没听到佛祖的话，应该还是很好的朋友吧[拥抱],2023-03-23 03:28:40,1,0
感觉讲述一个“类”如何繁衍的故事，靠伪装成佛祖给人们植入心魔来进行增殖...,2023-03-23 08:29:56,1,0
说句我自己的想法，这片子画风我看着不太舒服其实，画的不太精细，油画感很强，你说你要是弄成那种极简的也行，稍微刻画一点的也好，这种画风看着太油腻厚重了，感觉不太舒服，色彩也是有点暗，深，剧情还好，但是咱们色彩，人物线条色彩上面能不能再调理调理，,2023-03-23 14:00:28,1,0
三个人该不会是分别代表oppo vivo和一加[doge],2023-03-22 11:15:31,18,0
个人理解吧，神谕的内容神神叨叨无零两可，没有明确的说明细思下可以有多重解释，导致下面的信徒因此理念不合或相互猜忌，因此分裂成多个团体争斗不休，最终整个种族内耗严重集体扑街，这是邪神所为。视频里三个画匠就因此互相猜忌不能团结，还为此去挑战近乎不可能的目标悲剧收尾，结果画面一转三人回到神谕降临的一幕，看似三人会因此消除猜忌隔阂，但这何尝不会是邪神的又一次戏弄。,2023-03-23 01:42:02,2,0
值得一看！！,2023-03-22 11:34:14,3,0
话说宇宙探索编辑部网上一点浪花都没，没宣发？我这预售都很少,2023-03-22 10:07:15,31,0
支持原创，是品牌理念也是行动！有抱负有社会担当的品牌一定能走得更远，vivo棒棒的！[打call],2023-03-22 11:08:53,12,0
这美术，这故事，瞬间觉着vivo好厉害。[呲牙],2023-03-22 11:03:32,15,0
中国品牌用中国元素走向世界！真棒👍[星星眼],2023-03-22 11:19:15,5,0
不知所云,2023-03-22 12:40:37,3,0
看了打斗部分笑死人,2023-03-22 10:09:18,12,0
从x6s开始一直用vivo，就x90的背面，每看一次就想到一次冰箱，冰箱，冰箱,2023-03-23 01:19:55,2,0
这标题我看成《卷》了[笑哭],2023-03-22 10:48:33,12,0
乌鸦排面了一回！！！,2023-03-22 10:37:38,8,0
这啥意思啊，没看懂捏怎么[思考],2023-03-22 10:23:39,8,0
何曾几时，我小时候奶奶也给我这么讲故事，满满都是回忆,2023-03-22 10:57:09,6,0
挺有味道的，故事蛮有意思，镜头语言不错，好的东方故事越多越好,2023-03-22 11:59:12,5,0
"想起了好多年前Kingston那条月台的记忆， 当品牌用心传递情感和表达观念，作为观众/消费者 留下的感动和共鸣，至今难以忘怀 。
在大制作的影片中， 产品可以被允许只出现2s ，一闪而过 ，只留下故事本身，这是品牌的情怀 ，也是品牌的自信。",2023-03-22 13:17:34,3,0
"我觉得，“类”是一种“定义”，是与非，是好与坏。佛像点化心魔，让三人认为命分高下，非贵即贱。故三人争“类”，争的是我“命好”，人“命坏”。然而三人最后皆为“类”所害，却不得“命”之好坏，这时才大梦方醒。不再争“类”，却终成一类。
叹:
论种争大终成空，聚似结同是为类。
是类何分大中小，皆为相性团结灵。",2023-03-23 05:33:23,1,0
人总是会因为听到一些无名的玄学结论，被影响人生进程，平行宇宙里的3位，如果没听到佛祖的话，应该还是很好的朋友吧[拥抱],2023-03-23 03:28:40,1,0
感觉讲述一个“类”如何繁衍的故事，靠伪装成佛祖给人们植入心魔来进行增殖...,2023-03-23 08:29:56,1,0
说句我自己的想法，这片子画风我看着不太舒服其实，画的不太精细，油画感很强，你说你要是弄成那种极简的也行，稍微刻画一点的也好，这种画风看着太油腻厚重了，感觉不太舒服，色彩也是有点暗，深，剧情还好，但是咱们色彩，人物线条色彩上面能不能再调理调理，,2023-03-23 14:00:28,1,0
三个人该不会是分别代表oppo vivo和一加[doge],2023-03-22 11:15:31,18,0
个人理解吧，神谕的内容神神叨叨无零两可，没有明确的说明细思下可以有多重解释，导致下面的信徒因此理念不合或相互猜忌，因此分裂成多个团体争斗不休，最终整个种族内耗严重集体扑街，这是邪神所为。视频里三个画匠就因此互相猜忌不能团结，还为此去挑战近乎不可能的目标悲剧收尾，结果画面一转三人回到神谕降临的一幕，看似三人会因此消除猜忌隔阂，但这何尝不会是邪神的又一次戏弄。,2023-03-23 01:42:02,2,0
值得一看！！,2023-03-22 11:34:14,3,0
话说宇宙探索编辑部网上一点浪花都没，没宣发？我这预售都很少,2023-03-22 10:07:15,31,0
支持原创，是品牌理念也是行动！有抱负有社会担当的品牌一定能走得更远，vivo棒棒的！[打call],2023-03-22 11:08:53,12,0
这美术，这故事，瞬间觉着vivo好厉害。[呲牙],2023-03-22 11:03:32,15,0
中国品牌用中国元素走向世界！真棒👍[星星眼],2023-03-22 11:19:15,5,0
不知所云,2023-03-22 12:40:37,3,0
看了打斗部分笑死人,2023-03-22 10:09:18,12,0
从x6s开始一直用vivo，就x90的背面，每看一次就想到一次冰箱，冰箱，冰箱,2023-03-23 01:19:55,2,0
这标题我看成《卷》了[笑哭],2023-03-22 10:48:33,12,0
乌鸦排面了一回！！！,2023-03-22 10:37:38,8,0
这啥意思啊，没看懂捏怎么[思考],2023-03-22 10:23:39,8,0
何曾几时，我小时候奶奶也给我这么讲故事，满满都是回忆,2023-03-22 10:57:09,6,0
挺有味道的，故事蛮有意思，镜头语言不错，好的东方故事越多越好,2023-03-22 11:59:12,5,0
