评论,时间,点赞数,标签
看这个视频我又皮痒痒了，想念恩师们，他们都老了吧，他们在哪里呀……,2023-03-23 06:45:01,10,0
[脱单doge][doge][脱单doge],2023-03-23 11:43:48,6,0
真的不是麻原家的彰小晃吗,2023-03-23 12:09:40,4,0
高中里办公室有个别的年级的老师搬了个咏春木桩，有时候午休跑办公室去能看他在练功[doge],2023-03-23 10:33:21,2,0
我的高中班主任叫福大才，有没有一样的[doge],2023-03-23 10:39:06,3,0
看老师讲数学题好爽，我也好想再回到高三做数学题[大哭]，我们数学老师超级好，我是她的课代表,2023-03-23 11:22:45,2,0
开始在笑，越看越想哭，当教师真的是我最初的梦想啊,2023-03-23 07:44:49,3,0
老师，你是做什么工作的[tv_疑问],2023-03-23 09:08:36,5,0
坏人来攻击我们了，他们很强大，我们斗不过他们。好消息是，我们打不过就可以加入他们——但是即使你未来加入了他们，曾经那个你就不复存在了吗？,2023-03-23 07:00:07,3,0
老师：课没上完呢！你别想从我体内出来！[疼],2023-03-24 06:53:03,1,0
老师是这样的，上课必须十分亢奋才能带动学生，不然大家都要打瞌睡,2023-03-24 04:26:18,1,0
我初中时候有一名老师讲一节课给自己讲一身汗的,2023-03-24 05:31:18,1,0
我之前高三因为提前招考上了，在那个复习压力巨大的氛围里，在同学们嫉妒的目光中我在那玩王者,2023-03-24 01:38:36,1,0
向他们学习，得整点活了[妙啊],2023-03-24 05:10:50,1,0
他们是很多人但也是一个人——人民教师,2023-03-24 03:09:50,1,0
3：27是什么游戏求告知,2023-03-23 06:10:58,6,0
这么厉害生猛的体育老师，每学期都要生病几周。唉，运动真的能强身健体吗。,2023-03-23 21:21:00,1,0
我妈也是老师看得特别乐[大笑],2023-03-23 13:30:41,1,0
是不是高中数学老师都这样，讲着讲着颅内高潮了，时不时来一句太美妙了。多巴胺分泌止不住了属于,2023-03-23 11:13:25,1,0
人鸣叫师,2023-03-24 05:24:38,1,0
看这个视频我又皮痒痒了，想念恩师们，他们都老了吧，他们在哪里呀……,2023-03-23 06:45:01,10,0
[脱单doge][doge][脱单doge],2023-03-23 11:43:48,6,0
真的不是麻原家的彰小晃吗,2023-03-23 12:09:40,4,0
高中里办公室有个别的年级的老师搬了个咏春木桩，有时候午休跑办公室去能看他在练功[doge],2023-03-23 10:33:21,2,0
我的高中班主任叫福大才，有没有一样的[doge],2023-03-23 10:39:06,3,0
看老师讲数学题好爽，我也好想再回到高三做数学题[大哭]，我们数学老师超级好，我是她的课代表,2023-03-23 11:22:45,2,0
开始在笑，越看越想哭，当教师真的是我最初的梦想啊,2023-03-23 07:44:49,3,0
老师，你是做什么工作的[tv_疑问],2023-03-23 09:08:36,5,0
坏人来攻击我们了，他们很强大，我们斗不过他们。好消息是，我们打不过就可以加入他们——但是即使你未来加入了他们，曾经那个你就不复存在了吗？,2023-03-23 07:00:07,3,0
老师：课没上完呢！你别想从我体内出来！[疼],2023-03-24 06:53:03,1,0
老师是这样的，上课必须十分亢奋才能带动学生，不然大家都要打瞌睡,2023-03-24 04:26:18,1,0
我初中时候有一名老师讲一节课给自己讲一身汗的,2023-03-24 05:31:18,1,0
我之前高三因为提前招考上了，在那个复习压力巨大的氛围里，在同学们嫉妒的目光中我在那玩王者,2023-03-24 01:38:36,1,0
向他们学习，得整点活了[妙啊],2023-03-24 05:10:50,1,0
他们是很多人但也是一个人——人民教师,2023-03-24 03:09:50,1,0
3：27是什么游戏求告知,2023-03-23 06:10:58,6,0
这么厉害生猛的体育老师，每学期都要生病几周。唉，运动真的能强身健体吗。,2023-03-23 21:21:00,1,0
我妈也是老师看得特别乐[大笑],2023-03-23 13:30:41,1,0
是不是高中数学老师都这样，讲着讲着颅内高潮了，时不时来一句太美妙了。多巴胺分泌止不住了属于,2023-03-23 11:13:25,1,0
人鸣叫师,2023-03-24 05:24:38,1,0
看这个视频我又皮痒痒了，想念恩师们，他们都老了吧，他们在哪里呀……,2023-03-23 06:45:01,10,0
[脱单doge][doge][脱单doge],2023-03-23 11:43:48,6,0
真的不是麻原家的彰小晃吗,2023-03-23 12:09:40,4,0
高中里办公室有个别的年级的老师搬了个咏春木桩，有时候午休跑办公室去能看他在练功[doge],2023-03-23 10:33:21,2,0
我的高中班主任叫福大才，有没有一样的[doge],2023-03-23 10:39:06,3,0
看老师讲数学题好爽，我也好想再回到高三做数学题[大哭]，我们数学老师超级好，我是她的课代表,2023-03-23 11:22:45,2,0
开始在笑，越看越想哭，当教师真的是我最初的梦想啊,2023-03-23 07:44:49,3,0
老师，你是做什么工作的[tv_疑问],2023-03-23 09:08:36,5,0
坏人来攻击我们了，他们很强大，我们斗不过他们。好消息是，我们打不过就可以加入他们——但是即使你未来加入了他们，曾经那个你就不复存在了吗？,2023-03-23 07:00:07,3,0
老师：课没上完呢！你别想从我体内出来！[疼],2023-03-24 06:53:03,1,0
老师是这样的，上课必须十分亢奋才能带动学生，不然大家都要打瞌睡,2023-03-24 04:26:18,1,0
我初中时候有一名老师讲一节课给自己讲一身汗的,2023-03-24 05:31:18,1,0
我之前高三因为提前招考上了，在那个复习压力巨大的氛围里，在同学们嫉妒的目光中我在那玩王者,2023-03-24 01:38:36,1,0
向他们学习，得整点活了[妙啊],2023-03-24 05:10:50,1,0
他们是很多人但也是一个人——人民教师,2023-03-24 03:09:50,1,0
3：27是什么游戏求告知,2023-03-23 06:10:58,6,0
这么厉害生猛的体育老师，每学期都要生病几周。唉，运动真的能强身健体吗。,2023-03-23 21:21:00,1,0
我妈也是老师看得特别乐[大笑],2023-03-23 13:30:41,1,0
是不是高中数学老师都这样，讲着讲着颅内高潮了，时不时来一句太美妙了。多巴胺分泌止不住了属于,2023-03-23 11:13:25,1,0
人鸣叫师,2023-03-24 05:24:38,1,0
看这个视频我又皮痒痒了，想念恩师们，他们都老了吧，他们在哪里呀……,2023-03-23 06:45:01,10,0
[脱单doge][doge][脱单doge],2023-03-23 11:43:48,6,0
真的不是麻原家的彰小晃吗,2023-03-23 12:09:40,4,0
高中里办公室有个别的年级的老师搬了个咏春木桩，有时候午休跑办公室去能看他在练功[doge],2023-03-23 10:33:21,2,0
我的高中班主任叫福大才，有没有一样的[doge],2023-03-23 10:39:06,3,0
看老师讲数学题好爽，我也好想再回到高三做数学题[大哭]，我们数学老师超级好，我是她的课代表,2023-03-23 11:22:45,2,0
开始在笑，越看越想哭，当教师真的是我最初的梦想啊,2023-03-23 07:44:49,3,0
老师，你是做什么工作的[tv_疑问],2023-03-23 09:08:36,5,0
坏人来攻击我们了，他们很强大，我们斗不过他们。好消息是，我们打不过就可以加入他们——但是即使你未来加入了他们，曾经那个你就不复存在了吗？,2023-03-23 07:00:07,3,0
老师：课没上完呢！你别想从我体内出来！[疼],2023-03-24 06:53:03,1,0
老师是这样的，上课必须十分亢奋才能带动学生，不然大家都要打瞌睡,2023-03-24 04:26:18,1,0
我初中时候有一名老师讲一节课给自己讲一身汗的,2023-03-24 05:31:18,1,0
我之前高三因为提前招考上了，在那个复习压力巨大的氛围里，在同学们嫉妒的目光中我在那玩王者,2023-03-24 01:38:36,1,0
向他们学习，得整点活了[妙啊],2023-03-24 05:10:50,1,0
他们是很多人但也是一个人——人民教师,2023-03-24 03:09:50,1,0
3：27是什么游戏求告知,2023-03-23 06:10:58,6,0
这么厉害生猛的体育老师，每学期都要生病几周。唉，运动真的能强身健体吗。,2023-03-23 21:21:00,1,0
我妈也是老师看得特别乐[大笑],2023-03-23 13:30:41,1,0
是不是高中数学老师都这样，讲着讲着颅内高潮了，时不时来一句太美妙了。多巴胺分泌止不住了属于,2023-03-23 11:13:25,1,0
人鸣叫师,2023-03-24 05:24:38,1,0
看这个视频我又皮痒痒了，想念恩师们，他们都老了吧，他们在哪里呀……,2023-03-23 06:45:01,10,0
[脱单doge][doge][脱单doge],2023-03-23 11:43:48,6,0
真的不是麻原家的彰小晃吗,2023-03-23 12:09:40,4,0
高中里办公室有个别的年级的老师搬了个咏春木桩，有时候午休跑办公室去能看他在练功[doge],2023-03-23 10:33:21,2,0
我的高中班主任叫福大才，有没有一样的[doge],2023-03-23 10:39:06,3,0
看老师讲数学题好爽，我也好想再回到高三做数学题[大哭]，我们数学老师超级好，我是她的课代表,2023-03-23 11:22:45,2,0
开始在笑，越看越想哭，当教师真的是我最初的梦想啊,2023-03-23 07:44:49,3,0
老师，你是做什么工作的[tv_疑问],2023-03-23 09:08:36,5,0
坏人来攻击我们了，他们很强大，我们斗不过他们。好消息是，我们打不过就可以加入他们——但是即使你未来加入了他们，曾经那个你就不复存在了吗？,2023-03-23 07:00:07,3,0
老师：课没上完呢！你别想从我体内出来！[疼],2023-03-24 06:53:03,1,0
老师是这样的，上课必须十分亢奋才能带动学生，不然大家都要打瞌睡,2023-03-24 04:26:18,1,0
我初中时候有一名老师讲一节课给自己讲一身汗的,2023-03-24 05:31:18,1,0
我之前高三因为提前招考上了，在那个复习压力巨大的氛围里，在同学们嫉妒的目光中我在那玩王者,2023-03-24 01:38:36,1,0
向他们学习，得整点活了[妙啊],2023-03-24 05:10:50,1,0
他们是很多人但也是一个人——人民教师,2023-03-24 03:09:50,1,0
3：27是什么游戏求告知,2023-03-23 06:10:58,6,0
这么厉害生猛的体育老师，每学期都要生病几周。唉，运动真的能强身健体吗。,2023-03-23 21:21:00,1,0
我妈也是老师看得特别乐[大笑],2023-03-23 13:30:41,1,0
是不是高中数学老师都这样，讲着讲着颅内高潮了，时不时来一句太美妙了。多巴胺分泌止不住了属于,2023-03-23 11:13:25,1,0
人鸣叫师,2023-03-24 05:24:38,1,0
看这个视频我又皮痒痒了，想念恩师们，他们都老了吧，他们在哪里呀……,2023-03-23 06:45:01,10,0
[脱单doge][doge][脱单doge],2023-03-23 11:43:48,6,0
真的不是麻原家的彰小晃吗,2023-03-23 12:09:40,4,0
高中里办公室有个别的年级的老师搬了个咏春木桩，有时候午休跑办公室去能看他在练功[doge],2023-03-23 10:33:21,2,0
我的高中班主任叫福大才，有没有一样的[doge],2023-03-23 10:39:06,3,0
看老师讲数学题好爽，我也好想再回到高三做数学题[大哭]，我们数学老师超级好，我是她的课代表,2023-03-23 11:22:45,2,0
开始在笑，越看越想哭，当教师真的是我最初的梦想啊,2023-03-23 07:44:49,3,0
老师，你是做什么工作的[tv_疑问],2023-03-23 09:08:36,5,0
坏人来攻击我们了，他们很强大，我们斗不过他们。好消息是，我们打不过就可以加入他们——但是即使你未来加入了他们，曾经那个你就不复存在了吗？,2023-03-23 07:00:07,3,0
老师：课没上完呢！你别想从我体内出来！[疼],2023-03-24 06:53:03,1,0
老师是这样的，上课必须十分亢奋才能带动学生，不然大家都要打瞌睡,2023-03-24 04:26:18,1,0
我初中时候有一名老师讲一节课给自己讲一身汗的,2023-03-24 05:31:18,1,0
我之前高三因为提前招考上了，在那个复习压力巨大的氛围里，在同学们嫉妒的目光中我在那玩王者,2023-03-24 01:38:36,1,0
向他们学习，得整点活了[妙啊],2023-03-24 05:10:50,1,0
他们是很多人但也是一个人——人民教师,2023-03-24 03:09:50,1,0
3：27是什么游戏求告知,2023-03-23 06:10:58,6,0
这么厉害生猛的体育老师，每学期都要生病几周。唉，运动真的能强身健体吗。,2023-03-23 21:21:00,1,0
我妈也是老师看得特别乐[大笑],2023-03-23 13:30:41,1,0
是不是高中数学老师都这样，讲着讲着颅内高潮了，时不时来一句太美妙了。多巴胺分泌止不住了属于,2023-03-23 11:13:25,1,0
人鸣叫师,2023-03-24 05:24:38,1,0
看这个视频我又皮痒痒了，想念恩师们，他们都老了吧，他们在哪里呀……,2023-03-23 06:45:01,10,0
[脱单doge][doge][脱单doge],2023-03-23 11:43:48,6,0
真的不是麻原家的彰小晃吗,2023-03-23 12:09:40,4,0
高中里办公室有个别的年级的老师搬了个咏春木桩，有时候午休跑办公室去能看他在练功[doge],2023-03-23 10:33:21,2,0
我的高中班主任叫福大才，有没有一样的[doge],2023-03-23 10:39:06,3,0
看老师讲数学题好爽，我也好想再回到高三做数学题[大哭]，我们数学老师超级好，我是她的课代表,2023-03-23 11:22:45,2,0
