评论,时间,点赞数,标签
已下单，不过我反了23.96元的天猫超市卡，不止10元啊，然后天猫超市再领券用超市卡8元下单一箱[星星眼][星星眼],1679463730,273,0
两个人啃一晚上是吧，懂你意思,1679454934,52,0
断章取义一下[doge][doge][doge],1679455298,1354,0
这期是真恋综啊，全程看两人互动[doge],1679457531,17,0
名字都给你抢完，除了叫新婚夫妻什么都不准叫[傲娇][傲娇][傲娇][傲娇],1679454359,46,0
上海老王居然沦落到 带 蒙牛。。。光明不争气啊,1679577849,2,0
哈哈哈，正好今天去吃,1679489378,23,0
一个朋友说的，那个下岗的年代，鸡架不仅便宜，还有有肉，所以很受欢迎，算个荤菜[无语],1679464976,22,0
"全B站的外地up来沈阳拍烧烤都会去他家…
外地朋友真来吃不一定要特意打卡，对于沈阳银表示，最好吃的烧烤永远在你家附近…",1679457758,6,0
以前下岗潮的时候，鸡架有肉还便宜，就是沈阳人最喜欢的食物了。说起来还是时代的眼泪啊。,1679475837,6,0
10:13 全片高能，猪会心动吗[脱单doge],1679461509,24,0
哞~~~~~,1679469351,5,0
因为大厦崩塌后吃不起肉 只能拿鸡架解解馋,1679483994,10,0
王师傅可以去西塔吃点朝鲜菜，也非常好吃的。还有杀猪菜[打call][打call][打call],1679476286,8,0
蒙牛确实好，我一个乳糖不耐受的都能喝,1679506110,5,0
省流：吃撑了,1679583711,2,0
王师傅与刘飞儿终于要来了吗,1679454463,98,0
有一说一我沈阳人还真没听过这个店。。。。哪天去尝尝看，话说来沈阳了吃老四季鸭！,1679454414,76,0
"在2020年有一期视频，是两口子回婆婆家吃饭
脏牧为数不多的上镜了
当时毛毛穿的饲养员，猪头穿的小动物
所以我提议，
新号对称的话就叫
<小动物与饲养员>
顺口的话就叫
<饲养员与小动物>",1679460699,30,0
沈阳不得吃下枪弹啊,1679455001,62,0
两个人啃一晚上是吧，懂你意思,1679454934,52,0
已下单，不过我反了23.96元的天猫超市卡，不止10元啊，然后天猫超市再领券用超市卡8元下单一箱[星星眼][星星眼],1679463730,273,0
这期是真恋综啊，全程看两人互动[doge],1679457531,17,0
名字都给你抢完，除了叫新婚夫妻什么都不准叫[傲娇][傲娇][傲娇][傲娇],1679454359,46,0
上海老王居然沦落到 带 蒙牛。。。光明不争气啊,1679577849,2,0
断章取义一下[doge][doge][doge],1679455298,1354,0
哈哈哈，正好今天去吃,1679489378,23,0
一个朋友说的，那个下岗的年代，鸡架不仅便宜，还有有肉，所以很受欢迎，算个荤菜[无语],1679464976,22,0
"全B站的外地up来沈阳拍烧烤都会去他家…
外地朋友真来吃不一定要特意打卡，对于沈阳银表示，最好吃的烧烤永远在你家附近…",1679457758,6,0
以前下岗潮的时候，鸡架有肉还便宜，就是沈阳人最喜欢的食物了。说起来还是时代的眼泪啊。,1679475837,6,0
10:13 全片高能，猪会心动吗[脱单doge],1679461509,24,0
哞~~~~~,1679469351,5,0
因为大厦崩塌后吃不起肉 只能拿鸡架解解馋,1679483994,10,0
王师傅可以去西塔吃点朝鲜菜，也非常好吃的。还有杀猪菜[打call][打call][打call],1679476286,8,0
蒙牛确实好，我一个乳糖不耐受的都能喝,1679506110,5,0
省流：吃撑了,1679583711,2,0
王师傅与刘飞儿终于要来了吗,1679454463,98,0
有一说一我沈阳人还真没听过这个店。。。。哪天去尝尝看，话说来沈阳了吃老四季鸭！,1679454414,76,0
"在2020年有一期视频，是两口子回婆婆家吃饭
脏牧为数不多的上镜了
当时毛毛穿的饲养员，猪头穿的小动物
所以我提议，
新号对称的话就叫
<小动物与饲养员>
顺口的话就叫
<饲养员与小动物>",1679460699,30,0
沈阳不得吃下枪弹啊,1679455001,62,0
两个人啃一晚上是吧，懂你意思,1679454934,52,0
已下单，不过我反了23.96元的天猫超市卡，不止10元啊，然后天猫超市再领券用超市卡8元下单一箱[星星眼][星星眼],1679463730,273,0
这期是真恋综啊，全程看两人互动[doge],1679457531,17,0
名字都给你抢完，除了叫新婚夫妻什么都不准叫[傲娇][傲娇][傲娇][傲娇],1679454359,46,0
上海老王居然沦落到 带 蒙牛。。。光明不争气啊,1679577849,2,0
断章取义一下[doge][doge][doge],1679455298,1354,0
一个朋友说的，那个下岗的年代，鸡架不仅便宜，还有有肉，所以很受欢迎，算个荤菜[无语],1679464976,22,0
说实话不适合我的胃口  沈阳最好吃的鸡架永远是家楼底下 学校门口 和那些回不去的记忆里,1679542254,7,0
"全B站的外地up来沈阳拍烧烤都会去他家…
外地朋友真来吃不一定要特意打卡，对于沈阳银表示，最好吃的烧烤永远在你家附近…",1679457758,6,0
以前下岗潮的时候，鸡架有肉还便宜，就是沈阳人最喜欢的食物了。说起来还是时代的眼泪啊。,1679475837,6,0
10:13 全片高能，猪会心动吗[脱单doge],1679461509,24,0
哞~~~~~,1679469351,5,0
"在2020年有一期视频，是两口子回婆婆家吃饭
脏牧为数不多的上镜了
当时毛毛穿的饲养员，猪头穿的小动物
所以我提议，
新号对称的话就叫
<小动物与饲养员>
顺口的话就叫
<饲养员与小动物>",1679460699,30,0
因为大厦崩塌后吃不起肉 只能拿鸡架解解馋,1679483994,10,0
王师傅可以去西塔吃点朝鲜菜，也非常好吃的。还有杀猪菜[打call][打call][打call],1679476286,8,0
蒙牛确实好，我一个乳糖不耐受的都能喝,1679506110,5,0
省流：吃撑了,1679583711,2,0
王师傅与刘飞儿终于要来了吗,1679454463,98,0
有一说一我沈阳人还真没听过这个店。。。。哪天去尝尝看，话说来沈阳了吃老四季鸭！,1679454414,76,0
沈阳不得吃下枪弹啊,1679455001,62,0
已下单，不过我反了23.96元的天猫超市卡，不止10元啊，然后天猫超市再领券用超市卡8元下单一箱[星星眼][星星眼],1679463730,273,0
两个人啃一晚上是吧，懂你意思,1679454934,52,0
断章取义一下[doge][doge][doge],1679455298,1354,0
这期是真恋综啊，全程看两人互动[doge],1679457531,17,0
名字都给你抢完，除了叫新婚夫妻什么都不准叫[傲娇][傲娇][傲娇][傲娇],1679454359,46,0
上海老王居然沦落到 带 蒙牛。。。光明不争气啊,1679577849,2,0
一个朋友说的，那个下岗的年代，鸡架不仅便宜，还有有肉，所以很受欢迎，算个荤菜[无语],1679464976,22,0
说实话不适合我的胃口  沈阳最好吃的鸡架永远是家楼底下 学校门口 和那些回不去的记忆里,1679542254,7,0
"全B站的外地up来沈阳拍烧烤都会去他家…
外地朋友真来吃不一定要特意打卡，对于沈阳银表示，最好吃的烧烤永远在你家附近…",1679457758,6,0
以前下岗潮的时候，鸡架有肉还便宜，就是沈阳人最喜欢的食物了。说起来还是时代的眼泪啊。,1679475837,6,0
10:13 全片高能，猪会心动吗[脱单doge],1679461509,24,0
哞~~~~~,1679469351,5,0
"在2020年有一期视频，是两口子回婆婆家吃饭
脏牧为数不多的上镜了
当时毛毛穿的饲养员，猪头穿的小动物
所以我提议，
新号对称的话就叫
<小动物与饲养员>
顺口的话就叫
<饲养员与小动物>",1679460699,30,0
因为大厦崩塌后吃不起肉 只能拿鸡架解解馋,1679483994,10,0
王师傅可以去西塔吃点朝鲜菜，也非常好吃的。还有杀猪菜[打call][打call][打call],1679476286,8,0
蒙牛确实好，我一个乳糖不耐受的都能喝,1679506110,5,0
省流：吃撑了,1679583711,2,0
王师傅与刘飞儿终于要来了吗,1679454463,98,0
有一说一我沈阳人还真没听过这个店。。。。哪天去尝尝看，话说来沈阳了吃老四季鸭！,1679454414,76,0
沈阳不得吃下枪弹啊,1679455001,62,0
已下单，不过我反了23.96元的天猫超市卡，不止10元啊，然后天猫超市再领券用超市卡8元下单一箱[星星眼][星星眼],1679463730,273,0
两个人啃一晚上是吧，懂你意思,1679454934,52,0
断章取义一下[doge][doge][doge],1679455298,1354,0
这期是真恋综啊，全程看两人互动[doge],1679457531,17,0
名字都给你抢完，除了叫新婚夫妻什么都不准叫[傲娇][傲娇][傲娇][傲娇],1679454359,46,0
上海老王居然沦落到 带 蒙牛。。。光明不争气啊,1679577849,2,0
