评论,时间,点赞数,标签
铁山靠[脱单doge],2023-03-23 14:57:25,31,0
？？老戴这么快,2023-03-23 12:00:35,27,0
[OK],2023-03-23 16:16:15,27,0
😭😭😭steam端要明天早上去了😭😭😭,2023-03-23 16:10:08,6,0
竟然没有初见吗，更想看初见一点[脱单doge],2023-03-23 12:06:58,12,0
才一年不见，奎托斯混差了，都变村长了[嗑瓜子][调皮],2023-03-23 17:31:32,4,0
戴麻麻现在发还让不让人睡觉啦，本来明天早八不能搞机就烦[傲娇],2023-03-23 15:03:10,5,0
我还以为老戴能提前拿到游戏，把视频录好，解禁了就全都放出来了,2023-03-23 12:12:13,4,0
这个僵尸……是b站的？,2023-03-23 17:26:03,5,0
有初见吗？怀念戴妈妈在8时候的惊吓,2023-03-24 01:28:51,2,0
梦回在爱奇艺看老戴那段时间[脱单doge],2023-03-23 17:09:56,3,0
嫁人就得嫁老戴这样的！真是把过日子的好手👍！,2023-03-24 06:55:16,1,0
steam的什么时候能预载？,2023-03-23 12:44:22,8,0
本身中配没什么，但不喜欢中配就是二鬼子可还行[支持]，有的人他看着一堆外国人说着配音腔的中文就是不习惯，有的人他就觉得听着中文挺好的，本来都没什么，非要搁这开火,2023-03-23 15:18:12,1,0
说实话，国配很不错了，还有能不能别听见几句就开始刷配音演员配过谁，很ky的，特别是mhy那几个，弹幕一天到晚就是刷这不是谁谁谁吗，看着就很烦，人家配什么就别刷无关的东西了，尊重一下当前作品[热],2023-03-23 19:04:18,7,0
凌晨四点多两千多人同时在看，你们都不用上班上学的吗[热词系列_知识增加],2023-03-23 20:52:53,2,0
老戴是真的强，游戏才刚刚出老戴硬核攻略都做出来了,2023-03-24 04:20:43,1,0
啊这,2023-03-24 00:38:15,8,0
从预购到24号等了几个月结果发现24号凌晨还是不能下载[大哭],2023-03-23 16:40:03,3,0
[tv_偷笑]里三光“屠村”记[tv_偷笑],2023-03-24 04:55:01,1,0
铁山靠[脱单doge],2023-03-23 14:57:25,31,0
？？老戴这么快,2023-03-23 12:00:35,27,0
[OK],2023-03-23 16:16:15,27,0
😭😭😭steam端要明天早上去了😭😭😭,2023-03-23 16:10:08,6,0
竟然没有初见吗，更想看初见一点[脱单doge],2023-03-23 12:06:58,12,0
才一年不见，奎托斯混差了，都变村长了[嗑瓜子][调皮],2023-03-23 17:31:32,4,0
戴麻麻现在发还让不让人睡觉啦，本来明天早八不能搞机就烦[傲娇],2023-03-23 15:03:10,5,0
我还以为老戴能提前拿到游戏，把视频录好，解禁了就全都放出来了,2023-03-23 12:12:13,4,0
这个僵尸……是b站的？,2023-03-23 17:26:03,5,0
有初见吗？怀念戴妈妈在8时候的惊吓,2023-03-24 01:28:51,2,0
梦回在爱奇艺看老戴那段时间[脱单doge],2023-03-23 17:09:56,3,0
嫁人就得嫁老戴这样的！真是把过日子的好手👍！,2023-03-24 06:55:16,1,0
steam的什么时候能预载？,2023-03-23 12:44:22,8,0
本身中配没什么，但不喜欢中配就是二鬼子可还行[支持]，有的人他看着一堆外国人说着配音腔的中文就是不习惯，有的人他就觉得听着中文挺好的，本来都没什么，非要搁这开火,2023-03-23 15:18:12,1,0
说实话，国配很不错了，还有能不能别听见几句就开始刷配音演员配过谁，很ky的，特别是mhy那几个，弹幕一天到晚就是刷这不是谁谁谁吗，看着就很烦，人家配什么就别刷无关的东西了，尊重一下当前作品[热],2023-03-23 19:04:18,7,0
凌晨四点多两千多人同时在看，你们都不用上班上学的吗[热词系列_知识增加],2023-03-23 20:52:53,2,0
老戴是真的强，游戏才刚刚出老戴硬核攻略都做出来了,2023-03-24 04:20:43,1,0
啊这,2023-03-24 00:38:15,8,0
从预购到24号等了几个月结果发现24号凌晨还是不能下载[大哭],2023-03-23 16:40:03,3,0
[tv_偷笑]里三光“屠村”记[tv_偷笑],2023-03-24 04:55:01,1,0
铁山靠[脱单doge],2023-03-23 14:57:25,31,0
？？老戴这么快,2023-03-23 12:00:35,27,0
[OK],2023-03-23 16:16:15,27,0
😭😭😭steam端要明天早上去了😭😭😭,2023-03-23 16:10:08,6,0
竟然没有初见吗，更想看初见一点[脱单doge],2023-03-23 12:06:58,12,0
才一年不见，奎托斯混差了，都变村长了[嗑瓜子][调皮],2023-03-23 17:31:32,4,0
戴麻麻现在发还让不让人睡觉啦，本来明天早八不能搞机就烦[傲娇],2023-03-23 15:03:10,5,0
我还以为老戴能提前拿到游戏，把视频录好，解禁了就全都放出来了,2023-03-23 12:12:13,4,0
这个僵尸……是b站的？,2023-03-23 17:26:03,5,0
有初见吗？怀念戴妈妈在8时候的惊吓,2023-03-24 01:28:51,2,0
梦回在爱奇艺看老戴那段时间[脱单doge],2023-03-23 17:09:56,3,0
嫁人就得嫁老戴这样的！真是把过日子的好手👍！,2023-03-24 06:55:16,1,0
steam的什么时候能预载？,2023-03-23 12:44:22,8,0
本身中配没什么，但不喜欢中配就是二鬼子可还行[支持]，有的人他看着一堆外国人说着配音腔的中文就是不习惯，有的人他就觉得听着中文挺好的，本来都没什么，非要搁这开火,2023-03-23 15:18:12,1,0
说实话，国配很不错了，还有能不能别听见几句就开始刷配音演员配过谁，很ky的，特别是mhy那几个，弹幕一天到晚就是刷这不是谁谁谁吗，看着就很烦，人家配什么就别刷无关的东西了，尊重一下当前作品[热],2023-03-23 19:04:18,7,0
凌晨四点多两千多人同时在看，你们都不用上班上学的吗[热词系列_知识增加],2023-03-23 20:52:53,2,0
老戴是真的强，游戏才刚刚出老戴硬核攻略都做出来了,2023-03-24 04:20:43,1,0
啊这,2023-03-24 00:38:15,8,0
从预购到24号等了几个月结果发现24号凌晨还是不能下载[大哭],2023-03-23 16:40:03,3,0
[tv_偷笑]里三光“屠村”记[tv_偷笑],2023-03-24 04:55:01,1,0
铁山靠[脱单doge],2023-03-23 14:57:25,31,0
？？老戴这么快,2023-03-23 12:00:35,27,0
[OK],2023-03-23 16:16:15,27,0
😭😭😭steam端要明天早上去了😭😭😭,2023-03-23 16:10:08,6,0
竟然没有初见吗，更想看初见一点[脱单doge],2023-03-23 12:06:58,12,0
才一年不见，奎托斯混差了，都变村长了[嗑瓜子][调皮],2023-03-23 17:31:32,4,0
戴麻麻现在发还让不让人睡觉啦，本来明天早八不能搞机就烦[傲娇],2023-03-23 15:03:10,5,0
我还以为老戴能提前拿到游戏，把视频录好，解禁了就全都放出来了,2023-03-23 12:12:13,4,0
这个僵尸……是b站的？,2023-03-23 17:26:03,5,0
有初见吗？怀念戴妈妈在8时候的惊吓,2023-03-24 01:28:51,2,0
梦回在爱奇艺看老戴那段时间[脱单doge],2023-03-23 17:09:56,3,0
嫁人就得嫁老戴这样的！真是把过日子的好手👍！,2023-03-24 06:55:16,1,0
steam的什么时候能预载？,2023-03-23 12:44:22,8,0
本身中配没什么，但不喜欢中配就是二鬼子可还行[支持]，有的人他看着一堆外国人说着配音腔的中文就是不习惯，有的人他就觉得听着中文挺好的，本来都没什么，非要搁这开火,2023-03-23 15:18:12,1,0
说实话，国配很不错了，还有能不能别听见几句就开始刷配音演员配过谁，很ky的，特别是mhy那几个，弹幕一天到晚就是刷这不是谁谁谁吗，看着就很烦，人家配什么就别刷无关的东西了，尊重一下当前作品[热],2023-03-23 19:04:18,7,0
凌晨四点多两千多人同时在看，你们都不用上班上学的吗[热词系列_知识增加],2023-03-23 20:52:53,2,0
老戴是真的强，游戏才刚刚出老戴硬核攻略都做出来了,2023-03-24 04:20:43,1,0
啊这,2023-03-24 00:38:15,8,0
从预购到24号等了几个月结果发现24号凌晨还是不能下载[大哭],2023-03-23 16:40:03,3,0
[tv_偷笑]里三光“屠村”记[tv_偷笑],2023-03-24 04:55:01,1,0
铁山靠[脱单doge],2023-03-23 14:57:25,31,0
？？老戴这么快,2023-03-23 12:00:35,27,0
[OK],2023-03-23 16:16:15,27,0
😭😭😭steam端要明天早上去了😭😭😭,2023-03-23 16:10:08,6,0
竟然没有初见吗，更想看初见一点[脱单doge],2023-03-23 12:06:58,12,0
才一年不见，奎托斯混差了，都变村长了[嗑瓜子][调皮],2023-03-23 17:31:32,4,0
戴麻麻现在发还让不让人睡觉啦，本来明天早八不能搞机就烦[傲娇],2023-03-23 15:03:10,5,0
我还以为老戴能提前拿到游戏，把视频录好，解禁了就全都放出来了,2023-03-23 12:12:13,4,0
这个僵尸……是b站的？,2023-03-23 17:26:03,5,0
有初见吗？怀念戴妈妈在8时候的惊吓,2023-03-24 01:28:51,2,0
梦回在爱奇艺看老戴那段时间[脱单doge],2023-03-23 17:09:56,3,0
嫁人就得嫁老戴这样的！真是把过日子的好手👍！,2023-03-24 06:55:16,1,0
steam的什么时候能预载？,2023-03-23 12:44:22,8,0
本身中配没什么，但不喜欢中配就是二鬼子可还行[支持]，有的人他看着一堆外国人说着配音腔的中文就是不习惯，有的人他就觉得听着中文挺好的，本来都没什么，非要搁这开火,2023-03-23 15:18:12,1,0
说实话，国配很不错了，还有能不能别听见几句就开始刷配音演员配过谁，很ky的，特别是mhy那几个，弹幕一天到晚就是刷这不是谁谁谁吗，看着就很烦，人家配什么就别刷无关的东西了，尊重一下当前作品[热],2023-03-23 19:04:18,7,0
凌晨四点多两千多人同时在看，你们都不用上班上学的吗[热词系列_知识增加],2023-03-23 20:52:53,2,0
老戴是真的强，游戏才刚刚出老戴硬核攻略都做出来了,2023-03-24 04:20:43,1,0
啊这,2023-03-24 00:38:15,8,0
从预购到24号等了几个月结果发现24号凌晨还是不能下载[大哭],2023-03-23 16:40:03,3,0
[tv_偷笑]里三光“屠村”记[tv_偷笑],2023-03-24 04:55:01,1,0
铁山靠[脱单doge],2023-03-23 14:57:25,31,0
？？老戴这么快,2023-03-23 12:00:35,27,0
[OK],2023-03-23 16:16:15,27,0
😭😭😭steam端要明天早上去了😭😭😭,2023-03-23 16:10:08,6,0
竟然没有初见吗，更想看初见一点[脱单doge],2023-03-23 12:06:58,12,0
才一年不见，奎托斯混差了，都变村长了[嗑瓜子][调皮],2023-03-23 17:31:32,4,0
戴麻麻现在发还让不让人睡觉啦，本来明天早八不能搞机就烦[傲娇],2023-03-23 15:03:10,5,0
我还以为老戴能提前拿到游戏，把视频录好，解禁了就全都放出来了,2023-03-23 12:12:13,4,0
这个僵尸……是b站的？,2023-03-23 17:26:03,5,0
有初见吗？怀念戴妈妈在8时候的惊吓,2023-03-24 01:28:51,2,0
梦回在爱奇艺看老戴那段时间[脱单doge],2023-03-23 17:09:56,3,0
嫁人就得嫁老戴这样的！真是把过日子的好手👍！,2023-03-24 06:55:16,1,0
steam的什么时候能预载？,2023-03-23 12:44:22,8,0
本身中配没什么，但不喜欢中配就是二鬼子可还行[支持]，有的人他看着一堆外国人说着配音腔的中文就是不习惯，有的人他就觉得听着中文挺好的，本来都没什么，非要搁这开火,2023-03-23 15:18:12,1,0
说实话，国配很不错了，还有能不能别听见几句就开始刷配音演员配过谁，很ky的，特别是mhy那几个，弹幕一天到晚就是刷这不是谁谁谁吗，看着就很烦，人家配什么就别刷无关的东西了，尊重一下当前作品[热],2023-03-23 19:04:18,7,0
凌晨四点多两千多人同时在看，你们都不用上班上学的吗[热词系列_知识增加],2023-03-23 20:52:53,2,0
老戴是真的强，游戏才刚刚出老戴硬核攻略都做出来了,2023-03-24 04:20:43,1,0
啊这,2023-03-24 00:38:15,8,0
从预购到24号等了几个月结果发现24号凌晨还是不能下载[大哭],2023-03-23 16:40:03,3,0
[tv_偷笑]里三光“屠村”记[tv_偷笑],2023-03-24 04:55:01,1,0
铁山靠[脱单doge],2023-03-23 14:57:25,31,0
？？老戴这么快,2023-03-23 12:00:35,27,0
[OK],2023-03-23 16:16:15,27,0
😭😭😭steam端要明天早上去了😭😭😭,2023-03-23 16:10:08,6,0
竟然没有初见吗，更想看初见一点[脱单doge],2023-03-23 12:06:58,12,0
才一年不见，奎托斯混差了，都变村长了[嗑瓜子][调皮],2023-03-23 17:31:32,4,0
戴麻麻现在发还让不让人睡觉啦，本来明天早八不能搞机就烦[傲娇],2023-03-23 15:03:10,5,0
我还以为老戴能提前拿到游戏，把视频录好，解禁了就全都放出来了,2023-03-23 12:12:13,4,0
这个僵尸……是b站的？,2023-03-23 17:26:03,5,0
有初见吗？怀念戴妈妈在8时候的惊吓,2023-03-24 01:28:51,2,0
梦回在爱奇艺看老戴那段时间[脱单doge],2023-03-23 17:09:56,3,0
嫁人就得嫁老戴这样的！真是把过日子的好手👍！,2023-03-24 06:55:16,1,0
steam的什么时候能预载？,2023-03-23 12:44:22,8,0
本身中配没什么，但不喜欢中配就是二鬼子可还行[支持]，有的人他看着一堆外国人说着配音腔的中文就是不习惯，有的人他就觉得听着中文挺好的，本来都没什么，非要搁这开火,2023-03-23 15:18:12,1,0
