评论,时间,点赞数,标签
不愿透露姓名的刘承铭同学[笑哭][笑哭],1679580999,3,0
学弟你好，很抱歉以这种方式认识你[doge],1679500020,7,0
为什么一个瑶子能火。。不理解,1679505782,5,0
"宣告，汝之身托吾麾下；吾之命运附汝剑上，响应圣杯之召唤，遵从这意志、道理者，回应我！
十载华年荏苒，少年终将成王[干杯][奶茶干杯]",1679486456,5,0
看封面以为是马老师打了五鞭,1679561888,3,0
@机器工具人 识别歌曲,1679501164,3,0
赢了的话，标题就是省赛赢了，摇一个,1679492739,8,0
这不比格10便宜又会摇？@曼城足球俱乐部 [doge],1679495054,7,0
虽然你输了比赛，但是你赢了网络[OK],1679441242,19,0
我是一个QQ农场偷菜时代长大的90后，看到现在的中学生这么自信展现自我真的很感慨。,1679473342,4,0
本来形势一片大好，可是对面嘴里突然嘟囔着什么羁绊，什么努力之类的话，发疯了一样冲过来，我们根本无法阻挡[大哭],1679393707,1994,0
知道为什么粉丝这么多了  看了三秒我也忍不住关注了,1679503827,6,0
我是昭通一中代表队的[tv_doge][tv_doge][tv_doge]面基一下呗,1679544894,3,0
一位点赞的靓仔路过,1679591100,3,0
才发现up是玉溪一中的，祝愿自己今年也考进玉溪一中,1679498980,8,0
呃，我想真诚的问一句大家，这种视频有什么意义吗，大家好像看的很开心的样子？开心的点在哪吗,1679551312,5,0
[崩坏3_糖葫芦]啊这,1679503971,9,0
好好好,1679417796,299,0
无始大帝背对众生！,1679499786,6,0
这姿势就离谱,1679470776,13,0
不愿透露姓名的刘承铭同学[笑哭][笑哭],1679580999,3,0
学弟你好，很抱歉以这种方式认识你[doge],1679500020,7,0
为什么一个瑶子能火。。不理解,1679505782,5,0
看封面以为是马老师打了五鞭,1679561888,3,0
"宣告，汝之身托吾麾下；吾之命运附汝剑上，响应圣杯之召唤，遵从这意志、道理者，回应我！
十载华年荏苒，少年终将成王[干杯][奶茶干杯]",1679486456,5,0
@机器工具人 识别歌曲,1679501164,3,0
赢了的话，标题就是省赛赢了，摇一个,1679492739,8,0
这不比格10便宜又会摇？@曼城足球俱乐部 [doge],1679495054,7,0
虽然你输了比赛，但是你赢了网络[OK],1679441242,19,0
我是一个QQ农场偷菜时代长大的90后，看到现在的中学生这么自信展现自我真的很感慨。,1679473342,4,0
本来形势一片大好，可是对面嘴里突然嘟囔着什么羁绊，什么努力之类的话，发疯了一样冲过来，我们根本无法阻挡[大哭],1679393707,1994,0
知道为什么粉丝这么多了  看了三秒我也忍不住关注了,1679503827,6,0
我是昭通一中代表队的[tv_doge][tv_doge][tv_doge]面基一下呗,1679544894,3,0
一位点赞的靓仔路过,1679591100,3,0
才发现up是玉溪一中的，祝愿自己今年也考进玉溪一中,1679498980,8,0
呃，我想真诚的问一句大家，这种视频有什么意义吗，大家好像看的很开心的样子？开心的点在哪吗,1679551312,5,0
[崩坏3_糖葫芦]啊这,1679503971,9,0
好好好,1679417796,299,0
无始大帝背对众生！,1679499786,6,0
这姿势就离谱,1679470776,13,0
不愿透露姓名的刘承铭同学[笑哭][笑哭],1679580999,3,0
学弟你好，很抱歉以这种方式认识你[doge],1679500020,7,0
为什么一个瑶子能火。。不理解,1679505782,5,0
看封面以为是马老师打了五鞭,1679561888,3,0
"宣告，汝之身托吾麾下；吾之命运附汝剑上，响应圣杯之召唤，遵从这意志、道理者，回应我！
十载华年荏苒，少年终将成王[干杯][奶茶干杯]",1679486456,5,0
@机器工具人 识别歌曲,1679501164,3,0
赢了的话，标题就是省赛赢了，摇一个,1679492739,8,0
这不比格10便宜又会摇？@曼城足球俱乐部 [doge],1679495054,7,0
虽然你输了比赛，但是你赢了网络[OK],1679441242,19,0
我是一个QQ农场偷菜时代长大的90后，看到现在的中学生这么自信展现自我真的很感慨。,1679473342,4,0
我觉得不要开灯，戴个发光眼镜👓，再手上拿两发光的。这样摇起来带感啊！务必顶我上去！[打call],1679486713,36,0
知道为什么粉丝这么多了  看了三秒我也忍不住关注了,1679503827,6,0
一位点赞的靓仔路过,1679591100,3,0
我是昭通一中代表队的[tv_doge][tv_doge][tv_doge]面基一下呗,1679544894,3,0
呃，我想真诚的问一句大家，这种视频有什么意义吗，大家好像看的很开心的样子？开心的点在哪吗,1679551312,5,0
才发现up是玉溪一中的，祝愿自己今年也考进玉溪一中,1679498980,8,0
[崩坏3_糖葫芦]啊这,1679503971,9,0
好好好,1679417796,299,0
这姿势就离谱,1679470776,13,0
无始大帝背对众生！,1679499786,6,0
不愿透露姓名的刘承铭同学[笑哭][笑哭],1679580999,3,0
学弟你好，很抱歉以这种方式认识你[doge],1679500020,7,0
为什么一个瑶子能火。。不理解,1679505782,5,0
"宣告，汝之身托吾麾下；吾之命运附汝剑上，响应圣杯之召唤，遵从这意志、道理者，回应我！
十载华年荏苒，少年终将成王[干杯][奶茶干杯]",1679486456,5,0
看封面以为是马老师打了五鞭,1679561888,3,0
@机器工具人 识别歌曲,1679501164,3,0
赢了的话，标题就是省赛赢了，摇一个,1679492739,8,0
这不比格10便宜又会摇？@曼城足球俱乐部 [doge],1679495054,7,0
虽然你输了比赛，但是你赢了网络[OK],1679441242,19,0
我是一个QQ农场偷菜时代长大的90后，看到现在的中学生这么自信展现自我真的很感慨。,1679473342,4,0
本来形势一片大好，可是对面嘴里突然嘟囔着什么羁绊，什么努力之类的话，发疯了一样冲过来，我们根本无法阻挡[大哭],1679393707,1994,0
知道为什么粉丝这么多了  看了三秒我也忍不住关注了,1679503827,6,0
我是昭通一中代表队的[tv_doge][tv_doge][tv_doge]面基一下呗,1679544894,3,0
一位点赞的靓仔路过,1679591100,3,0
才发现up是玉溪一中的，祝愿自己今年也考进玉溪一中,1679498980,8,0
呃，我想真诚的问一句大家，这种视频有什么意义吗，大家好像看的很开心的样子？开心的点在哪吗,1679551312,5,0
[崩坏3_糖葫芦]啊这,1679503971,9,0
好好好,1679417796,299,0
无始大帝背对众生！,1679499786,6,0
这姿势就离谱,1679470776,13,0
不愿透露姓名的刘承铭同学[笑哭][笑哭],1679580999,3,0
学弟你好，很抱歉以这种方式认识你[doge],1679500020,7,0
为什么一个瑶子能火。。不理解,1679505782,5,0
看封面以为是马老师打了五鞭,1679561888,3,0
"宣告，汝之身托吾麾下；吾之命运附汝剑上，响应圣杯之召唤，遵从这意志、道理者，回应我！
十载华年荏苒，少年终将成王[干杯][奶茶干杯]",1679486456,5,0
@机器工具人 识别歌曲,1679501164,3,0
赢了的话，标题就是省赛赢了，摇一个,1679492739,8,0
这不比格10便宜又会摇？@曼城足球俱乐部 [doge],1679495054,7,0
虽然你输了比赛，但是你赢了网络[OK],1679441242,19,0
我是一个QQ农场偷菜时代长大的90后，看到现在的中学生这么自信展现自我真的很感慨。,1679473342,4,0
我觉得不要开灯，戴个发光眼镜👓，再手上拿两发光的。这样摇起来带感啊！务必顶我上去！[打call],1679486713,36,0
知道为什么粉丝这么多了  看了三秒我也忍不住关注了,1679503827,6,0
一位点赞的靓仔路过,1679591100,3,0
我是昭通一中代表队的[tv_doge][tv_doge][tv_doge]面基一下呗,1679544894,3,0
呃，我想真诚的问一句大家，这种视频有什么意义吗，大家好像看的很开心的样子？开心的点在哪吗,1679551312,5,0
才发现up是玉溪一中的，祝愿自己今年也考进玉溪一中,1679498980,8,0
[崩坏3_糖葫芦]啊这,1679503971,9,0
好好好,1679417796,299,0
这姿势就离谱,1679470776,13,0
无始大帝背对众生！,1679499786,6,0
不愿透露姓名的刘承铭同学[笑哭][笑哭],1679580999,3,0
学弟你好，很抱歉以这种方式认识你[doge],1679500020,7,0
为什么一个瑶子能火。。不理解,1679505782,5,0
"宣告，汝之身托吾麾下；吾之命运附汝剑上，响应圣杯之召唤，遵从这意志、道理者，回应我！
十载华年荏苒，少年终将成王[干杯][奶茶干杯]",1679486456,5,0
看封面以为是马老师打了五鞭,1679561888,3,0
@机器工具人 识别歌曲,1679501164,3,0
赢了的话，标题就是省赛赢了，摇一个,1679492739,8,0
这不比格10便宜又会摇？@曼城足球俱乐部 [doge],1679495054,7,0
虽然你输了比赛，但是你赢了网络[OK],1679441242,19,0
我是一个QQ农场偷菜时代长大的90后，看到现在的中学生这么自信展现自我真的很感慨。,1679473342,4,0
本来形势一片大好，可是对面嘴里突然嘟囔着什么羁绊，什么努力之类的话，发疯了一样冲过来，我们根本无法阻挡[大哭],1679393707,1994,0
知道为什么粉丝这么多了  看了三秒我也忍不住关注了,1679503827,6,0
我是昭通一中代表队的[tv_doge][tv_doge][tv_doge]面基一下呗,1679544894,3,0
一位点赞的靓仔路过,1679591100,3,0
才发现up是玉溪一中的，祝愿自己今年也考进玉溪一中,1679498980,8,0
呃，我想真诚的问一句大家，这种视频有什么意义吗，大家好像看的很开心的样子？开心的点在哪吗,1679551312,5,0
[崩坏3_糖葫芦]啊这,1679503971,9,0
好好好,1679417796,299,0
无始大帝背对众生！,1679499786,6,0
这姿势就离谱,1679470776,13,0
不愿透露姓名的刘承铭同学[笑哭][笑哭],1679580999,3,0
学弟你好，很抱歉以这种方式认识你[doge],1679500020,7,0
为什么一个瑶子能火。。不理解,1679505782,5,0
看封面以为是马老师打了五鞭,1679561888,3,0
"宣告，汝之身托吾麾下；吾之命运附汝剑上，响应圣杯之召唤，遵从这意志、道理者，回应我！
十载华年荏苒，少年终将成王[干杯][奶茶干杯]",1679486456,5,0
@机器工具人 识别歌曲,1679501164,3,0
赢了的话，标题就是省赛赢了，摇一个,1679492739,8,0
这不比格10便宜又会摇？@曼城足球俱乐部 [doge],1679495054,7,0
虽然你输了比赛，但是你赢了网络[OK],1679441242,19,0
我是一个QQ农场偷菜时代长大的90后，看到现在的中学生这么自信展现自我真的很感慨。,1679473342,4,0
