评论,时间,点赞数,标签
早八人有斗蛐蛐看[灵魂出窍],1679442042,339,0
"时隔三年，依旧没有能在正面实力上和红刀哥抗衡的干员出现
“他挥舞着赤红的刀刃，时隔三年，你有觉悟能再次接下他这一击吗？”",1679490710,9,0
红刀哥： 你和你的黄金大队让我感到可笑,1679495151,13,0
是谁因为打不过而爱上红刀哥？是我[脱单doge],1679531481,5,0
来点朝花夕拾[脱单doge],1679457776,60,0
省流:单挑只有琴柳活下来了，练谁不用我说了吧[脱单doge],1679445610,12,0
老爷子硬砍到20[蛆音娘_滑稽],1679447181,175,0
"来的太早不知道说啥，晒一下我的首期阵容18吧[doge]
有兴趣的可以试试，要求是只准用第一期合约之前的box，禁模组（因为当时没有模组）",1679442200,596,0
红刀哥：让我康康小苏茜过的怎么样！,1679485626,19,0
"罗德岛：时代变了刀哥[歪嘴]
红刀：是啊，时代变了[doge]",1679567880,7,0
"本期最极端的词条组合：火与钢+攻击力增加80%+生命值上限增加120%+防御力增加200点。
“复仇者”本体血量2.3万，800攻，650护甲和60法抗，攻击间隔3.0秒。
经过最极端的加成后，“复仇者max版”血量12.65万，如果考虑到半血以下获得60%减伤，则意味着非真伤两个阶段要打37.95万血；护甲850；常态1440攻；半血以下攻击力5472；常态攻击间隔1.5秒。

我笑那大黄无谋,rua牛少智，其实完全可以搞得再阴间点，就跟当年一样，路上给弄个源石地板什么的，雷德一旦踩到源石地板，把攻击间隔减到1.0秒，常态攻击力提高到2160，半血以下攻击力8208",1679586536,5,0
这就是红刀哥的魅力，别的斗蛐蛐都是希望干员赢，这次是希望红刀哥赢[脱单doge],1679448637,23,0
那些沒經歷過59的人總是說著42對紅刀怎樣的，現在紅刀帶上各種TAG重新回來了,1679487706,14,0
这就不得不提…,1679535977,24,0
如果在左上角放一个源石地板，那将是绝杀[墨镜],1679445249,66,0
纯萌新，不懂就问。你们当初打的是这种东西吗（肃然起敬）,1679476112,11,0
很符合我对“近卫脆如纸，重装纸对折”的刻板印象[滑稽],1679463569,15,0
既然这次的红刀是雷德，还加强成了这样，那我们是不是可以管他叫雷德王？,1679443302,13,0
"最后的温迪戈死于魔王，
最后的红刀哥死于？？？
[滑稽][滑稽][滑稽][滑稽][滑稽][滑稽]",1679459604,15,0
我是彩笔，但我尽力了,1679456164,196,0
早八人有斗蛐蛐看[灵魂出窍],1679442042,339,0
"时隔三年，依旧没有能在正面实力上和红刀哥抗衡的干员出现
“他挥舞着赤红的刀刃，时隔三年，你有觉悟能再次接下他这一击吗？”",1679490710,9,0
红刀哥： 你和你的黄金大队让我感到可笑,1679495151,13,0
是谁因为打不过而爱上红刀哥？是我[脱单doge],1679531481,5,0
来点朝花夕拾[脱单doge],1679457776,60,0
省流:单挑只有琴柳活下来了，练谁不用我说了吧[脱单doge],1679445610,12,0
老爷子硬砍到20[蛆音娘_滑稽],1679447181,175,0
"来的太早不知道说啥，晒一下我的首期阵容18吧[doge]
有兴趣的可以试试，要求是只准用第一期合约之前的box，禁模组（因为当时没有模组）",1679442200,596,0
红刀哥：让我康康小苏茜过的怎么样！,1679485626,19,0
"罗德岛：时代变了刀哥[歪嘴]
红刀：是啊，时代变了[doge]",1679567880,7,0
"本期最极端的词条组合：火与钢+攻击力增加80%+生命值上限增加120%+防御力增加200点。
“复仇者”本体血量2.3万，800攻，650护甲和60法抗，攻击间隔3.0秒。
经过最极端的加成后，“复仇者max版”血量12.65万，如果考虑到半血以下获得60%减伤，则意味着非真伤两个阶段要打37.95万血；护甲850；常态1440攻；半血以下攻击力5472；常态攻击间隔1.5秒。

我笑那大黄无谋,rua牛少智，其实完全可以搞得再阴间点，就跟当年一样，路上给弄个源石地板什么的，雷德一旦踩到源石地板，把攻击间隔减到1.0秒，常态攻击力提高到2160，半血以下攻击力8208",1679586536,5,0
这就是红刀哥的魅力，别的斗蛐蛐都是希望干员赢，这次是希望红刀哥赢[脱单doge],1679448637,23,0
那些沒經歷過59的人總是說著42對紅刀怎樣的，現在紅刀帶上各種TAG重新回來了,1679487706,14,0
这就不得不提…,1679535977,24,0
如果在左上角放一个源石地板，那将是绝杀[墨镜],1679445249,66,0
纯萌新，不懂就问。你们当初打的是这种东西吗（肃然起敬）,1679476112,11,0
很符合我对“近卫脆如纸，重装纸对折”的刻板印象[滑稽],1679463569,15,0
既然这次的红刀是雷德，还加强成了这样，那我们是不是可以管他叫雷德王？,1679443302,13,0
"最后的温迪戈死于魔王，
最后的红刀哥死于？？？
[滑稽][滑稽][滑稽][滑稽][滑稽][滑稽]",1679459604,15,0
我是彩笔，但我尽力了,1679456164,196,0
早八人有斗蛐蛐看[灵魂出窍],1679442042,339,0
"时隔三年，依旧没有能在正面实力上和红刀哥抗衡的干员出现
“他挥舞着赤红的刀刃，时隔三年，你有觉悟能再次接下他这一击吗？”",1679490710,9,0
红刀哥： 你和你的黄金大队让我感到可笑,1679495151,13,0
是谁因为打不过而爱上红刀哥？是我[脱单doge],1679531481,5,0
来点朝花夕拾[脱单doge],1679457776,60,0
省流:单挑只有琴柳活下来了，练谁不用我说了吧[脱单doge],1679445610,12,0
老爷子硬砍到20[蛆音娘_滑稽],1679447181,175,0
"来的太早不知道说啥，晒一下我的首期阵容18吧[doge]
有兴趣的可以试试，要求是只准用第一期合约之前的box，禁模组（因为当时没有模组）",1679442200,596,0
红刀哥：让我康康小苏茜过的怎么样！,1679485626,19,0
"罗德岛：时代变了刀哥[歪嘴]
红刀：是啊，时代变了[doge]",1679567880,7,0
"本期最极端的词条组合：火与钢+攻击力增加80%+生命值上限增加120%+防御力增加200点。
“复仇者”本体血量2.3万，800攻，650护甲和60法抗，攻击间隔3.0秒。
经过最极端的加成后，“复仇者max版”血量12.65万，如果考虑到半血以下获得60%减伤，则意味着非真伤两个阶段要打37.95万血；护甲850；常态1440攻；半血以下攻击力5472；常态攻击间隔1.5秒。

我笑那大黄无谋,rua牛少智，其实完全可以搞得再阴间点，就跟当年一样，路上给弄个源石地板什么的，雷德一旦踩到源石地板，把攻击间隔减到1.0秒，常态攻击力提高到2160，半血以下攻击力8208",1679586536,5,0
这就是红刀哥的魅力，别的斗蛐蛐都是希望干员赢，这次是希望红刀哥赢[脱单doge],1679448637,23,0
那些沒經歷過59的人總是說著42對紅刀怎樣的，現在紅刀帶上各種TAG重新回來了,1679487706,14,0
这就不得不提…,1679535977,24,0
如果在左上角放一个源石地板，那将是绝杀[墨镜],1679445249,66,0
纯萌新，不懂就问。你们当初打的是这种东西吗（肃然起敬）,1679476112,11,0
很符合我对“近卫脆如纸，重装纸对折”的刻板印象[滑稽],1679463569,15,0
既然这次的红刀是雷德，还加强成了这样，那我们是不是可以管他叫雷德王？,1679443302,13,0
"最后的温迪戈死于魔王，
最后的红刀哥死于？？？
[滑稽][滑稽][滑稽][滑稽][滑稽][滑稽]",1679459604,15,0
我是彩笔，但我尽力了,1679456164,196,0
早八人有斗蛐蛐看[灵魂出窍],1679442042,339,0
"时隔三年，依旧没有能在正面实力上和红刀哥抗衡的干员出现
“他挥舞着赤红的刀刃，时隔三年，你有觉悟能再次接下他这一击吗？”",1679490710,9,0
红刀哥： 你和你的黄金大队让我感到可笑,1679495151,13,0
是谁因为打不过而爱上红刀哥？是我[脱单doge],1679531481,5,0
来点朝花夕拾[脱单doge],1679457776,60,0
省流:单挑只有琴柳活下来了，练谁不用我说了吧[脱单doge],1679445610,12,0
老爷子硬砍到20[蛆音娘_滑稽],1679447181,175,0
"来的太早不知道说啥，晒一下我的首期阵容18吧[doge]
有兴趣的可以试试，要求是只准用第一期合约之前的box，禁模组（因为当时没有模组）",1679442200,596,0
红刀哥：让我康康小苏茜过的怎么样！,1679485626,19,0
"罗德岛：时代变了刀哥[歪嘴]
红刀：是啊，时代变了[doge]",1679567880,7,0
"本期最极端的词条组合：火与钢+攻击力增加80%+生命值上限增加120%+防御力增加200点。
“复仇者”本体血量2.3万，800攻，650护甲和60法抗，攻击间隔3.0秒。
经过最极端的加成后，“复仇者max版”血量12.65万，如果考虑到半血以下获得60%减伤，则意味着非真伤两个阶段要打37.95万血；护甲850；常态1440攻；半血以下攻击力5472；常态攻击间隔1.5秒。

我笑那大黄无谋,rua牛少智，其实完全可以搞得再阴间点，就跟当年一样，路上给弄个源石地板什么的，雷德一旦踩到源石地板，把攻击间隔减到1.0秒，常态攻击力提高到2160，半血以下攻击力8208",1679586536,5,0
这就是红刀哥的魅力，别的斗蛐蛐都是希望干员赢，这次是希望红刀哥赢[脱单doge],1679448637,23,0
那些沒經歷過59的人總是說著42對紅刀怎樣的，現在紅刀帶上各種TAG重新回來了,1679487706,14,0
这就不得不提…,1679535977,24,0
如果在左上角放一个源石地板，那将是绝杀[墨镜],1679445249,66,0
纯萌新，不懂就问。你们当初打的是这种东西吗（肃然起敬）,1679476112,11,0
很符合我对“近卫脆如纸，重装纸对折”的刻板印象[滑稽],1679463569,15,0
既然这次的红刀是雷德，还加强成了这样，那我们是不是可以管他叫雷德王？,1679443302,13,0
"最后的温迪戈死于魔王，
最后的红刀哥死于？？？
[滑稽][滑稽][滑稽][滑稽][滑稽][滑稽]",1679459604,15,0
我是彩笔，但我尽力了,1679456164,196,0
早八人有斗蛐蛐看[灵魂出窍],1679442042,339,0
"时隔三年，依旧没有能在正面实力上和红刀哥抗衡的干员出现
“他挥舞着赤红的刀刃，时隔三年，你有觉悟能再次接下他这一击吗？”",1679490710,9,0
红刀哥： 你和你的黄金大队让我感到可笑,1679495151,13,0
是谁因为打不过而爱上红刀哥？是我[脱单doge],1679531481,5,0
来点朝花夕拾[脱单doge],1679457776,60,0
省流:单挑只有琴柳活下来了，练谁不用我说了吧[脱单doge],1679445610,12,0
老爷子硬砍到20[蛆音娘_滑稽],1679447181,175,0
"来的太早不知道说啥，晒一下我的首期阵容18吧[doge]
有兴趣的可以试试，要求是只准用第一期合约之前的box，禁模组（因为当时没有模组）",1679442200,596,0
红刀哥：让我康康小苏茜过的怎么样！,1679485626,19,0
"罗德岛：时代变了刀哥[歪嘴]
红刀：是啊，时代变了[doge]",1679567880,7,0
"本期最极端的词条组合：火与钢+攻击力增加80%+生命值上限增加120%+防御力增加200点。
“复仇者”本体血量2.3万，800攻，650护甲和60法抗，攻击间隔3.0秒。
经过最极端的加成后，“复仇者max版”血量12.65万，如果考虑到半血以下获得60%减伤，则意味着非真伤两个阶段要打37.95万血；护甲850；常态1440攻；半血以下攻击力5472；常态攻击间隔1.5秒。

我笑那大黄无谋,rua牛少智，其实完全可以搞得再阴间点，就跟当年一样，路上给弄个源石地板什么的，雷德一旦踩到源石地板，把攻击间隔减到1.0秒，常态攻击力提高到2160，半血以下攻击力8208",1679586536,5,0
这就是红刀哥的魅力，别的斗蛐蛐都是希望干员赢，这次是希望红刀哥赢[脱单doge],1679448637,23,0
那些沒經歷過59的人總是說著42對紅刀怎樣的，現在紅刀帶上各種TAG重新回來了,1679487706,14,0
这就不得不提…,1679535977,24,0
如果在左上角放一个源石地板，那将是绝杀[墨镜],1679445249,66,0
纯萌新，不懂就问。你们当初打的是这种东西吗（肃然起敬）,1679476112,11,0
很符合我对“近卫脆如纸，重装纸对折”的刻板印象[滑稽],1679463569,15,0
既然这次的红刀是雷德，还加强成了这样，那我们是不是可以管他叫雷德王？,1679443302,13,0
"最后的温迪戈死于魔王，
最后的红刀哥死于？？？
[滑稽][滑稽][滑稽][滑稽][滑稽][滑稽]",1679459604,15,0
我是彩笔，但我尽力了,1679456164,196,0
早八人有斗蛐蛐看[灵魂出窍],1679442042,339,0
"时隔三年，依旧没有能在正面实力上和红刀哥抗衡的干员出现
“他挥舞着赤红的刀刃，时隔三年，你有觉悟能再次接下他这一击吗？”",1679490710,9,0
红刀哥： 你和你的黄金大队让我感到可笑,1679495151,13,0
是谁因为打不过而爱上红刀哥？是我[脱单doge],1679531481,5,0
来点朝花夕拾[脱单doge],1679457776,60,0
省流:单挑只有琴柳活下来了，练谁不用我说了吧[脱单doge],1679445610,12,0
老爷子硬砍到20[蛆音娘_滑稽],1679447181,175,0
"来的太早不知道说啥，晒一下我的首期阵容18吧[doge]
有兴趣的可以试试，要求是只准用第一期合约之前的box，禁模组（因为当时没有模组）",1679442200,596,0
红刀哥：让我康康小苏茜过的怎么样！,1679485626,19,0
"罗德岛：时代变了刀哥[歪嘴]
红刀：是啊，时代变了[doge]",1679567880,7,0
"本期最极端的词条组合：火与钢+攻击力增加80%+生命值上限增加120%+防御力增加200点。
“复仇者”本体血量2.3万，800攻，650护甲和60法抗，攻击间隔3.0秒。
经过最极端的加成后，“复仇者max版”血量12.65万，如果考虑到半血以下获得60%减伤，则意味着非真伤两个阶段要打37.95万血；护甲850；常态1440攻；半血以下攻击力5472；常态攻击间隔1.5秒。

我笑那大黄无谋,rua牛少智，其实完全可以搞得再阴间点，就跟当年一样，路上给弄个源石地板什么的，雷德一旦踩到源石地板，把攻击间隔减到1.0秒，常态攻击力提高到2160，半血以下攻击力8208",1679586536,5,0
这就是红刀哥的魅力，别的斗蛐蛐都是希望干员赢，这次是希望红刀哥赢[脱单doge],1679448637,23,0
那些沒經歷過59的人總是說著42對紅刀怎樣的，現在紅刀帶上各種TAG重新回來了,1679487706,14,0
这就不得不提…,1679535977,24,0
如果在左上角放一个源石地板，那将是绝杀[墨镜],1679445249,66,0
纯萌新，不懂就问。你们当初打的是这种东西吗（肃然起敬）,1679476112,11,0
很符合我对“近卫脆如纸，重装纸对折”的刻板印象[滑稽],1679463569,15,0
既然这次的红刀是雷德，还加强成了这样，那我们是不是可以管他叫雷德王？,1679443302,13,0
"最后的温迪戈死于魔王，
最后的红刀哥死于？？？
[滑稽][滑稽][滑稽][滑稽][滑稽][滑稽]",1679459604,15,0
我是彩笔，但我尽力了,1679456164,196,0
早八人有斗蛐蛐看[灵魂出窍],1679442042,339,0
"时隔三年，依旧没有能在正面实力上和红刀哥抗衡的干员出现
“他挥舞着赤红的刀刃，时隔三年，你有觉悟能再次接下他这一击吗？”",1679490710,9,0
红刀哥： 你和你的黄金大队让我感到可笑,1679495151,13,0
是谁因为打不过而爱上红刀哥？是我[脱单doge],1679531481,5,0
来点朝花夕拾[脱单doge],1679457776,60,0
省流:单挑只有琴柳活下来了，练谁不用我说了吧[脱单doge],1679445610,12,0
老爷子硬砍到20[蛆音娘_滑稽],1679447181,175,0
"来的太早不知道说啥，晒一下我的首期阵容18吧[doge]
有兴趣的可以试试，要求是只准用第一期合约之前的box，禁模组（因为当时没有模组）",1679442200,596,0
红刀哥：让我康康小苏茜过的怎么样！,1679485626,19,0
"罗德岛：时代变了刀哥[歪嘴]
红刀：是啊，时代变了[doge]",1679567880,7,0
"本期最极端的词条组合：火与钢+攻击力增加80%+生命值上限增加120%+防御力增加200点。
“复仇者”本体血量2.3万，800攻，650护甲和60法抗，攻击间隔3.0秒。
经过最极端的加成后，“复仇者max版”血量12.65万，如果考虑到半血以下获得60%减伤，则意味着非真伤两个阶段要打37.95万血；护甲850；常态1440攻；半血以下攻击力5472；常态攻击间隔1.5秒。

我笑那大黄无谋,rua牛少智，其实完全可以搞得再阴间点，就跟当年一样，路上给弄个源石地板什么的，雷德一旦踩到源石地板，把攻击间隔减到1.0秒，常态攻击力提高到2160，半血以下攻击力8208",1679586536,5,0
这就是红刀哥的魅力，别的斗蛐蛐都是希望干员赢，这次是希望红刀哥赢[脱单doge],1679448637,23,0
那些沒經歷過59的人總是說著42對紅刀怎樣的，現在紅刀帶上各種TAG重新回來了,1679487706,14,0
这就不得不提…,1679535977,24,0
如果在左上角放一个源石地板，那将是绝杀[墨镜],1679445249,66,0
纯萌新，不懂就问。你们当初打的是这种东西吗（肃然起敬）,1679476112,11,0
很符合我对“近卫脆如纸，重装纸对折”的刻板印象[滑稽],1679463569,15,0
既然这次的红刀是雷德，还加强成了这样，那我们是不是可以管他叫雷德王？,1679443302,13,0
"最后的温迪戈死于魔王，
最后的红刀哥死于？？？
[滑稽][滑稽][滑稽][滑稽][滑稽][滑稽]",1679459604,15,0
我是彩笔，但我尽力了,1679456164,196,0
早八人有斗蛐蛐看[灵魂出窍],1679442042,339,0
"时隔三年，依旧没有能在正面实力上和红刀哥抗衡的干员出现
“他挥舞着赤红的刀刃，时隔三年，你有觉悟能再次接下他这一击吗？”",1679490710,9,0
红刀哥： 你和你的黄金大队让我感到可笑,1679495151,13,0
是谁因为打不过而爱上红刀哥？是我[脱单doge],1679531481,5,0
来点朝花夕拾[脱单doge],1679457776,60,0
省流:单挑只有琴柳活下来了，练谁不用我说了吧[脱单doge],1679445610,12,0
老爷子硬砍到20[蛆音娘_滑稽],1679447181,175,0
