评论,时间,点赞数,标签
忘教的不是虚拟语气吗？我们高中老师以为初中教了，初中认为是高中的内容，结果我只能自学,1679533001,0,0
怎么说呢。。。老师确实没教过，但我自己发现了。。。。,1679624435,0,0
我现在就用这种方法勉勉强强读的出来，但是不懂意思，词汇量还是过不去[笑哭],1679414653,2,0
我上了高中，才知道英语单词后面的子母是英标，是教单词怎么读的，我记得是一个代课男老师过来上了一周的英语课，这一周他教会了我如何读单词[doge]，小学，初中我都不会读单词[笑哭]老师从来没系统的教过，现在都大学毕业了！才看到b站有好多教英语的,1679458491,1,0
你说得对，但是あいうえおかきくけこさしすせそたちつてとなにぬねのはひふへほまみむめもやゆよらりるれろわをん,1679409711,2,0
小学报了几回英语兴趣班，结果最有用的是去邻居姐姐家学音标,1679425810,1,0
我会读。但是我不知道啥意思啊[微笑][微笑][微笑],1679414226,2,0
我觉得这张脸没什么用，还是老老实实查字典吧.,1679411238,2,0
看到了，开口就あいうえお[辣眼睛],1679427847,1,0
あいうえお,1679587526,1,0
我记得老鼠不是mouse吗？,1679446722,1,0
元音字母和元音还是有区别的啊,1679449451,1,0
啊，喔，鹅，衣，屋，鱼,1679455994,1,0
这不是あえいおう 吗[脱单doge][脱单doge],1679460409,1,0
不是啊哦额一屋鱼,1679545695,1,0
突然想起以前英语课上的一脸迷茫  我爸（高中毕业 大学落榜）在家拿着厚厚一本英语词典  随便一页指着英标读出来了  当时我是懵的还有被打的都不敢说话  现在才理解他们那时候上学教这个 而我连这啥都不认识[辣眼睛],1679596510,0,0
仔细想想，确实好像系统的老师从来不教这个，我的辅导班老师倒是教了10来遍元音辅音。光是这个就教了10来节课，这个真的对读音很有帮助，有些人可能到现在都读不清楚26多个字母的正确读法,1679581361,0,0
自然拼读的话，学习量上来了自己就能总结出来了...,1679605279,0,0
不用刻意记，单词背多了再遇到一个新词即使不知道意思自然就会读出来[呆],1679632091,0,0
初一老师就带着学音标，特认真，然后到了大学我才发现，老师让上传读的课文录音我舍友都犯难，我寻思不是直接看单词能拼读的吗，再不济看音标也能读啊，原来是她们音标学的不好或者根本没学…还让我逮到一个九漏鱼，汉语拼音都没学好哈哈,1679558437,0,0
忘教的不是虚拟语气吗？我们高中老师以为初中教了，初中认为是高中的内容，结果我只能自学,1679533001,0,0
怎么说呢。。。老师确实没教过，但我自己发现了。。。。,1679624435,0,0
我现在就用这种方法勉勉强强读的出来，但是不懂意思，词汇量还是过不去[笑哭],1679414653,2,0
我上了高中，才知道英语单词后面的子母是英标，是教单词怎么读的，我记得是一个代课男老师过来上了一周的英语课，这一周他教会了我如何读单词[doge]，小学，初中我都不会读单词[笑哭]老师从来没系统的教过，现在都大学毕业了！才看到b站有好多教英语的,1679458491,1,0
你说得对，但是あいうえおかきくけこさしすせそたちつてとなにぬねのはひふへほまみむめもやゆよらりるれろわをん,1679409711,2,0
小学报了几回英语兴趣班，结果最有用的是去邻居姐姐家学音标,1679425810,1,0
我会读。但是我不知道啥意思啊[微笑][微笑][微笑],1679414226,2,0
我觉得这张脸没什么用，还是老老实实查字典吧.,1679411238,2,0
看到了，开口就あいうえお[辣眼睛],1679427847,1,0
あいうえお,1679587526,1,0
我记得老鼠不是mouse吗？,1679446722,1,0
元音字母和元音还是有区别的啊,1679449451,1,0
啊，喔，鹅，衣，屋，鱼,1679455994,1,0
这不是あえいおう 吗[脱单doge][脱单doge],1679460409,1,0
不是啊哦额一屋鱼,1679545695,1,0
突然想起以前英语课上的一脸迷茫  我爸（高中毕业 大学落榜）在家拿着厚厚一本英语词典  随便一页指着英标读出来了  当时我是懵的还有被打的都不敢说话  现在才理解他们那时候上学教这个 而我连这啥都不认识[辣眼睛],1679596510,0,0
仔细想想，确实好像系统的老师从来不教这个，我的辅导班老师倒是教了10来遍元音辅音。光是这个就教了10来节课，这个真的对读音很有帮助，有些人可能到现在都读不清楚26多个字母的正确读法,1679581361,0,0
自然拼读的话，学习量上来了自己就能总结出来了...,1679605279,0,0
不用刻意记，单词背多了再遇到一个新词即使不知道意思自然就会读出来[呆],1679632091,0,0
初一老师就带着学音标，特认真，然后到了大学我才发现，老师让上传读的课文录音我舍友都犯难，我寻思不是直接看单词能拼读的吗，再不济看音标也能读啊，原来是她们音标学的不好或者根本没学…还让我逮到一个九漏鱼，汉语拼音都没学好哈哈,1679558437,0,0
忘教的不是虚拟语气吗？我们高中老师以为初中教了，初中认为是高中的内容，结果我只能自学,1679533001,0,0
怎么说呢。。。老师确实没教过，但我自己发现了。。。。,1679624435,0,0
我现在就用这种方法勉勉强强读的出来，但是不懂意思，词汇量还是过不去[笑哭],1679414653,2,0
我上了高中，才知道英语单词后面的子母是英标，是教单词怎么读的，我记得是一个代课男老师过来上了一周的英语课，这一周他教会了我如何读单词[doge]，小学，初中我都不会读单词[笑哭]老师从来没系统的教过，现在都大学毕业了！才看到b站有好多教英语的,1679458491,1,0
你说得对，但是あいうえおかきくけこさしすせそたちつてとなにぬねのはひふへほまみむめもやゆよらりるれろわをん,1679409711,2,0
小学报了几回英语兴趣班，结果最有用的是去邻居姐姐家学音标,1679425810,1,0
我会读。但是我不知道啥意思啊[微笑][微笑][微笑],1679414226,2,0
我觉得这张脸没什么用，还是老老实实查字典吧.,1679411238,2,0
看到了，开口就あいうえお[辣眼睛],1679427847,1,0
あいうえお,1679587526,1,0
我记得老鼠不是mouse吗？,1679446722,1,0
元音字母和元音还是有区别的啊,1679449451,1,0
啊，喔，鹅，衣，屋，鱼,1679455994,1,0
这不是あえいおう 吗[脱单doge][脱单doge],1679460409,1,0
不是啊哦额一屋鱼,1679545695,1,0
突然想起以前英语课上的一脸迷茫  我爸（高中毕业 大学落榜）在家拿着厚厚一本英语词典  随便一页指着英标读出来了  当时我是懵的还有被打的都不敢说话  现在才理解他们那时候上学教这个 而我连这啥都不认识[辣眼睛],1679596510,0,0
仔细想想，确实好像系统的老师从来不教这个，我的辅导班老师倒是教了10来遍元音辅音。光是这个就教了10来节课，这个真的对读音很有帮助，有些人可能到现在都读不清楚26多个字母的正确读法,1679581361,0,0
自然拼读的话，学习量上来了自己就能总结出来了...,1679605279,0,0
不用刻意记，单词背多了再遇到一个新词即使不知道意思自然就会读出来[呆],1679632091,0,0
初一老师就带着学音标，特认真，然后到了大学我才发现，老师让上传读的课文录音我舍友都犯难，我寻思不是直接看单词能拼读的吗，再不济看音标也能读啊，原来是她们音标学的不好或者根本没学…还让我逮到一个九漏鱼，汉语拼音都没学好哈哈,1679558437,0,0
忘教的不是虚拟语气吗？我们高中老师以为初中教了，初中认为是高中的内容，结果我只能自学,1679533001,0,0
怎么说呢。。。老师确实没教过，但我自己发现了。。。。,1679624435,0,0
我现在就用这种方法勉勉强强读的出来，但是不懂意思，词汇量还是过不去[笑哭],1679414653,2,0
我上了高中，才知道英语单词后面的子母是英标，是教单词怎么读的，我记得是一个代课男老师过来上了一周的英语课，这一周他教会了我如何读单词[doge]，小学，初中我都不会读单词[笑哭]老师从来没系统的教过，现在都大学毕业了！才看到b站有好多教英语的,1679458491,1,0
你说得对，但是あいうえおかきくけこさしすせそたちつてとなにぬねのはひふへほまみむめもやゆよらりるれろわをん,1679409711,2,0
小学报了几回英语兴趣班，结果最有用的是去邻居姐姐家学音标,1679425810,1,0
我会读。但是我不知道啥意思啊[微笑][微笑][微笑],1679414226,2,0
我觉得这张脸没什么用，还是老老实实查字典吧.,1679411238,2,0
看到了，开口就あいうえお[辣眼睛],1679427847,1,0
あいうえお,1679587526,1,0
我记得老鼠不是mouse吗？,1679446722,1,0
元音字母和元音还是有区别的啊,1679449451,1,0
啊，喔，鹅，衣，屋，鱼,1679455994,1,0
这不是あえいおう 吗[脱单doge][脱单doge],1679460409,1,0
不是啊哦额一屋鱼,1679545695,1,0
突然想起以前英语课上的一脸迷茫  我爸（高中毕业 大学落榜）在家拿着厚厚一本英语词典  随便一页指着英标读出来了  当时我是懵的还有被打的都不敢说话  现在才理解他们那时候上学教这个 而我连这啥都不认识[辣眼睛],1679596510,0,0
仔细想想，确实好像系统的老师从来不教这个，我的辅导班老师倒是教了10来遍元音辅音。光是这个就教了10来节课，这个真的对读音很有帮助，有些人可能到现在都读不清楚26多个字母的正确读法,1679581361,0,0
自然拼读的话，学习量上来了自己就能总结出来了...,1679605279,0,0
不用刻意记，单词背多了再遇到一个新词即使不知道意思自然就会读出来[呆],1679632091,0,0
初一老师就带着学音标，特认真，然后到了大学我才发现，老师让上传读的课文录音我舍友都犯难，我寻思不是直接看单词能拼读的吗，再不济看音标也能读啊，原来是她们音标学的不好或者根本没学…还让我逮到一个九漏鱼，汉语拼音都没学好哈哈,1679558437,0,0
忘教的不是虚拟语气吗？我们高中老师以为初中教了，初中认为是高中的内容，结果我只能自学,1679533001,0,0
怎么说呢。。。老师确实没教过，但我自己发现了。。。。,1679624435,0,0
我现在就用这种方法勉勉强强读的出来，但是不懂意思，词汇量还是过不去[笑哭],1679414653,2,0
我上了高中，才知道英语单词后面的子母是英标，是教单词怎么读的，我记得是一个代课男老师过来上了一周的英语课，这一周他教会了我如何读单词[doge]，小学，初中我都不会读单词[笑哭]老师从来没系统的教过，现在都大学毕业了！才看到b站有好多教英语的,1679458491,1,0
你说得对，但是あいうえおかきくけこさしすせそたちつてとなにぬねのはひふへほまみむめもやゆよらりるれろわをん,1679409711,2,0
小学报了几回英语兴趣班，结果最有用的是去邻居姐姐家学音标,1679425810,1,0
我会读。但是我不知道啥意思啊[微笑][微笑][微笑],1679414226,2,0
我觉得这张脸没什么用，还是老老实实查字典吧.,1679411238,2,0
看到了，开口就あいうえお[辣眼睛],1679427847,1,0
あいうえお,1679587526,1,0
我记得老鼠不是mouse吗？,1679446722,1,0
元音字母和元音还是有区别的啊,1679449451,1,0
啊，喔，鹅，衣，屋，鱼,1679455994,1,0
这不是あえいおう 吗[脱单doge][脱单doge],1679460409,1,0
不是啊哦额一屋鱼,1679545695,1,0
突然想起以前英语课上的一脸迷茫  我爸（高中毕业 大学落榜）在家拿着厚厚一本英语词典  随便一页指着英标读出来了  当时我是懵的还有被打的都不敢说话  现在才理解他们那时候上学教这个 而我连这啥都不认识[辣眼睛],1679596510,0,0
仔细想想，确实好像系统的老师从来不教这个，我的辅导班老师倒是教了10来遍元音辅音。光是这个就教了10来节课，这个真的对读音很有帮助，有些人可能到现在都读不清楚26多个字母的正确读法,1679581361,0,0
自然拼读的话，学习量上来了自己就能总结出来了...,1679605279,0,0
不用刻意记，单词背多了再遇到一个新词即使不知道意思自然就会读出来[呆],1679632091,0,0
初一老师就带着学音标，特认真，然后到了大学我才发现，老师让上传读的课文录音我舍友都犯难，我寻思不是直接看单词能拼读的吗，再不济看音标也能读啊，原来是她们音标学的不好或者根本没学…还让我逮到一个九漏鱼，汉语拼音都没学好哈哈,1679558437,0,0
忘教的不是虚拟语气吗？我们高中老师以为初中教了，初中认为是高中的内容，结果我只能自学,1679533001,0,0
怎么说呢。。。老师确实没教过，但我自己发现了。。。。,1679624435,0,0
我现在就用这种方法勉勉强强读的出来，但是不懂意思，词汇量还是过不去[笑哭],1679414653,2,0
我上了高中，才知道英语单词后面的子母是英标，是教单词怎么读的，我记得是一个代课男老师过来上了一周的英语课，这一周他教会了我如何读单词[doge]，小学，初中我都不会读单词[笑哭]老师从来没系统的教过，现在都大学毕业了！才看到b站有好多教英语的,1679458491,1,0
你说得对，但是あいうえおかきくけこさしすせそたちつてとなにぬねのはひふへほまみむめもやゆよらりるれろわをん,1679409711,2,0
小学报了几回英语兴趣班，结果最有用的是去邻居姐姐家学音标,1679425810,1,0
我会读。但是我不知道啥意思啊[微笑][微笑][微笑],1679414226,2,0
我觉得这张脸没什么用，还是老老实实查字典吧.,1679411238,2,0
看到了，开口就あいうえお[辣眼睛],1679427847,1,0
あいうえお,1679587526,1,0
我记得老鼠不是mouse吗？,1679446722,1,0
元音字母和元音还是有区别的啊,1679449451,1,0
啊，喔，鹅，衣，屋，鱼,1679455994,1,0
这不是あえいおう 吗[脱单doge][脱单doge],1679460409,1,0
不是啊哦额一屋鱼,1679545695,1,0
突然想起以前英语课上的一脸迷茫  我爸（高中毕业 大学落榜）在家拿着厚厚一本英语词典  随便一页指着英标读出来了  当时我是懵的还有被打的都不敢说话  现在才理解他们那时候上学教这个 而我连这啥都不认识[辣眼睛],1679596510,0,0
仔细想想，确实好像系统的老师从来不教这个，我的辅导班老师倒是教了10来遍元音辅音。光是这个就教了10来节课，这个真的对读音很有帮助，有些人可能到现在都读不清楚26多个字母的正确读法,1679581361,0,0
自然拼读的话，学习量上来了自己就能总结出来了...,1679605279,0,0
不用刻意记，单词背多了再遇到一个新词即使不知道意思自然就会读出来[呆],1679632091,0,0
初一老师就带着学音标，特认真，然后到了大学我才发现，老师让上传读的课文录音我舍友都犯难，我寻思不是直接看单词能拼读的吗，再不济看音标也能读啊，原来是她们音标学的不好或者根本没学…还让我逮到一个九漏鱼，汉语拼音都没学好哈哈,1679558437,0,0
忘教的不是虚拟语气吗？我们高中老师以为初中教了，初中认为是高中的内容，结果我只能自学,1679533001,0,0
怎么说呢。。。老师确实没教过，但我自己发现了。。。。,1679624435,0,0
我现在就用这种方法勉勉强强读的出来，但是不懂意思，词汇量还是过不去[笑哭],1679414653,2,0
我上了高中，才知道英语单词后面的子母是英标，是教单词怎么读的，我记得是一个代课男老师过来上了一周的英语课，这一周他教会了我如何读单词[doge]，小学，初中我都不会读单词[笑哭]老师从来没系统的教过，现在都大学毕业了！才看到b站有好多教英语的,1679458491,1,0
你说得对，但是あいうえおかきくけこさしすせそたちつてとなにぬねのはひふへほまみむめもやゆよらりるれろわをん,1679409711,2,0
小学报了几回英语兴趣班，结果最有用的是去邻居姐姐家学音标,1679425810,1,0
我会读。但是我不知道啥意思啊[微笑][微笑][微笑],1679414226,2,0
我觉得这张脸没什么用，还是老老实实查字典吧.,1679411238,2,0
看到了，开口就あいうえお[辣眼睛],1679427847,1,0
あいうえお,1679587526,1,0
我记得老鼠不是mouse吗？,1679446722,1,0
元音字母和元音还是有区别的啊,1679449451,1,0
啊，喔，鹅，衣，屋，鱼,1679455994,1,0
这不是あえいおう 吗[脱单doge][脱单doge],1679460409,1,0
不是啊哦额一屋鱼,1679545695,1,0
突然想起以前英语课上的一脸迷茫  我爸（高中毕业 大学落榜）在家拿着厚厚一本英语词典  随便一页指着英标读出来了  当时我是懵的还有被打的都不敢说话  现在才理解他们那时候上学教这个 而我连这啥都不认识[辣眼睛],1679596510,0,0
仔细想想，确实好像系统的老师从来不教这个，我的辅导班老师倒是教了10来遍元音辅音。光是这个就教了10来节课，这个真的对读音很有帮助，有些人可能到现在都读不清楚26多个字母的正确读法,1679581361,0,0
自然拼读的话，学习量上来了自己就能总结出来了...,1679605279,0,0
不用刻意记，单词背多了再遇到一个新词即使不知道意思自然就会读出来[呆],1679632091,0,0
初一老师就带着学音标，特认真，然后到了大学我才发现，老师让上传读的课文录音我舍友都犯难，我寻思不是直接看单词能拼读的吗，再不济看音标也能读啊，原来是她们音标学的不好或者根本没学…还让我逮到一个九漏鱼，汉语拼音都没学好哈哈,1679558437,0,0
忘教的不是虚拟语气吗？我们高中老师以为初中教了，初中认为是高中的内容，结果我只能自学,1679533001,0,0
怎么说呢。。。老师确实没教过，但我自己发现了。。。。,1679624435,0,0
