评论,时间,点赞数,标签
跟人的气场什么的真的很有关系，我妈穿着可好看的贵衣服在我身上一挂，要么像是偷来的，要么是像传菜的,1679643668,3,0
对不起莫宝，我是盲人，请问视频里的是马保国老师在讲话嘛,1679552779,10,0
现在去餐馆就业都要自备工装了么？[doge][doge][doge],1679568573,8,0
感觉可以...里面吊带下面马面会很帅,1679501011,39,0
这套衣服其实是帅的，需要一点点身高在里面+一点点颜值[妙啊],1679480507,48,0
或许可以试试短袖的,1679504991,58,0
你别说，那条黑色的裤裙，我初中教语文的老头有，很有禅意啊（各种意义上，我们老师还是光头[藏狐],1679458214,150,0
你像那啥子莫式中医的第888代传人[doge],1679457884,1882,0
打两份工，半天在中餐店当服务员，晚上在寿司店捏寿司，第二天早上还可以打个太极,1679584282,10,0
像那种正骨、中医、推拿啥的下班忘脱工作服[doge],1679465272,138,0
新粉，点进来刚看到up还觉得有点帅，看他越说话越觉得头顶上有个颜值-1-1-1-1-1-1-1…,1679493114,40,0
我来了，教你一招万能背带裤！上衣搭的就是明立领衫，至于那个裙裤可能就有点没救（。,1679499758,13,0
我就特喜欢这种盘扣的唐装，有好几件。主要是得看长相的适配度吧，有些人的脸型就不太适合唐装，衣服太合身的也会很像服务员，需要宽松一点的。然后加点配饰，手串。我有套搭配是唐装配破洞牛仔裤，把唐装那种打太极风格往回拉一拉[doge],1679624371,4,0
内搭上衣是太极服，外套和三间裙是改良汉服,1679484264,1920,0
所以说不是服装问题，是人的问题[doge],1679640081,5,0
我穿起来比打太极的高级点，因为朋友说我是太极教练[绊爱第二弹_睡觉],1679633063,5,0
在你自己说出很像中餐厅服务员这句话之前，私心觉得还挺好看的[doge][doge][doge],1679575400,9,0
其实这东西挑人有一部分原因是穿的人仪态不行，肩放平，腰打直，多一些自信，感觉一下子就会好很多的,1679497366,24,0
黑色那个不要，白衣黑裤。补个折扇拿手上和小玉佩挂腰。扇子还得来带穗的，脸带微笑脚走四方步。走出一个自信。,1679562250,10,0
第一次看……这个up怎么一直给我贴脸鞠躬啊……好可怕啊[脸红],1679623915,4,0
跟人的气场什么的真的很有关系，我妈穿着可好看的贵衣服在我身上一挂，要么像是偷来的，要么是像传菜的,1679643668,3,0
对不起莫宝，我是盲人，请问视频里的是马保国老师在讲话嘛,1679552779,10,0
现在去餐馆就业都要自备工装了么？[doge][doge][doge],1679568573,8,0
感觉可以...里面吊带下面马面会很帅,1679501011,39,0
这套衣服其实是帅的，需要一点点身高在里面+一点点颜值[妙啊],1679480507,48,0
你别说，那条黑色的裤裙，我初中教语文的老头有，很有禅意啊（各种意义上，我们老师还是光头[藏狐],1679458214,150,0
之前看那种，拿块破布披身上拍照的撞色穿搭，红绿死亡搭赔浅浅学了一下[doge][doge][doge],1679492644,120,0
打两份工，半天在中餐店当服务员，晚上在寿司店捏寿司，第二天早上还可以打个太极,1679584282,10,0
像那种正骨、中医、推拿啥的下班忘脱工作服[doge],1679465272,138,0
新粉，点进来刚看到up还觉得有点帅，看他越说话越觉得头顶上有个颜值-1-1-1-1-1-1-1…,1679493114,40,0
你像那啥子莫式中医的第888代传人[doge],1679457884,1882,0
我来了，教你一招万能背带裤！上衣搭的就是明立领衫，至于那个裙裤可能就有点没救（。,1679499758,13,0
我就特喜欢这种盘扣的唐装，有好几件。主要是得看长相的适配度吧，有些人的脸型就不太适合唐装，衣服太合身的也会很像服务员，需要宽松一点的。然后加点配饰，手串。我有套搭配是唐装配破洞牛仔裤，把唐装那种打太极风格往回拉一拉[doge],1679624371,4,0
所以说不是服装问题，是人的问题[doge],1679640081,5,0
内搭上衣是太极服，外套和三间裙是改良汉服,1679484264,1920,0
我穿起来比打太极的高级点，因为朋友说我是太极教练[绊爱第二弹_睡觉],1679633063,5,0
在你自己说出很像中餐厅服务员这句话之前，私心觉得还挺好看的[doge][doge][doge],1679575400,9,0
其实这东西挑人有一部分原因是穿的人仪态不行，肩放平，腰打直，多一些自信，感觉一下子就会好很多的,1679497366,24,0
黑色那个不要，白衣黑裤。补个折扇拿手上和小玉佩挂腰。扇子还得来带穗的，脸带微笑脚走四方步。走出一个自信。,1679562250,10,0
第一次看……这个up怎么一直给我贴脸鞠躬啊……好可怕啊[脸红],1679623915,4,0
跟人的气场什么的真的很有关系，我妈穿着可好看的贵衣服在我身上一挂，要么像是偷来的，要么是像传菜的,1679643668,3,0
对不起莫宝，我是盲人，请问视频里的是马保国老师在讲话嘛,1679552779,10,0
现在去餐馆就业都要自备工装了么？[doge][doge][doge],1679568573,8,0
省流：太极大爷，服务员，主厨，就是没有它本来的效果[doge][doge],1679458243,110,0
感觉可以...里面吊带下面马面会很帅,1679501011,39,0
或许可以试试短袖的,1679504991,58,0
你别说，那条黑色的裤裙，我初中教语文的老头有，很有禅意啊（各种意义上，我们老师还是光头[藏狐],1679458214,150,0
你像那啥子莫式中医的第888代传人[doge],1679457884,1882,0
打两份工，半天在中餐店当服务员，晚上在寿司店捏寿司，第二天早上还可以打个太极,1679584282,10,0
像那种正骨、中医、推拿啥的下班忘脱工作服[doge],1679465272,138,0
新粉，点进来刚看到up还觉得有点帅，看他越说话越觉得头顶上有个颜值-1-1-1-1-1-1-1…,1679493114,40,0
我来了，教你一招万能背带裤！上衣搭的就是明立领衫，至于那个裙裤可能就有点没救（。,1679499758,13,0
我就特喜欢这种盘扣的唐装，有好几件。主要是得看长相的适配度吧，有些人的脸型就不太适合唐装，衣服太合身的也会很像服务员，需要宽松一点的。然后加点配饰，手串。我有套搭配是唐装配破洞牛仔裤，把唐装那种打太极风格往回拉一拉[doge],1679624371,4,0
内搭上衣是太极服，外套和三间裙是改良汉服,1679484264,1920,0
所以说不是服装问题，是人的问题[doge],1679640081,5,0
我穿起来比打太极的高级点，因为朋友说我是太极教练[绊爱第二弹_睡觉],1679633063,5,0
在你自己说出很像中餐厅服务员这句话之前，私心觉得还挺好看的[doge][doge][doge],1679575400,9,0
其实这东西挑人有一部分原因是穿的人仪态不行，肩放平，腰打直，多一些自信，感觉一下子就会好很多的,1679497366,24,0
黑色那个不要，白衣黑裤。补个折扇拿手上和小玉佩挂腰。扇子还得来带穗的，脸带微笑脚走四方步。走出一个自信。,1679562250,10,0
第一次看……这个up怎么一直给我贴脸鞠躬啊……好可怕啊[脸红],1679623915,4,0
跟人的气场什么的真的很有关系，我妈穿着可好看的贵衣服在我身上一挂，要么像是偷来的，要么是像传菜的,1679643668,3,0
对不起莫宝，我是盲人，请问视频里的是马保国老师在讲话嘛,1679552779,10,0
现在去餐馆就业都要自备工装了么？[doge][doge][doge],1679568573,8,0
感觉可以...里面吊带下面马面会很帅,1679501011,39,0
这套衣服其实是帅的，需要一点点身高在里面+一点点颜值[妙啊],1679480507,48,0
你别说，那条黑色的裤裙，我初中教语文的老头有，很有禅意啊（各种意义上，我们老师还是光头[藏狐],1679458214,150,0
之前看那种，拿块破布披身上拍照的撞色穿搭，红绿死亡搭赔浅浅学了一下[doge][doge][doge],1679492644,120,0
打两份工，半天在中餐店当服务员，晚上在寿司店捏寿司，第二天早上还可以打个太极,1679584282,10,0
像那种正骨、中医、推拿啥的下班忘脱工作服[doge],1679465272,138,0
新粉，点进来刚看到up还觉得有点帅，看他越说话越觉得头顶上有个颜值-1-1-1-1-1-1-1…,1679493114,40,0
你像那啥子莫式中医的第888代传人[doge],1679457884,1882,0
我来了，教你一招万能背带裤！上衣搭的就是明立领衫，至于那个裙裤可能就有点没救（。,1679499758,13,0
我就特喜欢这种盘扣的唐装，有好几件。主要是得看长相的适配度吧，有些人的脸型就不太适合唐装，衣服太合身的也会很像服务员，需要宽松一点的。然后加点配饰，手串。我有套搭配是唐装配破洞牛仔裤，把唐装那种打太极风格往回拉一拉[doge],1679624371,4,0
所以说不是服装问题，是人的问题[doge],1679640081,5,0
内搭上衣是太极服，外套和三间裙是改良汉服,1679484264,1920,0
我穿起来比打太极的高级点，因为朋友说我是太极教练[绊爱第二弹_睡觉],1679633063,5,0
在你自己说出很像中餐厅服务员这句话之前，私心觉得还挺好看的[doge][doge][doge],1679575400,9,0
其实这东西挑人有一部分原因是穿的人仪态不行，肩放平，腰打直，多一些自信，感觉一下子就会好很多的,1679497366,24,0
黑色那个不要，白衣黑裤。补个折扇拿手上和小玉佩挂腰。扇子还得来带穗的，脸带微笑脚走四方步。走出一个自信。,1679562250,10,0
第一次看……这个up怎么一直给我贴脸鞠躬啊……好可怕啊[脸红],1679623915,4,0
跟人的气场什么的真的很有关系，我妈穿着可好看的贵衣服在我身上一挂，要么像是偷来的，要么是像传菜的,1679643668,3,0
对不起莫宝，我是盲人，请问视频里的是马保国老师在讲话嘛,1679552779,10,0
现在去餐馆就业都要自备工装了么？[doge][doge][doge],1679568573,8,0
省流：太极大爷，服务员，主厨，就是没有它本来的效果[doge][doge],1679458243,110,0
感觉可以...里面吊带下面马面会很帅,1679501011,39,0
你别说，那条黑色的裤裙，我初中教语文的老头有，很有禅意啊（各种意义上，我们老师还是光头[藏狐],1679458214,150,0
之前看那种，拿块破布披身上拍照的撞色穿搭，红绿死亡搭赔浅浅学了一下[doge][doge][doge],1679492644,120,0
打两份工，半天在中餐店当服务员，晚上在寿司店捏寿司，第二天早上还可以打个太极,1679584282,10,0
像那种正骨、中医、推拿啥的下班忘脱工作服[doge],1679465272,138,0
新粉，点进来刚看到up还觉得有点帅，看他越说话越觉得头顶上有个颜值-1-1-1-1-1-1-1…,1679493114,40,0
你像那啥子莫式中医的第888代传人[doge],1679457884,1882,0
我来了，教你一招万能背带裤！上衣搭的就是明立领衫，至于那个裙裤可能就有点没救（。,1679499758,13,0
我就特喜欢这种盘扣的唐装，有好几件。主要是得看长相的适配度吧，有些人的脸型就不太适合唐装，衣服太合身的也会很像服务员，需要宽松一点的。然后加点配饰，手串。我有套搭配是唐装配破洞牛仔裤，把唐装那种打太极风格往回拉一拉[doge],1679624371,4,0
所以说不是服装问题，是人的问题[doge],1679640081,5,0
内搭上衣是太极服，外套和三间裙是改良汉服,1679484264,1920,0
我穿起来比打太极的高级点，因为朋友说我是太极教练[绊爱第二弹_睡觉],1679633063,5,0
在你自己说出很像中餐厅服务员这句话之前，私心觉得还挺好看的[doge][doge][doge],1679575400,9,0
其实这东西挑人有一部分原因是穿的人仪态不行，肩放平，腰打直，多一些自信，感觉一下子就会好很多的,1679497366,24,0
黑色那个不要，白衣黑裤。补个折扇拿手上和小玉佩挂腰。扇子还得来带穗的，脸带微笑脚走四方步。走出一个自信。,1679562250,10,0
第一次看……这个up怎么一直给我贴脸鞠躬啊……好可怕啊[脸红],1679623915,4,0
跟人的气场什么的真的很有关系，我妈穿着可好看的贵衣服在我身上一挂，要么像是偷来的，要么是像传菜的,1679643668,3,0
对不起莫宝，我是盲人，请问视频里的是马保国老师在讲话嘛,1679552779,10,0
现在去餐馆就业都要自备工装了么？[doge][doge][doge],1679568573,8,0
省流：太极大爷，服务员，主厨，就是没有它本来的效果[doge][doge],1679458243,110,0
感觉可以...里面吊带下面马面会很帅,1679501011,39,0
你别说，那条黑色的裤裙，我初中教语文的老头有，很有禅意啊（各种意义上，我们老师还是光头[藏狐],1679458214,150,0
之前看那种，拿块破布披身上拍照的撞色穿搭，红绿死亡搭赔浅浅学了一下[doge][doge][doge],1679492644,120,0
打两份工，半天在中餐店当服务员，晚上在寿司店捏寿司，第二天早上还可以打个太极,1679584282,10,0
像那种正骨、中医、推拿啥的下班忘脱工作服[doge],1679465272,138,0
新粉，点进来刚看到up还觉得有点帅，看他越说话越觉得头顶上有个颜值-1-1-1-1-1-1-1…,1679493114,40,0
你像那啥子莫式中医的第888代传人[doge],1679457884,1882,0
我来了，教你一招万能背带裤！上衣搭的就是明立领衫，至于那个裙裤可能就有点没救（。,1679499758,13,0
我就特喜欢这种盘扣的唐装，有好几件。主要是得看长相的适配度吧，有些人的脸型就不太适合唐装，衣服太合身的也会很像服务员，需要宽松一点的。然后加点配饰，手串。我有套搭配是唐装配破洞牛仔裤，把唐装那种打太极风格往回拉一拉[doge],1679624371,4,0
所以说不是服装问题，是人的问题[doge],1679640081,5,0
内搭上衣是太极服，外套和三间裙是改良汉服,1679484264,1920,0
我穿起来比打太极的高级点，因为朋友说我是太极教练[绊爱第二弹_睡觉],1679633063,5,0
在你自己说出很像中餐厅服务员这句话之前，私心觉得还挺好看的[doge][doge][doge],1679575400,9,0
其实这东西挑人有一部分原因是穿的人仪态不行，肩放平，腰打直，多一些自信，感觉一下子就会好很多的,1679497366,24,0
黑色那个不要，白衣黑裤。补个折扇拿手上和小玉佩挂腰。扇子还得来带穗的，脸带微笑脚走四方步。走出一个自信。,1679562250,10,0
第一次看……这个up怎么一直给我贴脸鞠躬啊……好可怕啊[脸红],1679623915,4,0
跟人的气场什么的真的很有关系，我妈穿着可好看的贵衣服在我身上一挂，要么像是偷来的，要么是像传菜的,1679643668,3,0
对不起莫宝，我是盲人，请问视频里的是马保国老师在讲话嘛,1679552779,10,0
现在去餐馆就业都要自备工装了么？[doge][doge][doge],1679568573,8,0
省流：太极大爷，服务员，主厨，就是没有它本来的效果[doge][doge],1679458243,110,0
感觉可以...里面吊带下面马面会很帅,1679501011,39,0
