评论,时间,点赞数,标签
其实那段钢琴曲是男主内心变化的重要转折，原曲也非常有力量感人否则男主怎么会听哭，我想不到除开版权以外的任何原因要换成逗趣的荷塘月色……那些说这就是阿斗风格的粉丝，我怀疑你看没看过这部片子……,1679405109,7,0
2020年的时候你发一个360p都不如的视频都会被拦截，看看我的定位,1679443002,9,0
以前以为国产都是宣传片，长大了发现都是宣传片,1679407111,12,0
他们为什么要这样 为什么要黑自己的国家 我不理解 为什么现在好多同龄人都这样,1679426491,10,0
一部B站就有的电影，评论咋说的和禁片一样？,1679415214,62,0
故事背景发生在美国同样成立[喜极而泣],1679407404,23,0
马克思主义人性观认为，人的意识是从生活实践之中得来的，而反过来它又指导着人们的实践，最终改变着社会物质生活。《窃听风暴》中也体现了这一点，如当德瑞曼在弹奏...,1679407568,24,0
苏联不用黑，就那个样子,1679496251,6,0
看分区指点江山真的很搞笑[偷笑][偷笑],1679415453,21,0
某些人发弹幕是为了减刑。也不容易。别跟他们计较了。,1679477926,18,0
大家三观很正，电影不错。换个背景给美国就再好不过了，毕竟现实似乎美国佬现在最爱玩监控,1679414096,19,0
东西德的差距最直观的反映就是经济，数字冷冰冰的就在那里，比那些热评道听途说的瞎话都实在，从二者合并的时间至今，官方每年都会发布《德意志联邦统一状况报告》，直到今天，西德从任何一个指标来看都是完爆东德的，东德的唯一优势在于基尼系数，意味着东德的贫富差距小，这电影本身就是德国人拍的，在德国内外都备受赞誉，骗自己不是好习惯。,1679476961,10,0
"难绷，总有人觉得自己比别人看的清楚，越没文化的越这样[吃瓜]
不清楚就不评论，骑墙看小学生互喷多有意思[吃瓜]",1679432666,23,0
大家真闲，看个电影解读也能发散到这种地步，就像农村里村头树下嗑瓜子聊国际形势的大爷大妈[嗑瓜子],1679458262,12,0
"就说几点吧~！
第一当时东德逃亡最多的不知道社会主义的害怕被清算、被苏联清算的纳粹相关、以及苏联驱赶的雅利安人种 默克尔的父母就是从西德跑东德的~
第二了解下西德的秘密警察机构例如联邦宪法保卫局的前身，里面充斥着没被清算的纳粹盖世太保的专业人士
第三别被二极管带歪了，哪里都有好与坏",1679414337,9,0
冷战期间 苏联美国下手一样黑 最后获胜的是美国可以随意编排苏联 只要苏联被描写的足够黑就没人想到会深究同为竞争者的美国了。,1679407484,24,0
弹钢琴的时候真的应该放原声的，当时我已经带入进去了,1679458255,13,0
默克尔被棱镜门监听不知道有何感想,1679403394,31,0
"去过德国3次，在柏林那次光是参观东西德的各种博物馆，史料馆，柏林墙遗址给我脚走废了
各种资料巨细靡遗，弹幕里质疑能查阅史料的是被权力管傻了吗？",1679431042,9,0
有没有一种可能现在大数据所有人都被看光了[doge][doge],1679402749,43,0
其实那段钢琴曲是男主内心变化的重要转折，原曲也非常有力量感人否则男主怎么会听哭，我想不到除开版权以外的任何原因要换成逗趣的荷塘月色……那些说这就是阿斗风格的粉丝，我怀疑你看没看过这部片子……,1679405109,7,0
2020年的时候你发一个360p都不如的视频都会被拦截，看看我的定位,1679443002,9,0
以前以为国产都是宣传片，长大了发现都是宣传片,1679407111,12,0
他们为什么要这样 为什么要黑自己的国家 我不理解 为什么现在好多同龄人都这样,1679426491,10,0
一部B站就有的电影，评论咋说的和禁片一样？,1679415214,62,0
故事背景发生在美国同样成立[喜极而泣],1679407404,23,0
马克思主义人性观认为，人的意识是从生活实践之中得来的，而反过来它又指导着人们的实践，最终改变着社会物质生活。《窃听风暴》中也体现了这一点，如当德瑞曼在弹奏...,1679407568,24,0
苏联不用黑，就那个样子,1679496251,6,0
看分区指点江山真的很搞笑[偷笑][偷笑],1679415453,21,0
某些人发弹幕是为了减刑。也不容易。别跟他们计较了。,1679477926,18,0
大家三观很正，电影不错。换个背景给美国就再好不过了，毕竟现实似乎美国佬现在最爱玩监控,1679414096,19,0
东西德的差距最直观的反映就是经济，数字冷冰冰的就在那里，比那些热评道听途说的瞎话都实在，从二者合并的时间至今，官方每年都会发布《德意志联邦统一状况报告》，直到今天，西德从任何一个指标来看都是完爆东德的，东德的唯一优势在于基尼系数，意味着东德的贫富差距小，这电影本身就是德国人拍的，在德国内外都备受赞誉，骗自己不是好习惯。,1679476961,10,0
"难绷，总有人觉得自己比别人看的清楚，越没文化的越这样[吃瓜]
不清楚就不评论，骑墙看小学生互喷多有意思[吃瓜]",1679432666,23,0
大家真闲，看个电影解读也能发散到这种地步，就像农村里村头树下嗑瓜子聊国际形势的大爷大妈[嗑瓜子],1679458262,12,0
"就说几点吧~！
第一当时东德逃亡最多的不知道社会主义的害怕被清算、被苏联清算的纳粹相关、以及苏联驱赶的雅利安人种 默克尔的父母就是从西德跑东德的~
第二了解下西德的秘密警察机构例如联邦宪法保卫局的前身，里面充斥着没被清算的纳粹盖世太保的专业人士
第三别被二极管带歪了，哪里都有好与坏",1679414337,9,0
冷战期间 苏联美国下手一样黑 最后获胜的是美国可以随意编排苏联 只要苏联被描写的足够黑就没人想到会深究同为竞争者的美国了。,1679407484,24,0
弹钢琴的时候真的应该放原声的，当时我已经带入进去了,1679458255,13,0
默克尔被棱镜门监听不知道有何感想,1679403394,31,0
"去过德国3次，在柏林那次光是参观东西德的各种博物馆，史料馆，柏林墙遗址给我脚走废了
各种资料巨细靡遗，弹幕里质疑能查阅史料的是被权力管傻了吗？",1679431042,9,0
有没有一种可能现在大数据所有人都被看光了[doge][doge],1679402749,43,0
其实那段钢琴曲是男主内心变化的重要转折，原曲也非常有力量感人否则男主怎么会听哭，我想不到除开版权以外的任何原因要换成逗趣的荷塘月色……那些说这就是阿斗风格的粉丝，我怀疑你看没看过这部片子……,1679405109,7,0
2020年的时候你发一个360p都不如的视频都会被拦截，看看我的定位,1679443002,9,0
以前以为国产都是宣传片，长大了发现都是宣传片,1679407111,12,0
他们为什么要这样 为什么要黑自己的国家 我不理解 为什么现在好多同龄人都这样,1679426491,10,0
一部B站就有的电影，评论咋说的和禁片一样？,1679415214,62,0
故事背景发生在美国同样成立[喜极而泣],1679407404,23,0
马克思主义人性观认为，人的意识是从生活实践之中得来的，而反过来它又指导着人们的实践，最终改变着社会物质生活。《窃听风暴》中也体现了这一点，如当德瑞曼在弹奏...,1679407568,24,0
苏联不用黑，就那个样子,1679496251,6,0
看分区指点江山真的很搞笑[偷笑][偷笑],1679415453,21,0
某些人发弹幕是为了减刑。也不容易。别跟他们计较了。,1679477926,18,0
大家三观很正，电影不错。换个背景给美国就再好不过了，毕竟现实似乎美国佬现在最爱玩监控,1679414096,19,0
东西德的差距最直观的反映就是经济，数字冷冰冰的就在那里，比那些热评道听途说的瞎话都实在，从二者合并的时间至今，官方每年都会发布《德意志联邦统一状况报告》，直到今天，西德从任何一个指标来看都是完爆东德的，东德的唯一优势在于基尼系数，意味着东德的贫富差距小，这电影本身就是德国人拍的，在德国内外都备受赞誉，骗自己不是好习惯。,1679476961,10,0
"难绷，总有人觉得自己比别人看的清楚，越没文化的越这样[吃瓜]
不清楚就不评论，骑墙看小学生互喷多有意思[吃瓜]",1679432666,23,0
大家真闲，看个电影解读也能发散到这种地步，就像农村里村头树下嗑瓜子聊国际形势的大爷大妈[嗑瓜子],1679458262,12,0
"就说几点吧~！
第一当时东德逃亡最多的不知道社会主义的害怕被清算、被苏联清算的纳粹相关、以及苏联驱赶的雅利安人种 默克尔的父母就是从西德跑东德的~
第二了解下西德的秘密警察机构例如联邦宪法保卫局的前身，里面充斥着没被清算的纳粹盖世太保的专业人士
第三别被二极管带歪了，哪里都有好与坏",1679414337,9,0
冷战期间 苏联美国下手一样黑 最后获胜的是美国可以随意编排苏联 只要苏联被描写的足够黑就没人想到会深究同为竞争者的美国了。,1679407484,24,0
弹钢琴的时候真的应该放原声的，当时我已经带入进去了,1679458255,13,0
默克尔被棱镜门监听不知道有何感想,1679403394,31,0
"去过德国3次，在柏林那次光是参观东西德的各种博物馆，史料馆，柏林墙遗址给我脚走废了
各种资料巨细靡遗，弹幕里质疑能查阅史料的是被权力管傻了吗？",1679431042,9,0
有没有一种可能现在大数据所有人都被看光了[doge][doge],1679402749,43,0
其实那段钢琴曲是男主内心变化的重要转折，原曲也非常有力量感人否则男主怎么会听哭，我想不到除开版权以外的任何原因要换成逗趣的荷塘月色……那些说这就是阿斗风格的粉丝，我怀疑你看没看过这部片子……,1679405109,7,0
2020年的时候你发一个360p都不如的视频都会被拦截，看看我的定位,1679443002,9,0
以前以为国产都是宣传片，长大了发现都是宣传片,1679407111,12,0
他们为什么要这样 为什么要黑自己的国家 我不理解 为什么现在好多同龄人都这样,1679426491,10,0
一部B站就有的电影，评论咋说的和禁片一样？,1679415214,62,0
故事背景发生在美国同样成立[喜极而泣],1679407404,23,0
马克思主义人性观认为，人的意识是从生活实践之中得来的，而反过来它又指导着人们的实践，最终改变着社会物质生活。《窃听风暴》中也体现了这一点，如当德瑞曼在弹奏...,1679407568,24,0
苏联不用黑，就那个样子,1679496251,6,0
看分区指点江山真的很搞笑[偷笑][偷笑],1679415453,21,0
某些人发弹幕是为了减刑。也不容易。别跟他们计较了。,1679477926,18,0
大家三观很正，电影不错。换个背景给美国就再好不过了，毕竟现实似乎美国佬现在最爱玩监控,1679414096,19,0
东西德的差距最直观的反映就是经济，数字冷冰冰的就在那里，比那些热评道听途说的瞎话都实在，从二者合并的时间至今，官方每年都会发布《德意志联邦统一状况报告》，直到今天，西德从任何一个指标来看都是完爆东德的，东德的唯一优势在于基尼系数，意味着东德的贫富差距小，这电影本身就是德国人拍的，在德国内外都备受赞誉，骗自己不是好习惯。,1679476961,10,0
"难绷，总有人觉得自己比别人看的清楚，越没文化的越这样[吃瓜]
不清楚就不评论，骑墙看小学生互喷多有意思[吃瓜]",1679432666,23,0
大家真闲，看个电影解读也能发散到这种地步，就像农村里村头树下嗑瓜子聊国际形势的大爷大妈[嗑瓜子],1679458262,12,0
"就说几点吧~！
第一当时东德逃亡最多的不知道社会主义的害怕被清算、被苏联清算的纳粹相关、以及苏联驱赶的雅利安人种 默克尔的父母就是从西德跑东德的~
第二了解下西德的秘密警察机构例如联邦宪法保卫局的前身，里面充斥着没被清算的纳粹盖世太保的专业人士
第三别被二极管带歪了，哪里都有好与坏",1679414337,9,0
冷战期间 苏联美国下手一样黑 最后获胜的是美国可以随意编排苏联 只要苏联被描写的足够黑就没人想到会深究同为竞争者的美国了。,1679407484,24,0
弹钢琴的时候真的应该放原声的，当时我已经带入进去了,1679458255,13,0
默克尔被棱镜门监听不知道有何感想,1679403394,31,0
"去过德国3次，在柏林那次光是参观东西德的各种博物馆，史料馆，柏林墙遗址给我脚走废了
各种资料巨细靡遗，弹幕里质疑能查阅史料的是被权力管傻了吗？",1679431042,9,0
有没有一种可能现在大数据所有人都被看光了[doge][doge],1679402749,43,0
其实那段钢琴曲是男主内心变化的重要转折，原曲也非常有力量感人否则男主怎么会听哭，我想不到除开版权以外的任何原因要换成逗趣的荷塘月色……那些说这就是阿斗风格的粉丝，我怀疑你看没看过这部片子……,1679405109,7,0
2020年的时候你发一个360p都不如的视频都会被拦截，看看我的定位,1679443002,9,0
以前以为国产都是宣传片，长大了发现都是宣传片,1679407111,12,0
他们为什么要这样 为什么要黑自己的国家 我不理解 为什么现在好多同龄人都这样,1679426491,10,0
一部B站就有的电影，评论咋说的和禁片一样？,1679415214,62,0
故事背景发生在美国同样成立[喜极而泣],1679407404,23,0
马克思主义人性观认为，人的意识是从生活实践之中得来的，而反过来它又指导着人们的实践，最终改变着社会物质生活。《窃听风暴》中也体现了这一点，如当德瑞曼在弹奏...,1679407568,24,0
苏联不用黑，就那个样子,1679496251,6,0
看分区指点江山真的很搞笑[偷笑][偷笑],1679415453,21,0
某些人发弹幕是为了减刑。也不容易。别跟他们计较了。,1679477926,18,0
大家三观很正，电影不错。换个背景给美国就再好不过了，毕竟现实似乎美国佬现在最爱玩监控,1679414096,19,0
东西德的差距最直观的反映就是经济，数字冷冰冰的就在那里，比那些热评道听途说的瞎话都实在，从二者合并的时间至今，官方每年都会发布《德意志联邦统一状况报告》，直到今天，西德从任何一个指标来看都是完爆东德的，东德的唯一优势在于基尼系数，意味着东德的贫富差距小，这电影本身就是德国人拍的，在德国内外都备受赞誉，骗自己不是好习惯。,1679476961,10,0
"难绷，总有人觉得自己比别人看的清楚，越没文化的越这样[吃瓜]
不清楚就不评论，骑墙看小学生互喷多有意思[吃瓜]",1679432666,23,0
大家真闲，看个电影解读也能发散到这种地步，就像农村里村头树下嗑瓜子聊国际形势的大爷大妈[嗑瓜子],1679458262,12,0
"就说几点吧~！
第一当时东德逃亡最多的不知道社会主义的害怕被清算、被苏联清算的纳粹相关、以及苏联驱赶的雅利安人种 默克尔的父母就是从西德跑东德的~
第二了解下西德的秘密警察机构例如联邦宪法保卫局的前身，里面充斥着没被清算的纳粹盖世太保的专业人士
第三别被二极管带歪了，哪里都有好与坏",1679414337,9,0
冷战期间 苏联美国下手一样黑 最后获胜的是美国可以随意编排苏联 只要苏联被描写的足够黑就没人想到会深究同为竞争者的美国了。,1679407484,24,0
弹钢琴的时候真的应该放原声的，当时我已经带入进去了,1679458255,13,0
默克尔被棱镜门监听不知道有何感想,1679403394,31,0
"去过德国3次，在柏林那次光是参观东西德的各种博物馆，史料馆，柏林墙遗址给我脚走废了
各种资料巨细靡遗，弹幕里质疑能查阅史料的是被权力管傻了吗？",1679431042,9,0
有没有一种可能现在大数据所有人都被看光了[doge][doge],1679402749,43,0
其实那段钢琴曲是男主内心变化的重要转折，原曲也非常有力量感人否则男主怎么会听哭，我想不到除开版权以外的任何原因要换成逗趣的荷塘月色……那些说这就是阿斗风格的粉丝，我怀疑你看没看过这部片子……,1679405109,7,0
2020年的时候你发一个360p都不如的视频都会被拦截，看看我的定位,1679443002,9,0
以前以为国产都是宣传片，长大了发现都是宣传片,1679407111,12,0
他们为什么要这样 为什么要黑自己的国家 我不理解 为什么现在好多同龄人都这样,1679426491,10,0
一部B站就有的电影，评论咋说的和禁片一样？,1679415214,62,0
故事背景发生在美国同样成立[喜极而泣],1679407404,23,0
马克思主义人性观认为，人的意识是从生活实践之中得来的，而反过来它又指导着人们的实践，最终改变着社会物质生活。《窃听风暴》中也体现了这一点，如当德瑞曼在弹奏...,1679407568,24,0
苏联不用黑，就那个样子,1679496251,6,0
看分区指点江山真的很搞笑[偷笑][偷笑],1679415453,21,0
某些人发弹幕是为了减刑。也不容易。别跟他们计较了。,1679477926,18,0
大家三观很正，电影不错。换个背景给美国就再好不过了，毕竟现实似乎美国佬现在最爱玩监控,1679414096,19,0
东西德的差距最直观的反映就是经济，数字冷冰冰的就在那里，比那些热评道听途说的瞎话都实在，从二者合并的时间至今，官方每年都会发布《德意志联邦统一状况报告》，直到今天，西德从任何一个指标来看都是完爆东德的，东德的唯一优势在于基尼系数，意味着东德的贫富差距小，这电影本身就是德国人拍的，在德国内外都备受赞誉，骗自己不是好习惯。,1679476961,10,0
"难绷，总有人觉得自己比别人看的清楚，越没文化的越这样[吃瓜]
不清楚就不评论，骑墙看小学生互喷多有意思[吃瓜]",1679432666,23,0
大家真闲，看个电影解读也能发散到这种地步，就像农村里村头树下嗑瓜子聊国际形势的大爷大妈[嗑瓜子],1679458262,12,0
"就说几点吧~！
第一当时东德逃亡最多的不知道社会主义的害怕被清算、被苏联清算的纳粹相关、以及苏联驱赶的雅利安人种 默克尔的父母就是从西德跑东德的~
第二了解下西德的秘密警察机构例如联邦宪法保卫局的前身，里面充斥着没被清算的纳粹盖世太保的专业人士
第三别被二极管带歪了，哪里都有好与坏",1679414337,9,0
冷战期间 苏联美国下手一样黑 最后获胜的是美国可以随意编排苏联 只要苏联被描写的足够黑就没人想到会深究同为竞争者的美国了。,1679407484,24,0
弹钢琴的时候真的应该放原声的，当时我已经带入进去了,1679458255,13,0
默克尔被棱镜门监听不知道有何感想,1679403394,31,0
"去过德国3次，在柏林那次光是参观东西德的各种博物馆，史料馆，柏林墙遗址给我脚走废了
各种资料巨细靡遗，弹幕里质疑能查阅史料的是被权力管傻了吗？",1679431042,9,0
有没有一种可能现在大数据所有人都被看光了[doge][doge],1679402749,43,0
其实那段钢琴曲是男主内心变化的重要转折，原曲也非常有力量感人否则男主怎么会听哭，我想不到除开版权以外的任何原因要换成逗趣的荷塘月色……那些说这就是阿斗风格的粉丝，我怀疑你看没看过这部片子……,1679405109,7,0
2020年的时候你发一个360p都不如的视频都会被拦截，看看我的定位,1679443002,9,0
以前以为国产都是宣传片，长大了发现都是宣传片,1679407111,12,0
他们为什么要这样 为什么要黑自己的国家 我不理解 为什么现在好多同龄人都这样,1679426491,10,0
一部B站就有的电影，评论咋说的和禁片一样？,1679415214,62,0
故事背景发生在美国同样成立[喜极而泣],1679407404,23,0
马克思主义人性观认为，人的意识是从生活实践之中得来的，而反过来它又指导着人们的实践，最终改变着社会物质生活。《窃听风暴》中也体现了这一点，如当德瑞曼在弹奏...,1679407568,24,0
苏联不用黑，就那个样子,1679496251,6,0
看分区指点江山真的很搞笑[偷笑][偷笑],1679415453,21,0
某些人发弹幕是为了减刑。也不容易。别跟他们计较了。,1679477926,18,0
大家三观很正，电影不错。换个背景给美国就再好不过了，毕竟现实似乎美国佬现在最爱玩监控,1679414096,19,0
东西德的差距最直观的反映就是经济，数字冷冰冰的就在那里，比那些热评道听途说的瞎话都实在，从二者合并的时间至今，官方每年都会发布《德意志联邦统一状况报告》，直到今天，西德从任何一个指标来看都是完爆东德的，东德的唯一优势在于基尼系数，意味着东德的贫富差距小，这电影本身就是德国人拍的，在德国内外都备受赞誉，骗自己不是好习惯。,1679476961,10,0
"难绷，总有人觉得自己比别人看的清楚，越没文化的越这样[吃瓜]
不清楚就不评论，骑墙看小学生互喷多有意思[吃瓜]",1679432666,23,0
大家真闲，看个电影解读也能发散到这种地步，就像农村里村头树下嗑瓜子聊国际形势的大爷大妈[嗑瓜子],1679458262,12,0
"就说几点吧~！
第一当时东德逃亡最多的不知道社会主义的害怕被清算、被苏联清算的纳粹相关、以及苏联驱赶的雅利安人种 默克尔的父母就是从西德跑东德的~
第二了解下西德的秘密警察机构例如联邦宪法保卫局的前身，里面充斥着没被清算的纳粹盖世太保的专业人士
第三别被二极管带歪了，哪里都有好与坏",1679414337,9,0
冷战期间 苏联美国下手一样黑 最后获胜的是美国可以随意编排苏联 只要苏联被描写的足够黑就没人想到会深究同为竞争者的美国了。,1679407484,24,0
弹钢琴的时候真的应该放原声的，当时我已经带入进去了,1679458255,13,0
默克尔被棱镜门监听不知道有何感想,1679403394,31,0
"去过德国3次，在柏林那次光是参观东西德的各种博物馆，史料馆，柏林墙遗址给我脚走废了
各种资料巨细靡遗，弹幕里质疑能查阅史料的是被权力管傻了吗？",1679431042,9,0
有没有一种可能现在大数据所有人都被看光了[doge][doge],1679402749,43,0
其实那段钢琴曲是男主内心变化的重要转折，原曲也非常有力量感人否则男主怎么会听哭，我想不到除开版权以外的任何原因要换成逗趣的荷塘月色……那些说这就是阿斗风格的粉丝，我怀疑你看没看过这部片子……,1679405109,7,0
2020年的时候你发一个360p都不如的视频都会被拦截，看看我的定位,1679443002,9,0
以前以为国产都是宣传片，长大了发现都是宣传片,1679407111,12,0
他们为什么要这样 为什么要黑自己的国家 我不理解 为什么现在好多同龄人都这样,1679426491,10,0
一部B站就有的电影，评论咋说的和禁片一样？,1679415214,62,0
故事背景发生在美国同样成立[喜极而泣],1679407404,23,0
马克思主义人性观认为，人的意识是从生活实践之中得来的，而反过来它又指导着人们的实践，最终改变着社会物质生活。《窃听风暴》中也体现了这一点，如当德瑞曼在弹奏...,1679407568,24,0
苏联不用黑，就那个样子,1679496251,6,0
看分区指点江山真的很搞笑[偷笑][偷笑],1679415453,21,0
某些人发弹幕是为了减刑。也不容易。别跟他们计较了。,1679477926,18,0
大家三观很正，电影不错。换个背景给美国就再好不过了，毕竟现实似乎美国佬现在最爱玩监控,1679414096,19,0
东西德的差距最直观的反映就是经济，数字冷冰冰的就在那里，比那些热评道听途说的瞎话都实在，从二者合并的时间至今，官方每年都会发布《德意志联邦统一状况报告》，直到今天，西德从任何一个指标来看都是完爆东德的，东德的唯一优势在于基尼系数，意味着东德的贫富差距小，这电影本身就是德国人拍的，在德国内外都备受赞誉，骗自己不是好习惯。,1679476961,10,0
"难绷，总有人觉得自己比别人看的清楚，越没文化的越这样[吃瓜]
不清楚就不评论，骑墙看小学生互喷多有意思[吃瓜]",1679432666,23,0
大家真闲，看个电影解读也能发散到这种地步，就像农村里村头树下嗑瓜子聊国际形势的大爷大妈[嗑瓜子],1679458262,12,0
"就说几点吧~！
第一当时东德逃亡最多的不知道社会主义的害怕被清算、被苏联清算的纳粹相关、以及苏联驱赶的雅利安人种 默克尔的父母就是从西德跑东德的~
第二了解下西德的秘密警察机构例如联邦宪法保卫局的前身，里面充斥着没被清算的纳粹盖世太保的专业人士
第三别被二极管带歪了，哪里都有好与坏",1679414337,9,0
冷战期间 苏联美国下手一样黑 最后获胜的是美国可以随意编排苏联 只要苏联被描写的足够黑就没人想到会深究同为竞争者的美国了。,1679407484,24,0
弹钢琴的时候真的应该放原声的，当时我已经带入进去了,1679458255,13,0
默克尔被棱镜门监听不知道有何感想,1679403394,31,0
"去过德国3次，在柏林那次光是参观东西德的各种博物馆，史料馆，柏林墙遗址给我脚走废了
各种资料巨细靡遗，弹幕里质疑能查阅史料的是被权力管傻了吗？",1679431042,9,0
有没有一种可能现在大数据所有人都被看光了[doge][doge],1679402749,43,0
其实那段钢琴曲是男主内心变化的重要转折，原曲也非常有力量感人否则男主怎么会听哭，我想不到除开版权以外的任何原因要换成逗趣的荷塘月色……那些说这就是阿斗风格的粉丝，我怀疑你看没看过这部片子……,1679405109,7,0
2020年的时候你发一个360p都不如的视频都会被拦截，看看我的定位,1679443002,9,0
以前以为国产都是宣传片，长大了发现都是宣传片,1679407111,12,0
他们为什么要这样 为什么要黑自己的国家 我不理解 为什么现在好多同龄人都这样,1679426491,10,0
