评论,时间,点赞数,标签
这种视频质量[笑哭]哪怕吃不到也做不出来，也得三连…不然心里过意不去哈哈哈,2023-03-20 10:43:00,9,0
太硬核了，店家要是真这样做估计一碗四十左右，四十对于一碗面感觉还是有点贵了[笑哭]，我还是吃十几块一碗的，用浓汤宝和半成品搞的吧,2023-03-20 10:09:41,8,0
整个步骤感觉能自己在家做的就只有糖心蛋[tv_流泪][tv_流泪][tv_流泪][tv_流泪],2023-03-22 06:56:04,2,0
加油💪,2023-03-21 21:40:00,3,0
就三四年前我小县城家楼下也开的那种自己炖的高汤，我每每放假都会下楼来那么一碗，有时店主老奶奶还会在高汤锅里捞些肉给我，只是最近回去没看到那店了，总觉有些遗憾,2023-03-21 15:50:29,2,0
UP主加油！,2023-03-21 07:42:00,3,0
"酱油/盐/豚骨/家系/二郎/二郎インスパイア/鸡白汤/油拉面等等，各类日式拉面的我都吃过很多家店，加起来有大几十家了，真的每家都有不同特色。

不过现在不难吃的拉面大多要1200-1600日元，很多难吃的也要1200+，相比之下大部分快餐500-1000就能吃饱…

看up主视频也能看出来，好吃的拉面真不算简单，也值得稍贵。",2023-03-23 20:23:05,1,0
学会了 这就去公司做,2023-03-24 03:26:07,1,0
或者买一个“汤好喝”，把面扔掉，留下料包[doge],2023-03-23 10:46:05,1,0
给你们看看我最喜欢的蘸面一燈[保卫萝卜_哇],2023-03-21 13:41:51,0,0
早上好，双击我的头像有动画哟[暹罗猫小豆泥_单纯],2023-03-22 23:06:50,1,0
日本国宴[doge],2023-03-23 09:46:53,1,0
拉面仙人[坎公骑冠剑_钻石],2023-03-23 07:39:56,1,0
更新就看 实操就散 分币不投 主打陪伴,2023-03-20 09:58:13,12,0
做的好认真啊[支持],2023-03-23 09:32:49,1,0
什么有机高分子合成实验,2023-03-20 10:17:54,3,0
我一勺三花淡...[滑稽][滑稽],2023-03-23 07:48:13,1,0
猴哥终于出豚骨拉面了~！！！等了好久好久~！！！无脑直接2个币~！收藏~！,2023-03-20 09:45:10,12,0
刚玩过开罗拉面店就刷到了[脱单doge],2023-03-21 12:17:55,2,0
东亚三国对于拉面的定义是不同的，中国的拉面是手工拉面；日本的拉面就是单纯的切面；韩国是方便面。,2023-03-21 15:11:47,2,0
这种视频质量[笑哭]哪怕吃不到也做不出来，也得三连…不然心里过意不去哈哈哈,2023-03-20 10:43:00,9,0
太硬核了，店家要是真这样做估计一碗四十左右，四十对于一碗面感觉还是有点贵了[笑哭]，我还是吃十几块一碗的，用浓汤宝和半成品搞的吧,2023-03-20 10:09:41,8,0
整个步骤感觉能自己在家做的就只有糖心蛋[tv_流泪][tv_流泪][tv_流泪][tv_流泪],2023-03-22 06:56:04,2,0
加油💪,2023-03-21 21:40:00,3,0
就三四年前我小县城家楼下也开的那种自己炖的高汤，我每每放假都会下楼来那么一碗，有时店主老奶奶还会在高汤锅里捞些肉给我，只是最近回去没看到那店了，总觉有些遗憾,2023-03-21 15:50:29,2,0
UP主加油！,2023-03-21 07:42:00,3,0
"酱油/盐/豚骨/家系/二郎/二郎インスパイア/鸡白汤/油拉面等等，各类日式拉面的我都吃过很多家店，加起来有大几十家了，真的每家都有不同特色。

不过现在不难吃的拉面大多要1200-1600日元，很多难吃的也要1200+，相比之下大部分快餐500-1000就能吃饱…

看up主视频也能看出来，好吃的拉面真不算简单，也值得稍贵。",2023-03-23 20:23:05,1,0
学会了 这就去公司做,2023-03-24 03:26:07,1,0
或者买一个“汤好喝”，把面扔掉，留下料包[doge],2023-03-23 10:46:05,1,0
给你们看看我最喜欢的蘸面一燈[保卫萝卜_哇],2023-03-21 13:41:51,0,0
早上好，双击我的头像有动画哟[暹罗猫小豆泥_单纯],2023-03-22 23:06:50,1,0
日本国宴[doge],2023-03-23 09:46:53,1,0
拉面仙人[坎公骑冠剑_钻石],2023-03-23 07:39:56,1,0
更新就看 实操就散 分币不投 主打陪伴,2023-03-20 09:58:13,12,0
做的好认真啊[支持],2023-03-23 09:32:49,1,0
什么有机高分子合成实验,2023-03-20 10:17:54,3,0
我一勺三花淡...[滑稽][滑稽],2023-03-23 07:48:13,1,0
猴哥终于出豚骨拉面了~！！！等了好久好久~！！！无脑直接2个币~！收藏~！,2023-03-20 09:45:10,12,0
刚玩过开罗拉面店就刷到了[脱单doge],2023-03-21 12:17:55,2,0
东亚三国对于拉面的定义是不同的，中国的拉面是手工拉面；日本的拉面就是单纯的切面；韩国是方便面。,2023-03-21 15:11:47,2,0
这种视频质量[笑哭]哪怕吃不到也做不出来，也得三连…不然心里过意不去哈哈哈,2023-03-20 10:43:00,9,0
太硬核了，店家要是真这样做估计一碗四十左右，四十对于一碗面感觉还是有点贵了[笑哭]，我还是吃十几块一碗的，用浓汤宝和半成品搞的吧,2023-03-20 10:09:41,8,0
整个步骤感觉能自己在家做的就只有糖心蛋[tv_流泪][tv_流泪][tv_流泪][tv_流泪],2023-03-22 06:56:04,2,0
加油💪,2023-03-21 21:40:00,3,0
就三四年前我小县城家楼下也开的那种自己炖的高汤，我每每放假都会下楼来那么一碗，有时店主老奶奶还会在高汤锅里捞些肉给我，只是最近回去没看到那店了，总觉有些遗憾,2023-03-21 15:50:29,2,0
UP主加油！,2023-03-21 07:42:00,3,0
"酱油/盐/豚骨/家系/二郎/二郎インスパイア/鸡白汤/油拉面等等，各类日式拉面的我都吃过很多家店，加起来有大几十家了，真的每家都有不同特色。

不过现在不难吃的拉面大多要1200-1600日元，很多难吃的也要1200+，相比之下大部分快餐500-1000就能吃饱…

看up主视频也能看出来，好吃的拉面真不算简单，也值得稍贵。",2023-03-23 20:23:05,1,0
学会了 这就去公司做,2023-03-24 03:26:07,1,0
或者买一个“汤好喝”，把面扔掉，留下料包[doge],2023-03-23 10:46:05,1,0
早上好，双击我的头像有动画哟[暹罗猫小豆泥_单纯],2023-03-22 23:06:50,1,0
日本国宴[doge],2023-03-23 09:46:53,1,0
拉面仙人[坎公骑冠剑_钻石],2023-03-23 07:39:56,1,0
更新就看 实操就散 分币不投 主打陪伴,2023-03-20 09:58:13,12,0
做的好认真啊[支持],2023-03-23 09:32:49,1,0
什么有机高分子合成实验,2023-03-20 10:17:54,3,0
我一勺三花淡...[滑稽][滑稽],2023-03-23 07:48:13,1,0
猴哥终于出豚骨拉面了~！！！等了好久好久~！！！无脑直接2个币~！收藏~！,2023-03-20 09:45:10,12,0
刚玩过开罗拉面店就刷到了[脱单doge],2023-03-21 12:17:55,2,0
东亚三国对于拉面的定义是不同的，中国的拉面是手工拉面；日本的拉面就是单纯的切面；韩国是方便面。,2023-03-21 15:11:47,2,0
这种视频质量[笑哭]哪怕吃不到也做不出来，也得三连…不然心里过意不去哈哈哈,2023-03-20 10:43:00,9,0
太硬核了，店家要是真这样做估计一碗四十左右，四十对于一碗面感觉还是有点贵了[笑哭]，我还是吃十几块一碗的，用浓汤宝和半成品搞的吧,2023-03-20 10:09:41,8,0
我的天。。猴猴好像真的试图教会我，这期真的用心大制作,2023-03-20 09:33:00,9,0
整个步骤感觉能自己在家做的就只有糖心蛋[tv_流泪][tv_流泪][tv_流泪][tv_流泪],2023-03-22 06:56:04,2,0
加油💪,2023-03-21 21:40:00,3,0
就三四年前我小县城家楼下也开的那种自己炖的高汤，我每每放假都会下楼来那么一碗，有时店主老奶奶还会在高汤锅里捞些肉给我，只是最近回去没看到那店了，总觉有些遗憾,2023-03-21 15:50:29,2,0
UP主加油！,2023-03-21 07:42:00,3,0
"酱油/盐/豚骨/家系/二郎/二郎インスパイア/鸡白汤/油拉面等等，各类日式拉面的我都吃过很多家店，加起来有大几十家了，真的每家都有不同特色。

不过现在不难吃的拉面大多要1200-1600日元，很多难吃的也要1200+，相比之下大部分快餐500-1000就能吃饱…

看up主视频也能看出来，好吃的拉面真不算简单，也值得稍贵。",2023-03-23 20:23:05,1,0
学会了 这就去公司做,2023-03-24 03:26:07,1,0
或者买一个“汤好喝”，把面扔掉，留下料包[doge],2023-03-23 10:46:05,1,0
早上好，双击我的头像有动画哟[暹罗猫小豆泥_单纯],2023-03-22 23:06:50,1,0
日本国宴[doge],2023-03-23 09:46:53,1,0
拉面仙人[坎公骑冠剑_钻石],2023-03-23 07:39:56,1,0
更新就看 实操就散 分币不投 主打陪伴,2023-03-20 09:58:13,12,0
做的好认真啊[支持],2023-03-23 09:32:49,1,0
什么有机高分子合成实验,2023-03-20 10:17:54,3,0
我一勺三花淡...[滑稽][滑稽],2023-03-23 07:48:13,1,0
猴哥终于出豚骨拉面了~！！！等了好久好久~！！！无脑直接2个币~！收藏~！,2023-03-20 09:45:10,12,0
刚玩过开罗拉面店就刷到了[脱单doge],2023-03-21 12:17:55,2,0
东亚三国对于拉面的定义是不同的，中国的拉面是手工拉面；日本的拉面就是单纯的切面；韩国是方便面。,2023-03-21 15:11:47,2,0
这种视频质量[笑哭]哪怕吃不到也做不出来，也得三连…不然心里过意不去哈哈哈,2023-03-20 10:43:00,9,0
太硬核了，店家要是真这样做估计一碗四十左右，四十对于一碗面感觉还是有点贵了[笑哭]，我还是吃十几块一碗的，用浓汤宝和半成品搞的吧,2023-03-20 10:09:41,8,0
我的天。。猴猴好像真的试图教会我，这期真的用心大制作,2023-03-20 09:33:00,9,0
整个步骤感觉能自己在家做的就只有糖心蛋[tv_流泪][tv_流泪][tv_流泪][tv_流泪],2023-03-22 06:56:04,2,0
加油💪,2023-03-21 21:40:00,3,0
就三四年前我小县城家楼下也开的那种自己炖的高汤，我每每放假都会下楼来那么一碗，有时店主老奶奶还会在高汤锅里捞些肉给我，只是最近回去没看到那店了，总觉有些遗憾,2023-03-21 15:50:29,2,0
UP主加油！,2023-03-21 07:42:00,3,0
"酱油/盐/豚骨/家系/二郎/二郎インスパイア/鸡白汤/油拉面等等，各类日式拉面的我都吃过很多家店，加起来有大几十家了，真的每家都有不同特色。

不过现在不难吃的拉面大多要1200-1600日元，很多难吃的也要1200+，相比之下大部分快餐500-1000就能吃饱…

看up主视频也能看出来，好吃的拉面真不算简单，也值得稍贵。",2023-03-23 20:23:05,1,0
学会了 这就去公司做,2023-03-24 03:26:07,1,0
或者买一个“汤好喝”，把面扔掉，留下料包[doge],2023-03-23 10:46:05,1,0
早上好，双击我的头像有动画哟[暹罗猫小豆泥_单纯],2023-03-22 23:06:50,1,0
日本国宴[doge],2023-03-23 09:46:53,1,0
拉面仙人[坎公骑冠剑_钻石],2023-03-23 07:39:56,1,0
更新就看 实操就散 分币不投 主打陪伴,2023-03-20 09:58:13,12,0
做的好认真啊[支持],2023-03-23 09:32:49,1,0
什么有机高分子合成实验,2023-03-20 10:17:54,3,0
我一勺三花淡...[滑稽][滑稽],2023-03-23 07:48:13,1,0
猴哥终于出豚骨拉面了~！！！等了好久好久~！！！无脑直接2个币~！收藏~！,2023-03-20 09:45:10,12,0
刚玩过开罗拉面店就刷到了[脱单doge],2023-03-21 12:17:55,2,0
东亚三国对于拉面的定义是不同的，中国的拉面是手工拉面；日本的拉面就是单纯的切面；韩国是方便面。,2023-03-21 15:11:47,2,0
这种视频质量[笑哭]哪怕吃不到也做不出来，也得三连…不然心里过意不去哈哈哈,2023-03-20 10:43:00,9,0
太硬核了，店家要是真这样做估计一碗四十左右，四十对于一碗面感觉还是有点贵了[笑哭]，我还是吃十几块一碗的，用浓汤宝和半成品搞的吧,2023-03-20 10:09:41,8,0
我的天。。猴猴好像真的试图教会我，这期真的用心大制作,2023-03-20 09:33:00,9,0
整个步骤感觉能自己在家做的就只有糖心蛋[tv_流泪][tv_流泪][tv_流泪][tv_流泪],2023-03-22 06:56:04,2,0
加油💪,2023-03-21 21:40:00,3,0
就三四年前我小县城家楼下也开的那种自己炖的高汤，我每每放假都会下楼来那么一碗，有时店主老奶奶还会在高汤锅里捞些肉给我，只是最近回去没看到那店了，总觉有些遗憾,2023-03-21 15:50:29,2,0
UP主加油！,2023-03-21 07:42:00,3,0
"酱油/盐/豚骨/家系/二郎/二郎インスパイア/鸡白汤/油拉面等等，各类日式拉面的我都吃过很多家店，加起来有大几十家了，真的每家都有不同特色。

不过现在不难吃的拉面大多要1200-1600日元，很多难吃的也要1200+，相比之下大部分快餐500-1000就能吃饱…

看up主视频也能看出来，好吃的拉面真不算简单，也值得稍贵。",2023-03-23 20:23:05,1,0
学会了 这就去公司做,2023-03-24 03:26:07,1,0
或者买一个“汤好喝”，把面扔掉，留下料包[doge],2023-03-23 10:46:05,1,0
早上好，双击我的头像有动画哟[暹罗猫小豆泥_单纯],2023-03-22 23:06:50,1,0
日本国宴[doge],2023-03-23 09:46:53,1,0
拉面仙人[坎公骑冠剑_钻石],2023-03-23 07:39:56,1,0
更新就看 实操就散 分币不投 主打陪伴,2023-03-20 09:58:13,12,0
做的好认真啊[支持],2023-03-23 09:32:49,1,0
什么有机高分子合成实验,2023-03-20 10:17:54,3,0
我一勺三花淡...[滑稽][滑稽],2023-03-23 07:48:13,1,0
猴哥终于出豚骨拉面了~！！！等了好久好久~！！！无脑直接2个币~！收藏~！,2023-03-20 09:45:10,12,0
刚玩过开罗拉面店就刷到了[脱单doge],2023-03-21 12:17:55,2,0
东亚三国对于拉面的定义是不同的，中国的拉面是手工拉面；日本的拉面就是单纯的切面；韩国是方便面。,2023-03-21 15:11:47,2,0
这种视频质量[笑哭]哪怕吃不到也做不出来，也得三连…不然心里过意不去哈哈哈,2023-03-20 10:43:00,9,0
太硬核了，店家要是真这样做估计一碗四十左右，四十对于一碗面感觉还是有点贵了[笑哭]，我还是吃十几块一碗的，用浓汤宝和半成品搞的吧,2023-03-20 10:09:41,8,0
我的天。。猴猴好像真的试图教会我，这期真的用心大制作,2023-03-20 09:33:00,9,0
整个步骤感觉能自己在家做的就只有糖心蛋[tv_流泪][tv_流泪][tv_流泪][tv_流泪],2023-03-22 06:56:04,2,0
加油💪,2023-03-21 21:40:00,3,0
就三四年前我小县城家楼下也开的那种自己炖的高汤，我每每放假都会下楼来那么一碗，有时店主老奶奶还会在高汤锅里捞些肉给我，只是最近回去没看到那店了，总觉有些遗憾,2023-03-21 15:50:29,2,0
UP主加油！,2023-03-21 07:42:00,3,0
"酱油/盐/豚骨/家系/二郎/二郎インスパイア/鸡白汤/油拉面等等，各类日式拉面的我都吃过很多家店，加起来有大几十家了，真的每家都有不同特色。

不过现在不难吃的拉面大多要1200-1600日元，很多难吃的也要1200+，相比之下大部分快餐500-1000就能吃饱…

看up主视频也能看出来，好吃的拉面真不算简单，也值得稍贵。",2023-03-23 20:23:05,1,0
学会了 这就去公司做,2023-03-24 03:26:07,1,0
或者买一个“汤好喝”，把面扔掉，留下料包[doge],2023-03-23 10:46:05,1,0
给你们看看我最喜欢的蘸面一燈[保卫萝卜_哇],2023-03-21 13:41:51,0,0
早上好，双击我的头像有动画哟[暹罗猫小豆泥_单纯],2023-03-22 23:06:50,1,0
日本国宴[doge],2023-03-23 09:46:53,1,0
拉面仙人[坎公骑冠剑_钻石],2023-03-23 07:39:56,1,0
更新就看 实操就散 分币不投 主打陪伴,2023-03-20 09:58:13,12,0
做的好认真啊[支持],2023-03-23 09:32:49,1,0
什么有机高分子合成实验,2023-03-20 10:17:54,3,0
我一勺三花淡...[滑稽][滑稽],2023-03-23 07:48:13,1,0
猴哥终于出豚骨拉面了~！！！等了好久好久~！！！无脑直接2个币~！收藏~！,2023-03-20 09:45:10,12,0
刚玩过开罗拉面店就刷到了[脱单doge],2023-03-21 12:17:55,2,0
东亚三国对于拉面的定义是不同的，中国的拉面是手工拉面；日本的拉面就是单纯的切面；韩国是方便面。,2023-03-21 15:11:47,2,0
这种视频质量[笑哭]哪怕吃不到也做不出来，也得三连…不然心里过意不去哈哈哈,2023-03-20 10:43:00,9,0
太硬核了，店家要是真这样做估计一碗四十左右，四十对于一碗面感觉还是有点贵了[笑哭]，我还是吃十几块一碗的，用浓汤宝和半成品搞的吧,2023-03-20 10:09:41,8,0
