评论,时间,点赞数,标签
带着娃娃去拍婚纱照,1679399772,2,0
玛德，看得我吊瘾犯了,1679401522,2,0
继续加油👍,1679374860,4,0
买麦当劳去肯德基吃,1679323042,4,0
去金店买黄金，然后假装逃跑去照镜子，然后再假装逃跑去结账，然后在结完账后再跑[吃瓜][微笑],1679584291,1,0
旺仔无语死了以前绞尽脑汁拍段子时爆时不爆自从拍添堵日记回回上百万播放量[吃瓜],1679507107,1,0
"图灵测试，真人勿回。我刷牙一直都用中华为的是牙齿干净、刷牙速度快,并且每次挤牙膏只需要挤4g比5g够用。和和其他牙膏的清洁性能差开很大的差距。现在在每天喝小米粥都没问题了。所以中华为了提高牙齿清洁度度也是蛮操心的,不得不想要赞美国人的智慧。
且现在疫情严重,感染原神出鬼没,大家要注意保护好自己,不要轻易外出。但是好久没没出去吃饭了,虽然不知道为什么螺蛳粉这么臭,但是将冬冬笋切成丁真的很好吃,明天一定要去吃一顿。",1679536267,1,0
买套套 无论店员拿多大号的 一直问有没有更小的,1679315766,4,0
泪目[笑哭]UP是好人啊,1679546289,1,0
哈哈哈！同一种方法侮辱两次，直接笑裂开！,1679471467,0,0
这期视频真的好，结尾真没想到，唯一投币的，嘿嘿嘿～,1679304223,4,0
这是后期的，我们这边鱼不会说话[脱单doge],1679636913,1,0
去理发店把黑头发染成黑头发,1679570914,1,0
[doge],1679286492,38,0
最后的大爷说了句:谢谢嗷,1679400581,2,0
这是我照片，有本事来广西扇我一巴掌,1679318962,152,0
鱼:幸好我之前咬钩破了一个洞，今天吃食才不疼,1679411278,2,0
鱼送了环卫得点赞[支持],1679476227,2,0
01:30 以为是个搞笑视频，结果没想到结尾升华[大哭],1679499220,1,0
好好好👍👍,1679406180,3,0
带着娃娃去拍婚纱照,1679399772,2,0
玛德，看得我吊瘾犯了,1679401522,2,0
继续加油👍,1679374860,4,0
买麦当劳去肯德基吃,1679323042,4,0
去金店买黄金，然后假装逃跑去照镜子，然后再假装逃跑去结账，然后在结完账后再跑[吃瓜][微笑],1679584291,1,0
旺仔无语死了以前绞尽脑汁拍段子时爆时不爆自从拍添堵日记回回上百万播放量[吃瓜],1679507107,1,0
"图灵测试，真人勿回。我刷牙一直都用中华为的是牙齿干净、刷牙速度快,并且每次挤牙膏只需要挤4g比5g够用。和和其他牙膏的清洁性能差开很大的差距。现在在每天喝小米粥都没问题了。所以中华为了提高牙齿清洁度度也是蛮操心的,不得不想要赞美国人的智慧。
且现在疫情严重,感染原神出鬼没,大家要注意保护好自己,不要轻易外出。但是好久没没出去吃饭了,虽然不知道为什么螺蛳粉这么臭,但是将冬冬笋切成丁真的很好吃,明天一定要去吃一顿。",1679536267,1,0
买套套 无论店员拿多大号的 一直问有没有更小的,1679315766,4,0
泪目[笑哭]UP是好人啊,1679546289,1,0
哈哈哈！同一种方法侮辱两次，直接笑裂开！,1679471467,0,0
这期视频真的好，结尾真没想到，唯一投币的，嘿嘿嘿～,1679304223,4,0
这是后期的，我们这边鱼不会说话[脱单doge],1679636913,1,0
去理发店把黑头发染成黑头发,1679570914,1,0
[doge],1679286492,38,0
最后的大爷说了句:谢谢嗷,1679400581,2,0
这是我照片，有本事来广西扇我一巴掌,1679318962,152,0
鱼:幸好我之前咬钩破了一个洞，今天吃食才不疼,1679411278,2,0
鱼送了环卫得点赞[支持],1679476227,2,0
01:30 以为是个搞笑视频，结果没想到结尾升华[大哭],1679499220,1,0
好好好👍👍,1679406180,3,0
带着娃娃去拍婚纱照,1679399772,2,0
玛德，看得我吊瘾犯了,1679401522,2,0
继续加油👍,1679374860,4,0
买麦当劳去肯德基吃,1679323042,4,0
去金店买黄金，然后假装逃跑去照镜子，然后再假装逃跑去结账，然后在结完账后再跑[吃瓜][微笑],1679584291,1,0
旺仔无语死了以前绞尽脑汁拍段子时爆时不爆自从拍添堵日记回回上百万播放量[吃瓜],1679507107,1,0
"图灵测试，真人勿回。我刷牙一直都用中华为的是牙齿干净、刷牙速度快,并且每次挤牙膏只需要挤4g比5g够用。和和其他牙膏的清洁性能差开很大的差距。现在在每天喝小米粥都没问题了。所以中华为了提高牙齿清洁度度也是蛮操心的,不得不想要赞美国人的智慧。
且现在疫情严重,感染原神出鬼没,大家要注意保护好自己,不要轻易外出。但是好久没没出去吃饭了,虽然不知道为什么螺蛳粉这么臭,但是将冬冬笋切成丁真的很好吃,明天一定要去吃一顿。",1679536267,1,0
买套套 无论店员拿多大号的 一直问有没有更小的,1679315766,4,0
泪目[笑哭]UP是好人啊,1679546289,1,0
哈哈哈！同一种方法侮辱两次，直接笑裂开！,1679471467,0,0
这期视频真的好，结尾真没想到，唯一投币的，嘿嘿嘿～,1679304223,4,0
这是后期的，我们这边鱼不会说话[脱单doge],1679636913,1,0
去理发店把黑头发染成黑头发,1679570914,1,0
[doge],1679286492,38,0
最后的大爷说了句:谢谢嗷,1679400581,2,0
这是我照片，有本事来广西扇我一巴掌,1679318962,152,0
鱼:幸好我之前咬钩破了一个洞，今天吃食才不疼,1679411278,2,0
鱼送了环卫得点赞[支持],1679476227,2,0
01:30 以为是个搞笑视频，结果没想到结尾升华[大哭],1679499220,1,0
好好好👍👍,1679406180,3,0
带着娃娃去拍婚纱照,1679399772,2,0
玛德，看得我吊瘾犯了,1679401522,2,0
继续加油👍,1679374860,4,0
买麦当劳去肯德基吃,1679323042,4,0
去金店买黄金，然后假装逃跑去照镜子，然后再假装逃跑去结账，然后在结完账后再跑[吃瓜][微笑],1679584291,1,0
旺仔无语死了以前绞尽脑汁拍段子时爆时不爆自从拍添堵日记回回上百万播放量[吃瓜],1679507107,1,0
"图灵测试，真人勿回。我刷牙一直都用中华为的是牙齿干净、刷牙速度快,并且每次挤牙膏只需要挤4g比5g够用。和和其他牙膏的清洁性能差开很大的差距。现在在每天喝小米粥都没问题了。所以中华为了提高牙齿清洁度度也是蛮操心的,不得不想要赞美国人的智慧。
且现在疫情严重,感染原神出鬼没,大家要注意保护好自己,不要轻易外出。但是好久没没出去吃饭了,虽然不知道为什么螺蛳粉这么臭,但是将冬冬笋切成丁真的很好吃,明天一定要去吃一顿。",1679536267,1,0
买套套 无论店员拿多大号的 一直问有没有更小的,1679315766,4,0
泪目[笑哭]UP是好人啊,1679546289,1,0
哈哈哈！同一种方法侮辱两次，直接笑裂开！,1679471467,0,0
这期视频真的好，结尾真没想到，唯一投币的，嘿嘿嘿～,1679304223,4,0
这是后期的，我们这边鱼不会说话[脱单doge],1679636913,1,0
去理发店把黑头发染成黑头发,1679570914,1,0
[doge],1679286492,38,0
最后的大爷说了句:谢谢嗷,1679400581,2,0
这是我照片，有本事来广西扇我一巴掌,1679318962,152,0
鱼:幸好我之前咬钩破了一个洞，今天吃食才不疼,1679411278,2,0
鱼送了环卫得点赞[支持],1679476227,2,0
01:30 以为是个搞笑视频，结果没想到结尾升华[大哭],1679499220,1,0
好好好👍👍,1679406180,3,0
带着娃娃去拍婚纱照,1679399772,2,0
玛德，看得我吊瘾犯了,1679401522,2,0
继续加油👍,1679374860,4,0
买麦当劳去肯德基吃,1679323042,4,0
去金店买黄金，然后假装逃跑去照镜子，然后再假装逃跑去结账，然后在结完账后再跑[吃瓜][微笑],1679584291,1,0
旺仔无语死了以前绞尽脑汁拍段子时爆时不爆自从拍添堵日记回回上百万播放量[吃瓜],1679507107,1,0
"图灵测试，真人勿回。我刷牙一直都用中华为的是牙齿干净、刷牙速度快,并且每次挤牙膏只需要挤4g比5g够用。和和其他牙膏的清洁性能差开很大的差距。现在在每天喝小米粥都没问题了。所以中华为了提高牙齿清洁度度也是蛮操心的,不得不想要赞美国人的智慧。
且现在疫情严重,感染原神出鬼没,大家要注意保护好自己,不要轻易外出。但是好久没没出去吃饭了,虽然不知道为什么螺蛳粉这么臭,但是将冬冬笋切成丁真的很好吃,明天一定要去吃一顿。",1679536267,1,0
买套套 无论店员拿多大号的 一直问有没有更小的,1679315766,4,0
泪目[笑哭]UP是好人啊,1679546289,1,0
哈哈哈！同一种方法侮辱两次，直接笑裂开！,1679471467,0,0
这期视频真的好，结尾真没想到，唯一投币的，嘿嘿嘿～,1679304223,4,0
这是后期的，我们这边鱼不会说话[脱单doge],1679636913,1,0
去理发店把黑头发染成黑头发,1679570914,1,0
[doge],1679286492,38,0
最后的大爷说了句:谢谢嗷,1679400581,2,0
这是我照片，有本事来广西扇我一巴掌,1679318962,152,0
鱼:幸好我之前咬钩破了一个洞，今天吃食才不疼,1679411278,2,0
鱼送了环卫得点赞[支持],1679476227,2,0
01:30 以为是个搞笑视频，结果没想到结尾升华[大哭],1679499220,1,0
好好好👍👍,1679406180,3,0
带着娃娃去拍婚纱照,1679399772,2,0
玛德，看得我吊瘾犯了,1679401522,2,0
继续加油👍,1679374860,4,0
买麦当劳去肯德基吃,1679323042,4,0
去金店买黄金，然后假装逃跑去照镜子，然后再假装逃跑去结账，然后在结完账后再跑[吃瓜][微笑],1679584291,1,0
旺仔无语死了以前绞尽脑汁拍段子时爆时不爆自从拍添堵日记回回上百万播放量[吃瓜],1679507107,1,0
"图灵测试，真人勿回。我刷牙一直都用中华为的是牙齿干净、刷牙速度快,并且每次挤牙膏只需要挤4g比5g够用。和和其他牙膏的清洁性能差开很大的差距。现在在每天喝小米粥都没问题了。所以中华为了提高牙齿清洁度度也是蛮操心的,不得不想要赞美国人的智慧。
且现在疫情严重,感染原神出鬼没,大家要注意保护好自己,不要轻易外出。但是好久没没出去吃饭了,虽然不知道为什么螺蛳粉这么臭,但是将冬冬笋切成丁真的很好吃,明天一定要去吃一顿。",1679536267,1,0
买套套 无论店员拿多大号的 一直问有没有更小的,1679315766,4,0
泪目[笑哭]UP是好人啊,1679546289,1,0
哈哈哈！同一种方法侮辱两次，直接笑裂开！,1679471467,0,0
这期视频真的好，结尾真没想到，唯一投币的，嘿嘿嘿～,1679304223,4,0
这是后期的，我们这边鱼不会说话[脱单doge],1679636913,1,0
去理发店把黑头发染成黑头发,1679570914,1,0
[doge],1679286492,38,0
最后的大爷说了句:谢谢嗷,1679400581,2,0
这是我照片，有本事来广西扇我一巴掌,1679318962,152,0
鱼:幸好我之前咬钩破了一个洞，今天吃食才不疼,1679411278,2,0
鱼送了环卫得点赞[支持],1679476227,2,0
01:30 以为是个搞笑视频，结果没想到结尾升华[大哭],1679499220,1,0
好好好👍👍,1679406180,3,0
带着娃娃去拍婚纱照,1679399772,2,0
玛德，看得我吊瘾犯了,1679401522,2,0
继续加油👍,1679374860,4,0
买麦当劳去肯德基吃,1679323042,4,0
去金店买黄金，然后假装逃跑去照镜子，然后再假装逃跑去结账，然后在结完账后再跑[吃瓜][微笑],1679584291,1,0
旺仔无语死了以前绞尽脑汁拍段子时爆时不爆自从拍添堵日记回回上百万播放量[吃瓜],1679507107,1,0
"图灵测试，真人勿回。我刷牙一直都用中华为的是牙齿干净、刷牙速度快,并且每次挤牙膏只需要挤4g比5g够用。和和其他牙膏的清洁性能差开很大的差距。现在在每天喝小米粥都没问题了。所以中华为了提高牙齿清洁度度也是蛮操心的,不得不想要赞美国人的智慧。
且现在疫情严重,感染原神出鬼没,大家要注意保护好自己,不要轻易外出。但是好久没没出去吃饭了,虽然不知道为什么螺蛳粉这么臭,但是将冬冬笋切成丁真的很好吃,明天一定要去吃一顿。",1679536267,1,0
买套套 无论店员拿多大号的 一直问有没有更小的,1679315766,4,0
泪目[笑哭]UP是好人啊,1679546289,1,0
哈哈哈！同一种方法侮辱两次，直接笑裂开！,1679471467,0,0
这期视频真的好，结尾真没想到，唯一投币的，嘿嘿嘿～,1679304223,4,0
这是后期的，我们这边鱼不会说话[脱单doge],1679636913,1,0
去理发店把黑头发染成黑头发,1679570914,1,0
[doge],1679286492,38,0
最后的大爷说了句:谢谢嗷,1679400581,2,0
这是我照片，有本事来广西扇我一巴掌,1679318962,152,0
鱼:幸好我之前咬钩破了一个洞，今天吃食才不疼,1679411278,2,0
鱼送了环卫得点赞[支持],1679476227,2,0
01:30 以为是个搞笑视频，结果没想到结尾升华[大哭],1679499220,1,0
好好好👍👍,1679406180,3,0
带着娃娃去拍婚纱照,1679399772,2,0
玛德，看得我吊瘾犯了,1679401522,2,0
继续加油👍,1679374860,4,0
买麦当劳去肯德基吃,1679323042,4,0
去金店买黄金，然后假装逃跑去照镜子，然后再假装逃跑去结账，然后在结完账后再跑[吃瓜][微笑],1679584291,1,0
旺仔无语死了以前绞尽脑汁拍段子时爆时不爆自从拍添堵日记回回上百万播放量[吃瓜],1679507107,1,0
"图灵测试，真人勿回。我刷牙一直都用中华为的是牙齿干净、刷牙速度快,并且每次挤牙膏只需要挤4g比5g够用。和和其他牙膏的清洁性能差开很大的差距。现在在每天喝小米粥都没问题了。所以中华为了提高牙齿清洁度度也是蛮操心的,不得不想要赞美国人的智慧。
且现在疫情严重,感染原神出鬼没,大家要注意保护好自己,不要轻易外出。但是好久没没出去吃饭了,虽然不知道为什么螺蛳粉这么臭,但是将冬冬笋切成丁真的很好吃,明天一定要去吃一顿。",1679536267,1,0
买套套 无论店员拿多大号的 一直问有没有更小的,1679315766,4,0
泪目[笑哭]UP是好人啊,1679546289,1,0
哈哈哈！同一种方法侮辱两次，直接笑裂开！,1679471467,0,0
这期视频真的好，结尾真没想到，唯一投币的，嘿嘿嘿～,1679304223,4,0
这是后期的，我们这边鱼不会说话[脱单doge],1679636913,1,0
去理发店把黑头发染成黑头发,1679570914,1,0
[doge],1679286492,38,0
