评论,时间,点赞数,标签
你这就是一束光，很不错了，还需要更多的光汇聚，持续监督,1679488266,5,0
从小就在胖东来的庇护下从来没担心过少称[狮子座_傲娇女王],1679535753,2,0
应该号召观众来拍摄当地的违规视频上传，同时q一下你的平台号和当地市场管理部门，利用你帐号的知名度来督促当地管理部门,1679500602,2,0
我不懂，为什么这么多人喜欢泼冷水，你不做有人去做你说你一个人能改变什么？有的地方正在整改，你又说别的地方也没有跟上啊，别的地方跟上了，你又说看着吧，过几天就回来了，不是你是就喜欢泼冷水是吗？不要打击任何一个人的努力，更不要假装很冷静很客观的评价，因为你的评价毫无用处，甚至让人非常沮丧，我没有勇气也没有毅力跟up一样做这些改变市场的事情，但是我衷心的希望up能够让更多人看见，我也觉得他是我的一个很好的榜样[保卫萝卜_哇]拜托，如果人人都不去改变，世界是不会自己改变的,1679548137,6,0
比辛吉飞好多了[点赞],1679535487,3,0
支持，但是卡顿,1679500919,4,0
"我近一年已经在12315投诉了不止一次商家侵犯消费者权益，有的不止一次投诉甚至举报，截至目前为止，无一解决。
可能这种东西，还得靠媒体曝光，把事搞大。现在媒体需要流量，也不太管，只能靠自媒体大范围传播。",1679540364,3,0
你已经被市场管理局列入重点观察名单。,1679511907,4,0
大家都要敢于站出来啊，不能只让少数人为我们遮风挡雨，忍忍就过去了这种心态可不要有,1679490632,3,0
弹幕里说断人财路杀人父母的，我真觉得该好好查查，难道不是你缺斤少两在先？挣黑心钱你不怕报应啊！还敢过来带节奏，就得狠狠地罚你！,1679497284,6,0
只要越来越的人能站起来抵制不良商贩，保留证据摄像头对准他们，就不怕市场没有重见阳光的一天,1679487298,5,0
[doge][doge]还挺早[一周年纪念_摩多摩多][一周年纪念_摩多摩多],1679482626,221,0
尽自己的一份力，你不干，我不干，就真的没人干。不止市场！https://b23.tv/BV18M411s7B3,1679550957,2,0
继续加油👍,1679557080,3,0
过1-2个月又会恢复如初。,1679483254,96,0
"“我们走后，他们会给你们修学校和医院，会提高你们的工资，这不是因为他们良心发现，也不是因为他们变成了好人，而是因为我们来过。”
           ——————切格瓦拉[打call][打call][打call]",1679486381,4,0
哇我的天啊加油啊！还有！注意安全！我们每个人都有权利维护自己的合法权益！大家一定要敢于发声！,1679547282,2,0
保护好自己[委屈]你的人头现在悬赏185万贝利了,1679549069,2,0
好好好👍👍,1679547660,3,0
宁波慈溪人路过，表示我们这边的市场，压秤的都做不下去 ，只有那种食材品质好，有诚信的才能做的久。主要是品质好，回头客才多。对于有皮筋捆绑的海鲜，比如梭子蟹，其实皮筋重量很小，商家会在装袋之后拽掉袋子角放水，称重之后抹零。当然我不能以偏概全，至少我去买菜的商铺老板还是不错的，客人也很多，毕竟诚信为本嘛。再说一点不吹牛批的，本人长期从事机械工作，对于手上的重量拿捏得很准，买了菜分量是多少基本用手一提就知道，买菜很少被坑[脱单doge],1679539467,2,0
你这就是一束光，很不错了，还需要更多的光汇聚，持续监督,1679488266,5,0
从小就在胖东来的庇护下从来没担心过少称[狮子座_傲娇女王],1679535753,2,0
应该号召观众来拍摄当地的违规视频上传，同时q一下你的平台号和当地市场管理部门，利用你帐号的知名度来督促当地管理部门,1679500602,2,0
我不懂，为什么这么多人喜欢泼冷水，你不做有人去做你说你一个人能改变什么？有的地方正在整改，你又说别的地方也没有跟上啊，别的地方跟上了，你又说看着吧，过几天就回来了，不是你是就喜欢泼冷水是吗？不要打击任何一个人的努力，更不要假装很冷静很客观的评价，因为你的评价毫无用处，甚至让人非常沮丧，我没有勇气也没有毅力跟up一样做这些改变市场的事情，但是我衷心的希望up能够让更多人看见，我也觉得他是我的一个很好的榜样[保卫萝卜_哇]拜托，如果人人都不去改变，世界是不会自己改变的,1679548137,6,0
比辛吉飞好多了[点赞],1679535487,3,0
支持，但是卡顿,1679500919,4,0
"我近一年已经在12315投诉了不止一次商家侵犯消费者权益，有的不止一次投诉甚至举报，截至目前为止，无一解决。
可能这种东西，还得靠媒体曝光，把事搞大。现在媒体需要流量，也不太管，只能靠自媒体大范围传播。",1679540364,3,0
你已经被市场管理局列入重点观察名单。,1679511907,4,0
大家都要敢于站出来啊，不能只让少数人为我们遮风挡雨，忍忍就过去了这种心态可不要有,1679490632,3,0
弹幕里说断人财路杀人父母的，我真觉得该好好查查，难道不是你缺斤少两在先？挣黑心钱你不怕报应啊！还敢过来带节奏，就得狠狠地罚你！,1679497284,6,0
只要越来越的人能站起来抵制不良商贩，保留证据摄像头对准他们，就不怕市场没有重见阳光的一天,1679487298,5,0
[doge][doge]还挺早[一周年纪念_摩多摩多][一周年纪念_摩多摩多],1679482626,221,0
尽自己的一份力，你不干，我不干，就真的没人干。不止市场！https://b23.tv/BV18M411s7B3,1679550957,2,0
继续加油👍,1679557080,3,0
过1-2个月又会恢复如初。,1679483254,96,0
"“我们走后，他们会给你们修学校和医院，会提高你们的工资，这不是因为他们良心发现，也不是因为他们变成了好人，而是因为我们来过。”
           ——————切格瓦拉[打call][打call][打call]",1679486381,4,0
哇我的天啊加油啊！还有！注意安全！我们每个人都有权利维护自己的合法权益！大家一定要敢于发声！,1679547282,2,0
保护好自己[委屈]你的人头现在悬赏185万贝利了,1679549069,2,0
好好好👍👍,1679547660,3,0
宁波慈溪人路过，表示我们这边的市场，压秤的都做不下去 ，只有那种食材品质好，有诚信的才能做的久。主要是品质好，回头客才多。对于有皮筋捆绑的海鲜，比如梭子蟹，其实皮筋重量很小，商家会在装袋之后拽掉袋子角放水，称重之后抹零。当然我不能以偏概全，至少我去买菜的商铺老板还是不错的，客人也很多，毕竟诚信为本嘛。再说一点不吹牛批的，本人长期从事机械工作，对于手上的重量拿捏得很准，买了菜分量是多少基本用手一提就知道，买菜很少被坑[脱单doge],1679539467,2,0
你这就是一束光，很不错了，还需要更多的光汇聚，持续监督,1679488266,5,0
从小就在胖东来的庇护下从来没担心过少称[狮子座_傲娇女王],1679535753,2,0
应该号召观众来拍摄当地的违规视频上传，同时q一下你的平台号和当地市场管理部门，利用你帐号的知名度来督促当地管理部门,1679500602,2,0
我不懂，为什么这么多人喜欢泼冷水，你不做有人去做你说你一个人能改变什么？有的地方正在整改，你又说别的地方也没有跟上啊，别的地方跟上了，你又说看着吧，过几天就回来了，不是你是就喜欢泼冷水是吗？不要打击任何一个人的努力，更不要假装很冷静很客观的评价，因为你的评价毫无用处，甚至让人非常沮丧，我没有勇气也没有毅力跟up一样做这些改变市场的事情，但是我衷心的希望up能够让更多人看见，我也觉得他是我的一个很好的榜样[保卫萝卜_哇]拜托，如果人人都不去改变，世界是不会自己改变的,1679548137,6,0
比辛吉飞好多了[点赞],1679535487,3,0
支持，但是卡顿,1679500919,4,0
"我近一年已经在12315投诉了不止一次商家侵犯消费者权益，有的不止一次投诉甚至举报，截至目前为止，无一解决。
可能这种东西，还得靠媒体曝光，把事搞大。现在媒体需要流量，也不太管，只能靠自媒体大范围传播。",1679540364,3,0
你已经被市场管理局列入重点观察名单。,1679511907,4,0
大家都要敢于站出来啊，不能只让少数人为我们遮风挡雨，忍忍就过去了这种心态可不要有,1679490632,3,0
弹幕里说断人财路杀人父母的，我真觉得该好好查查，难道不是你缺斤少两在先？挣黑心钱你不怕报应啊！还敢过来带节奏，就得狠狠地罚你！,1679497284,6,0
只要越来越的人能站起来抵制不良商贩，保留证据摄像头对准他们，就不怕市场没有重见阳光的一天,1679487298,5,0
[doge][doge]还挺早[一周年纪念_摩多摩多][一周年纪念_摩多摩多],1679482626,221,0
尽自己的一份力，你不干，我不干，就真的没人干。不止市场！https://b23.tv/BV18M411s7B3,1679550957,2,0
继续加油👍,1679557080,3,0
过1-2个月又会恢复如初。,1679483254,96,0
"“我们走后，他们会给你们修学校和医院，会提高你们的工资，这不是因为他们良心发现，也不是因为他们变成了好人，而是因为我们来过。”
           ——————切格瓦拉[打call][打call][打call]",1679486381,4,0
哇我的天啊加油啊！还有！注意安全！我们每个人都有权利维护自己的合法权益！大家一定要敢于发声！,1679547282,2,0
保护好自己[委屈]你的人头现在悬赏185万贝利了,1679549069,2,0
好好好👍👍,1679547660,3,0
宁波慈溪人路过，表示我们这边的市场，压秤的都做不下去 ，只有那种食材品质好，有诚信的才能做的久。主要是品质好，回头客才多。对于有皮筋捆绑的海鲜，比如梭子蟹，其实皮筋重量很小，商家会在装袋之后拽掉袋子角放水，称重之后抹零。当然我不能以偏概全，至少我去买菜的商铺老板还是不错的，客人也很多，毕竟诚信为本嘛。再说一点不吹牛批的，本人长期从事机械工作，对于手上的重量拿捏得很准，买了菜分量是多少基本用手一提就知道，买菜很少被坑[脱单doge],1679539467,2,0
你这就是一束光，很不错了，还需要更多的光汇聚，持续监督,1679488266,5,0
从小就在胖东来的庇护下从来没担心过少称[狮子座_傲娇女王],1679535753,2,0
应该号召观众来拍摄当地的违规视频上传，同时q一下你的平台号和当地市场管理部门，利用你帐号的知名度来督促当地管理部门,1679500602,2,0
我不懂，为什么这么多人喜欢泼冷水，你不做有人去做你说你一个人能改变什么？有的地方正在整改，你又说别的地方也没有跟上啊，别的地方跟上了，你又说看着吧，过几天就回来了，不是你是就喜欢泼冷水是吗？不要打击任何一个人的努力，更不要假装很冷静很客观的评价，因为你的评价毫无用处，甚至让人非常沮丧，我没有勇气也没有毅力跟up一样做这些改变市场的事情，但是我衷心的希望up能够让更多人看见，我也觉得他是我的一个很好的榜样[保卫萝卜_哇]拜托，如果人人都不去改变，世界是不会自己改变的,1679548137,6,0
比辛吉飞好多了[点赞],1679535487,3,0
支持，但是卡顿,1679500919,4,0
"我近一年已经在12315投诉了不止一次商家侵犯消费者权益，有的不止一次投诉甚至举报，截至目前为止，无一解决。
可能这种东西，还得靠媒体曝光，把事搞大。现在媒体需要流量，也不太管，只能靠自媒体大范围传播。",1679540364,3,0
你已经被市场管理局列入重点观察名单。,1679511907,4,0
大家都要敢于站出来啊，不能只让少数人为我们遮风挡雨，忍忍就过去了这种心态可不要有,1679490632,3,0
弹幕里说断人财路杀人父母的，我真觉得该好好查查，难道不是你缺斤少两在先？挣黑心钱你不怕报应啊！还敢过来带节奏，就得狠狠地罚你！,1679497284,6,0
只要越来越的人能站起来抵制不良商贩，保留证据摄像头对准他们，就不怕市场没有重见阳光的一天,1679487298,5,0
[doge][doge]还挺早[一周年纪念_摩多摩多][一周年纪念_摩多摩多],1679482626,221,0
尽自己的一份力，你不干，我不干，就真的没人干。不止市场！https://b23.tv/BV18M411s7B3,1679550957,2,0
继续加油👍,1679557080,3,0
过1-2个月又会恢复如初。,1679483254,96,0
"“我们走后，他们会给你们修学校和医院，会提高你们的工资，这不是因为他们良心发现，也不是因为他们变成了好人，而是因为我们来过。”
           ——————切格瓦拉[打call][打call][打call]",1679486381,4,0
哇我的天啊加油啊！还有！注意安全！我们每个人都有权利维护自己的合法权益！大家一定要敢于发声！,1679547282,2,0
保护好自己[委屈]你的人头现在悬赏185万贝利了,1679549069,2,0
好好好👍👍,1679547660,3,0
宁波慈溪人路过，表示我们这边的市场，压秤的都做不下去 ，只有那种食材品质好，有诚信的才能做的久。主要是品质好，回头客才多。对于有皮筋捆绑的海鲜，比如梭子蟹，其实皮筋重量很小，商家会在装袋之后拽掉袋子角放水，称重之后抹零。当然我不能以偏概全，至少我去买菜的商铺老板还是不错的，客人也很多，毕竟诚信为本嘛。再说一点不吹牛批的，本人长期从事机械工作，对于手上的重量拿捏得很准，买了菜分量是多少基本用手一提就知道，买菜很少被坑[脱单doge],1679539467,2,0
你这就是一束光，很不错了，还需要更多的光汇聚，持续监督,1679488266,5,0
从小就在胖东来的庇护下从来没担心过少称[狮子座_傲娇女王],1679535753,2,0
应该号召观众来拍摄当地的违规视频上传，同时q一下你的平台号和当地市场管理部门，利用你帐号的知名度来督促当地管理部门,1679500602,2,0
我不懂，为什么这么多人喜欢泼冷水，你不做有人去做你说你一个人能改变什么？有的地方正在整改，你又说别的地方也没有跟上啊，别的地方跟上了，你又说看着吧，过几天就回来了，不是你是就喜欢泼冷水是吗？不要打击任何一个人的努力，更不要假装很冷静很客观的评价，因为你的评价毫无用处，甚至让人非常沮丧，我没有勇气也没有毅力跟up一样做这些改变市场的事情，但是我衷心的希望up能够让更多人看见，我也觉得他是我的一个很好的榜样[保卫萝卜_哇]拜托，如果人人都不去改变，世界是不会自己改变的,1679548137,6,0
比辛吉飞好多了[点赞],1679535487,3,0
支持，但是卡顿,1679500919,4,0
"我近一年已经在12315投诉了不止一次商家侵犯消费者权益，有的不止一次投诉甚至举报，截至目前为止，无一解决。
可能这种东西，还得靠媒体曝光，把事搞大。现在媒体需要流量，也不太管，只能靠自媒体大范围传播。",1679540364,3,0
你已经被市场管理局列入重点观察名单。,1679511907,4,0
大家都要敢于站出来啊，不能只让少数人为我们遮风挡雨，忍忍就过去了这种心态可不要有,1679490632,3,0
弹幕里说断人财路杀人父母的，我真觉得该好好查查，难道不是你缺斤少两在先？挣黑心钱你不怕报应啊！还敢过来带节奏，就得狠狠地罚你！,1679497284,6,0
只要越来越的人能站起来抵制不良商贩，保留证据摄像头对准他们，就不怕市场没有重见阳光的一天,1679487298,5,0
[doge][doge]还挺早[一周年纪念_摩多摩多][一周年纪念_摩多摩多],1679482626,221,0
尽自己的一份力，你不干，我不干，就真的没人干。不止市场！https://b23.tv/BV18M411s7B3,1679550957,2,0
继续加油👍,1679557080,3,0
过1-2个月又会恢复如初。,1679483254,96,0
"“我们走后，他们会给你们修学校和医院，会提高你们的工资，这不是因为他们良心发现，也不是因为他们变成了好人，而是因为我们来过。”
           ——————切格瓦拉[打call][打call][打call]",1679486381,4,0
哇我的天啊加油啊！还有！注意安全！我们每个人都有权利维护自己的合法权益！大家一定要敢于发声！,1679547282,2,0
保护好自己[委屈]你的人头现在悬赏185万贝利了,1679549069,2,0
好好好👍👍,1679547660,3,0
宁波慈溪人路过，表示我们这边的市场，压秤的都做不下去 ，只有那种食材品质好，有诚信的才能做的久。主要是品质好，回头客才多。对于有皮筋捆绑的海鲜，比如梭子蟹，其实皮筋重量很小，商家会在装袋之后拽掉袋子角放水，称重之后抹零。当然我不能以偏概全，至少我去买菜的商铺老板还是不错的，客人也很多，毕竟诚信为本嘛。再说一点不吹牛批的，本人长期从事机械工作，对于手上的重量拿捏得很准，买了菜分量是多少基本用手一提就知道，买菜很少被坑[脱单doge],1679539467,2,0
你这就是一束光，很不错了，还需要更多的光汇聚，持续监督,1679488266,5,0
从小就在胖东来的庇护下从来没担心过少称[狮子座_傲娇女王],1679535753,2,0
应该号召观众来拍摄当地的违规视频上传，同时q一下你的平台号和当地市场管理部门，利用你帐号的知名度来督促当地管理部门,1679500602,2,0
我不懂，为什么这么多人喜欢泼冷水，你不做有人去做你说你一个人能改变什么？有的地方正在整改，你又说别的地方也没有跟上啊，别的地方跟上了，你又说看着吧，过几天就回来了，不是你是就喜欢泼冷水是吗？不要打击任何一个人的努力，更不要假装很冷静很客观的评价，因为你的评价毫无用处，甚至让人非常沮丧，我没有勇气也没有毅力跟up一样做这些改变市场的事情，但是我衷心的希望up能够让更多人看见，我也觉得他是我的一个很好的榜样[保卫萝卜_哇]拜托，如果人人都不去改变，世界是不会自己改变的,1679548137,6,0
比辛吉飞好多了[点赞],1679535487,3,0
支持，但是卡顿,1679500919,4,0
"我近一年已经在12315投诉了不止一次商家侵犯消费者权益，有的不止一次投诉甚至举报，截至目前为止，无一解决。
可能这种东西，还得靠媒体曝光，把事搞大。现在媒体需要流量，也不太管，只能靠自媒体大范围传播。",1679540364,3,0
你已经被市场管理局列入重点观察名单。,1679511907,4,0
大家都要敢于站出来啊，不能只让少数人为我们遮风挡雨，忍忍就过去了这种心态可不要有,1679490632,3,0
弹幕里说断人财路杀人父母的，我真觉得该好好查查，难道不是你缺斤少两在先？挣黑心钱你不怕报应啊！还敢过来带节奏，就得狠狠地罚你！,1679497284,6,0
只要越来越的人能站起来抵制不良商贩，保留证据摄像头对准他们，就不怕市场没有重见阳光的一天,1679487298,5,0
[doge][doge]还挺早[一周年纪念_摩多摩多][一周年纪念_摩多摩多],1679482626,221,0
尽自己的一份力，你不干，我不干，就真的没人干。不止市场！https://b23.tv/BV18M411s7B3,1679550957,2,0
继续加油👍,1679557080,3,0
过1-2个月又会恢复如初。,1679483254,96,0
"“我们走后，他们会给你们修学校和医院，会提高你们的工资，这不是因为他们良心发现，也不是因为他们变成了好人，而是因为我们来过。”
           ——————切格瓦拉[打call][打call][打call]",1679486381,4,0
哇我的天啊加油啊！还有！注意安全！我们每个人都有权利维护自己的合法权益！大家一定要敢于发声！,1679547282,2,0
保护好自己[委屈]你的人头现在悬赏185万贝利了,1679549069,2,0
好好好👍👍,1679547660,3,0
宁波慈溪人路过，表示我们这边的市场，压秤的都做不下去 ，只有那种食材品质好，有诚信的才能做的久。主要是品质好，回头客才多。对于有皮筋捆绑的海鲜，比如梭子蟹，其实皮筋重量很小，商家会在装袋之后拽掉袋子角放水，称重之后抹零。当然我不能以偏概全，至少我去买菜的商铺老板还是不错的，客人也很多，毕竟诚信为本嘛。再说一点不吹牛批的，本人长期从事机械工作，对于手上的重量拿捏得很准，买了菜分量是多少基本用手一提就知道，买菜很少被坑[脱单doge],1679539467,2,0
你这就是一束光，很不错了，还需要更多的光汇聚，持续监督,1679488266,5,0
从小就在胖东来的庇护下从来没担心过少称[狮子座_傲娇女王],1679535753,2,0
应该号召观众来拍摄当地的违规视频上传，同时q一下你的平台号和当地市场管理部门，利用你帐号的知名度来督促当地管理部门,1679500602,2,0
我不懂，为什么这么多人喜欢泼冷水，你不做有人去做你说你一个人能改变什么？有的地方正在整改，你又说别的地方也没有跟上啊，别的地方跟上了，你又说看着吧，过几天就回来了，不是你是就喜欢泼冷水是吗？不要打击任何一个人的努力，更不要假装很冷静很客观的评价，因为你的评价毫无用处，甚至让人非常沮丧，我没有勇气也没有毅力跟up一样做这些改变市场的事情，但是我衷心的希望up能够让更多人看见，我也觉得他是我的一个很好的榜样[保卫萝卜_哇]拜托，如果人人都不去改变，世界是不会自己改变的,1679548137,6,0
比辛吉飞好多了[点赞],1679535487,3,0
支持，但是卡顿,1679500919,4,0
"我近一年已经在12315投诉了不止一次商家侵犯消费者权益，有的不止一次投诉甚至举报，截至目前为止，无一解决。
可能这种东西，还得靠媒体曝光，把事搞大。现在媒体需要流量，也不太管，只能靠自媒体大范围传播。",1679540364,3,0
你已经被市场管理局列入重点观察名单。,1679511907,4,0
弹幕里说断人财路杀人父母的，我真觉得该好好查查，难道不是你缺斤少两在先？挣黑心钱你不怕报应啊！还敢过来带节奏，就得狠狠地罚你！,1679497284,6,0
大家都要敢于站出来啊，不能只让少数人为我们遮风挡雨，忍忍就过去了这种心态可不要有,1679490632,3,0
只要越来越的人能站起来抵制不良商贩，保留证据摄像头对准他们，就不怕市场没有重见阳光的一天,1679487298,5,0
[doge][doge]还挺早[一周年纪念_摩多摩多][一周年纪念_摩多摩多],1679482626,221,0
尽自己的一份力，你不干，我不干，就真的没人干。不止市场！https://b23.tv/BV18M411s7B3,1679550957,2,0
继续加油👍,1679557080,3,0
过1-2个月又会恢复如初。,1679483254,96,0
"“我们走后，他们会给你们修学校和医院，会提高你们的工资，这不是因为他们良心发现，也不是因为他们变成了好人，而是因为我们来过。”
           ——————切格瓦拉[打call][打call][打call]",1679486381,4,0
哇我的天啊加油啊！还有！注意安全！我们每个人都有权利维护自己的合法权益！大家一定要敢于发声！,1679547282,2,0
保护好自己[委屈]你的人头现在悬赏185万贝利了,1679549069,2,0
好好好👍👍,1679547660,3,0
