评论,时间,点赞数,标签
哇，很难得聚齐这么一大批的同好（最主要还可以一起拍视频发癫哈哈哈哈哈哈哈哈哈哈哈哈）,2023-03-23 04:39:03,24,0
笑职校的现在你们同龄人中有50%都是职校的，那我估计你也没什么朋友了,2023-03-23 13:13:28,9,0
找的到成龙，特鲁，老爹，阿福，找不到小玉和小蛇一起拍[难过],2023-03-23 06:58:37,7,0
[微笑]管好自己就行了不要总嘲笑别人好吧,2023-03-23 01:47:12,26,0
哈哈哈哈哈哈都学疯啦!!!我高中也好想拍这种视频呜呜呜，好羡慕![大哭][大哭][大哭],2023-03-23 07:56:26,6,0
本来想投一个币的，结果误触投了俩啊啊啊啊，不过视频质量也值得[白色情人节_555][白色情人节_yyds],2023-03-23 08:58:07,6,0
现在分流，一半高中一半职校已经定局了，至少俺种地这是这样滴,2023-03-22 17:08:56,22,0
"我们的童年本应如此……
作业你给我出来受死[大哭]",2023-03-23 15:30:47,9,0
00:23 [保卫萝卜_白眼],2023-03-22 17:32:59,89,0
切莫以貌取人，学习是学习，品德是品德。小学就应该知道的东西现在还是有人不知道。[藏狐],2023-03-23 07:32:58,8,0
呃职校怎么了职校也能高考也能考本科好不好,2023-03-23 03:43:29,12,0
不懂，一边嘲笑职校，一边当孔乙己[喜极而泣],2023-03-22 17:58:31,33,0
彦祖，来找🤡的么[doge],2023-03-23 08:57:57,20,0
本人就是职高的，今年准备单招上大专[呲牙],2023-03-23 13:14:41,5,0
洋溢青春朝气的孩子们，每次看了都会感慨年轻真好，年轻就要去恣意[酸了][酸了][保卫萝卜_哭哭],2023-03-22 21:19:26,15,0
"视频看到的是一群青春，肆意的孩子们
评论看到的是一堆尖酸，刻薄的孩子们",2023-03-23 04:36:52,17,0
哈哈哈哈好有意思好有趣的灵魂比那些王者荣耀高端局动不动就开喷骂人字字带家人的没素质的职高人好太多了，不是针对这个区群体沃只是针对某些人，我也有认识一些玩的好的职高带专朋友都是[捂眼],2023-03-23 08:43:32,5,0
职校怎么了，以后谁就业快工资高都不一定呢[藏狐],2023-03-23 09:02:41,3,0
我觉得我们努力学习不是为了嘲笑别人，要知道有的人一出生就拥有不了学习的条件，作为有条件和能力的人更应该去想“弱者”面临的情况和问题，再好好学习改变这个社会解决这些问题,2023-03-23 12:03:40,5,0
谁管你们高中生初中生啊，这不是个整活视频吗？你们在讨论什么？在讨论什么啊？,2023-03-22 23:51:17,12,0
哇，很难得聚齐这么一大批的同好（最主要还可以一起拍视频发癫哈哈哈哈哈哈哈哈哈哈哈哈）,2023-03-23 04:39:03,24,0
笑职校的现在你们同龄人中有50%都是职校的，那我估计你也没什么朋友了,2023-03-23 13:13:28,9,0
找的到成龙，特鲁，老爹，阿福，找不到小玉和小蛇一起拍[难过],2023-03-23 06:58:37,7,0
[微笑]管好自己就行了不要总嘲笑别人好吧,2023-03-23 01:47:12,26,0
哈哈哈哈哈哈都学疯啦!!!我高中也好想拍这种视频呜呜呜，好羡慕![大哭][大哭][大哭],2023-03-23 07:56:26,6,0
本来想投一个币的，结果误触投了俩啊啊啊啊，不过视频质量也值得[白色情人节_555][白色情人节_yyds],2023-03-23 08:58:07,6,0
现在分流，一半高中一半职校已经定局了，至少俺种地这是这样滴,2023-03-22 17:08:56,22,0
"我们的童年本应如此……
作业你给我出来受死[大哭]",2023-03-23 15:30:47,9,0
00:23 [保卫萝卜_白眼],2023-03-22 17:32:59,89,0
切莫以貌取人，学习是学习，品德是品德。小学就应该知道的东西现在还是有人不知道。[藏狐],2023-03-23 07:32:58,8,0
呃职校怎么了职校也能高考也能考本科好不好,2023-03-23 03:43:29,12,0
不懂，一边嘲笑职校，一边当孔乙己[喜极而泣],2023-03-22 17:58:31,33,0
彦祖，来找🤡的么[doge],2023-03-23 08:57:57,20,0
本人就是职高的，今年准备单招上大专[呲牙],2023-03-23 13:14:41,5,0
洋溢青春朝气的孩子们，每次看了都会感慨年轻真好，年轻就要去恣意[酸了][酸了][保卫萝卜_哭哭],2023-03-22 21:19:26,15,0
"视频看到的是一群青春，肆意的孩子们
评论看到的是一堆尖酸，刻薄的孩子们",2023-03-23 04:36:52,17,0
哈哈哈哈好有意思好有趣的灵魂比那些王者荣耀高端局动不动就开喷骂人字字带家人的没素质的职高人好太多了，不是针对这个区群体沃只是针对某些人，我也有认识一些玩的好的职高带专朋友都是[捂眼],2023-03-23 08:43:32,5,0
职校怎么了，以后谁就业快工资高都不一定呢[藏狐],2023-03-23 09:02:41,3,0
我觉得我们努力学习不是为了嘲笑别人，要知道有的人一出生就拥有不了学习的条件，作为有条件和能力的人更应该去想“弱者”面临的情况和问题，再好好学习改变这个社会解决这些问题,2023-03-23 12:03:40,5,0
谁管你们高中生初中生啊，这不是个整活视频吗？你们在讨论什么？在讨论什么啊？,2023-03-22 23:51:17,12,0
哇，很难得聚齐这么一大批的同好（最主要还可以一起拍视频发癫哈哈哈哈哈哈哈哈哈哈哈哈）,2023-03-23 04:39:03,24,0
笑职校的现在你们同龄人中有50%都是职校的，那我估计你也没什么朋友了,2023-03-23 13:13:28,9,0
找的到成龙，特鲁，老爹，阿福，找不到小玉和小蛇一起拍[难过],2023-03-23 06:58:37,7,0
[微笑]管好自己就行了不要总嘲笑别人好吧,2023-03-23 01:47:12,26,0
哈哈哈哈哈哈都学疯啦!!!我高中也好想拍这种视频呜呜呜，好羡慕![大哭][大哭][大哭],2023-03-23 07:56:26,6,0
本来想投一个币的，结果误触投了俩啊啊啊啊，不过视频质量也值得[白色情人节_555][白色情人节_yyds],2023-03-23 08:58:07,6,0
现在分流，一半高中一半职校已经定局了，至少俺种地这是这样滴,2023-03-22 17:08:56,22,0
"我们的童年本应如此……
作业你给我出来受死[大哭]",2023-03-23 15:30:47,9,0
00:23 [保卫萝卜_白眼],2023-03-22 17:32:59,89,0
切莫以貌取人，学习是学习，品德是品德。小学就应该知道的东西现在还是有人不知道。[藏狐],2023-03-23 07:32:58,8,0
呃职校怎么了职校也能高考也能考本科好不好,2023-03-23 03:43:29,12,0
不懂，一边嘲笑职校，一边当孔乙己[喜极而泣],2023-03-22 17:58:31,33,0
彦祖，来找🤡的么[doge],2023-03-23 08:57:57,20,0
本人就是职高的，今年准备单招上大专[呲牙],2023-03-23 13:14:41,5,0
洋溢青春朝气的孩子们，每次看了都会感慨年轻真好，年轻就要去恣意[酸了][酸了][保卫萝卜_哭哭],2023-03-22 21:19:26,15,0
"视频看到的是一群青春，肆意的孩子们
评论看到的是一堆尖酸，刻薄的孩子们",2023-03-23 04:36:52,17,0
哈哈哈哈好有意思好有趣的灵魂比那些王者荣耀高端局动不动就开喷骂人字字带家人的没素质的职高人好太多了，不是针对这个区群体沃只是针对某些人，我也有认识一些玩的好的职高带专朋友都是[捂眼],2023-03-23 08:43:32,5,0
职校怎么了，以后谁就业快工资高都不一定呢[藏狐],2023-03-23 09:02:41,3,0
我觉得我们努力学习不是为了嘲笑别人，要知道有的人一出生就拥有不了学习的条件，作为有条件和能力的人更应该去想“弱者”面临的情况和问题，再好好学习改变这个社会解决这些问题,2023-03-23 12:03:40,5,0
谁管你们高中生初中生啊，这不是个整活视频吗？你们在讨论什么？在讨论什么啊？,2023-03-22 23:51:17,12,0
哇，很难得聚齐这么一大批的同好（最主要还可以一起拍视频发癫哈哈哈哈哈哈哈哈哈哈哈哈）,2023-03-23 04:39:03,24,0
笑职校的现在你们同龄人中有50%都是职校的，那我估计你也没什么朋友了,2023-03-23 13:13:28,9,0
找的到成龙，特鲁，老爹，阿福，找不到小玉和小蛇一起拍[难过],2023-03-23 06:58:37,7,0
[微笑]管好自己就行了不要总嘲笑别人好吧,2023-03-23 01:47:12,26,0
哈哈哈哈哈哈都学疯啦!!!我高中也好想拍这种视频呜呜呜，好羡慕![大哭][大哭][大哭],2023-03-23 07:56:26,6,0
本来想投一个币的，结果误触投了俩啊啊啊啊，不过视频质量也值得[白色情人节_555][白色情人节_yyds],2023-03-23 08:58:07,6,0
现在分流，一半高中一半职校已经定局了，至少俺种地这是这样滴,2023-03-22 17:08:56,22,0
"我们的童年本应如此……
作业你给我出来受死[大哭]",2023-03-23 15:30:47,9,0
00:23 [保卫萝卜_白眼],2023-03-22 17:32:59,89,0
切莫以貌取人，学习是学习，品德是品德。小学就应该知道的东西现在还是有人不知道。[藏狐],2023-03-23 07:32:58,8,0
呃职校怎么了职校也能高考也能考本科好不好,2023-03-23 03:43:29,12,0
不懂，一边嘲笑职校，一边当孔乙己[喜极而泣],2023-03-22 17:58:31,33,0
彦祖，来找🤡的么[doge],2023-03-23 08:57:57,20,0
本人就是职高的，今年准备单招上大专[呲牙],2023-03-23 13:14:41,5,0
洋溢青春朝气的孩子们，每次看了都会感慨年轻真好，年轻就要去恣意[酸了][酸了][保卫萝卜_哭哭],2023-03-22 21:19:26,15,0
"视频看到的是一群青春，肆意的孩子们
评论看到的是一堆尖酸，刻薄的孩子们",2023-03-23 04:36:52,17,0
哈哈哈哈好有意思好有趣的灵魂比那些王者荣耀高端局动不动就开喷骂人字字带家人的没素质的职高人好太多了，不是针对这个区群体沃只是针对某些人，我也有认识一些玩的好的职高带专朋友都是[捂眼],2023-03-23 08:43:32,5,0
职校怎么了，以后谁就业快工资高都不一定呢[藏狐],2023-03-23 09:02:41,3,0
我觉得我们努力学习不是为了嘲笑别人，要知道有的人一出生就拥有不了学习的条件，作为有条件和能力的人更应该去想“弱者”面临的情况和问题，再好好学习改变这个社会解决这些问题,2023-03-23 12:03:40,5,0
谁管你们高中生初中生啊，这不是个整活视频吗？你们在讨论什么？在讨论什么啊？,2023-03-22 23:51:17,12,0
哇，很难得聚齐这么一大批的同好（最主要还可以一起拍视频发癫哈哈哈哈哈哈哈哈哈哈哈哈）,2023-03-23 04:39:03,24,0
笑职校的现在你们同龄人中有50%都是职校的，那我估计你也没什么朋友了,2023-03-23 13:13:28,9,0
找的到成龙，特鲁，老爹，阿福，找不到小玉和小蛇一起拍[难过],2023-03-23 06:58:37,7,0
[微笑]管好自己就行了不要总嘲笑别人好吧,2023-03-23 01:47:12,26,0
哈哈哈哈哈哈都学疯啦!!!我高中也好想拍这种视频呜呜呜，好羡慕![大哭][大哭][大哭],2023-03-23 07:56:26,6,0
本来想投一个币的，结果误触投了俩啊啊啊啊，不过视频质量也值得[白色情人节_555][白色情人节_yyds],2023-03-23 08:58:07,6,0
现在分流，一半高中一半职校已经定局了，至少俺种地这是这样滴,2023-03-22 17:08:56,22,0
"我们的童年本应如此……
作业你给我出来受死[大哭]",2023-03-23 15:30:47,9,0
00:23 [保卫萝卜_白眼],2023-03-22 17:32:59,89,0
切莫以貌取人，学习是学习，品德是品德。小学就应该知道的东西现在还是有人不知道。[藏狐],2023-03-23 07:32:58,8,0
呃职校怎么了职校也能高考也能考本科好不好,2023-03-23 03:43:29,12,0
不懂，一边嘲笑职校，一边当孔乙己[喜极而泣],2023-03-22 17:58:31,33,0
彦祖，来找🤡的么[doge],2023-03-23 08:57:57,20,0
本人就是职高的，今年准备单招上大专[呲牙],2023-03-23 13:14:41,5,0
洋溢青春朝气的孩子们，每次看了都会感慨年轻真好，年轻就要去恣意[酸了][酸了][保卫萝卜_哭哭],2023-03-22 21:19:26,15,0
"视频看到的是一群青春，肆意的孩子们
评论看到的是一堆尖酸，刻薄的孩子们",2023-03-23 04:36:52,17,0
哈哈哈哈好有意思好有趣的灵魂比那些王者荣耀高端局动不动就开喷骂人字字带家人的没素质的职高人好太多了，不是针对这个区群体沃只是针对某些人，我也有认识一些玩的好的职高带专朋友都是[捂眼],2023-03-23 08:43:32,5,0
职校怎么了，以后谁就业快工资高都不一定呢[藏狐],2023-03-23 09:02:41,3,0
我觉得我们努力学习不是为了嘲笑别人，要知道有的人一出生就拥有不了学习的条件，作为有条件和能力的人更应该去想“弱者”面临的情况和问题，再好好学习改变这个社会解决这些问题,2023-03-23 12:03:40,5,0
谁管你们高中生初中生啊，这不是个整活视频吗？你们在讨论什么？在讨论什么啊？,2023-03-22 23:51:17,12,0
哇，很难得聚齐这么一大批的同好（最主要还可以一起拍视频发癫哈哈哈哈哈哈哈哈哈哈哈哈）,2023-03-23 04:39:03,24,0
笑职校的现在你们同龄人中有50%都是职校的，那我估计你也没什么朋友了,2023-03-23 13:13:28,9,0
找的到成龙，特鲁，老爹，阿福，找不到小玉和小蛇一起拍[难过],2023-03-23 06:58:37,7,0
[微笑]管好自己就行了不要总嘲笑别人好吧,2023-03-23 01:47:12,26,0
哈哈哈哈哈哈都学疯啦!!!我高中也好想拍这种视频呜呜呜，好羡慕![大哭][大哭][大哭],2023-03-23 07:56:26,6,0
本来想投一个币的，结果误触投了俩啊啊啊啊，不过视频质量也值得[白色情人节_555][白色情人节_yyds],2023-03-23 08:58:07,6,0
现在分流，一半高中一半职校已经定局了，至少俺种地这是这样滴,2023-03-22 17:08:56,22,0
"我们的童年本应如此……
作业你给我出来受死[大哭]",2023-03-23 15:30:47,9,0
00:23 [保卫萝卜_白眼],2023-03-22 17:32:59,89,0
切莫以貌取人，学习是学习，品德是品德。小学就应该知道的东西现在还是有人不知道。[藏狐],2023-03-23 07:32:58,8,0
呃职校怎么了职校也能高考也能考本科好不好,2023-03-23 03:43:29,12,0
不懂，一边嘲笑职校，一边当孔乙己[喜极而泣],2023-03-22 17:58:31,33,0
彦祖，来找🤡的么[doge],2023-03-23 08:57:57,20,0
本人就是职高的，今年准备单招上大专[呲牙],2023-03-23 13:14:41,5,0
洋溢青春朝气的孩子们，每次看了都会感慨年轻真好，年轻就要去恣意[酸了][酸了][保卫萝卜_哭哭],2023-03-22 21:19:26,15,0
"视频看到的是一群青春，肆意的孩子们
评论看到的是一堆尖酸，刻薄的孩子们",2023-03-23 04:36:52,17,0
哈哈哈哈好有意思好有趣的灵魂比那些王者荣耀高端局动不动就开喷骂人字字带家人的没素质的职高人好太多了，不是针对这个区群体沃只是针对某些人，我也有认识一些玩的好的职高带专朋友都是[捂眼],2023-03-23 08:43:32,5,0
职校怎么了，以后谁就业快工资高都不一定呢[藏狐],2023-03-23 09:02:41,3,0
我觉得我们努力学习不是为了嘲笑别人，要知道有的人一出生就拥有不了学习的条件，作为有条件和能力的人更应该去想“弱者”面临的情况和问题，再好好学习改变这个社会解决这些问题,2023-03-23 12:03:40,5,0
谁管你们高中生初中生啊，这不是个整活视频吗？你们在讨论什么？在讨论什么啊？,2023-03-22 23:51:17,12,0
哇，很难得聚齐这么一大批的同好（最主要还可以一起拍视频发癫哈哈哈哈哈哈哈哈哈哈哈哈）,2023-03-23 04:39:03,24,0
笑职校的现在你们同龄人中有50%都是职校的，那我估计你也没什么朋友了,2023-03-23 13:13:28,9,0
找的到成龙，特鲁，老爹，阿福，找不到小玉和小蛇一起拍[难过],2023-03-23 06:58:37,7,0
[微笑]管好自己就行了不要总嘲笑别人好吧,2023-03-23 01:47:12,26,0
哈哈哈哈哈哈都学疯啦!!!我高中也好想拍这种视频呜呜呜，好羡慕![大哭][大哭][大哭],2023-03-23 07:56:26,6,0
本来想投一个币的，结果误触投了俩啊啊啊啊，不过视频质量也值得[白色情人节_555][白色情人节_yyds],2023-03-23 08:58:07,6,0
现在分流，一半高中一半职校已经定局了，至少俺种地这是这样滴,2023-03-22 17:08:56,22,0
"我们的童年本应如此……
作业你给我出来受死[大哭]",2023-03-23 15:30:47,9,0
00:23 [保卫萝卜_白眼],2023-03-22 17:32:59,89,0
切莫以貌取人，学习是学习，品德是品德。小学就应该知道的东西现在还是有人不知道。[藏狐],2023-03-23 07:32:58,8,0
呃职校怎么了职校也能高考也能考本科好不好,2023-03-23 03:43:29,12,0
不懂，一边嘲笑职校，一边当孔乙己[喜极而泣],2023-03-22 17:58:31,33,0
彦祖，来找🤡的么[doge],2023-03-23 08:57:57,20,0
